OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar  2 2016 15:14:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:14:03 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:14:05 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:14:05 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:14:05 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:14:05 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:14:07,12.50000086,0,-0.671910097,0.025008583,431.6986647,0.472549486,1.771045647,30.50528908,6,1.420000017,1,2.840000033,30.2524128,30.50528908,29.99692726,400.1063843,401.0704346,26.20100594,27.11978912,58.43925476,60.49222183,300.2236328,0.041803658,0.093787536,96.41047668,-0.124771476,0.180020794,0.013573749,0.001438075,0.018988416,0.001582107,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500372721,0.000472549,303.6552891,303.4024128,0.006688585,-0.269463671,4.385677444,45.48963552,18.36984639,30.37885094,4.354044749,0.024790284,2.614631797,1.739412952,0.015513394,41.62027404,1.076366213,58.46198441,401.3898285,-0.00097863
2,15:14:09,14.50000082,0,-0.679144325,0.02501491,432.1581923,0.472600421,1.770796661,30.50446129,6,1.420000017,1,2.840000033,30.25294685,30.50446129,29.99685097,400.1014709,401.0799561,26.20127106,27.12017822,58.43825912,60.48980713,300.2153625,0.00895437,0.094362684,96.41061401,-0.124771476,0.180020794,0.013573749,0.001438075,0.018988416,0.001582107,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500358938,0.0004726,303.6544613,303.4029469,0.001432699,-0.269363396,4.385469696,45.48741589,18.36723767,30.37870407,4.354008121,0.024796501,2.614673035,1.739335087,0.015517289,41.66463667,1.077486386,58.46598782,401.4027887,-0.000989202
3,15:14:11,16.50000077,0,-0.699980203,0.025015285,433.4873115,0.472597206,1.770761171,30.50400543,6,1.420000017,1,2.840000033,30.25310707,30.50400543,29.9964695,400.066925,401.0870667,26.2004261,27.11934471,58.43611908,60.48742676,300.2098389,-0.040524092,0.132428229,96.41066742,-0.124771476,0.180020794,0.013573749,0.001438075,0.018988416,0.001582107,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500349731,0.000472597,303.6540054,303.4031071,-0.006483855,-0.269367472,4.385355294,45.48620409,18.36685938,30.37855625,4.353971256,0.02479687,2.614594124,1.739377133,0.01551752,41.79280102,1.080781076,58.46578628,401.4198037,-0.001019504
4,15:14:13,18.50000073,0,-0.720516597,0.024980562,434.8542217,0.471978659,1.77087926,30.5040226,6,1.420000017,1,2.840000033,30.25313568,30.5040226,29.99605179,400.0265198,401.0881958,26.20048141,27.11819458,58.43556213,60.48497009,300.2110901,-0.066419363,0.150875553,96.41056061,-0.124771476,0.180020794,0.013573749,0.001438075,0.018988416,0.001582107,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500351817,0.000471979,303.6540226,303.4031357,-0.010627098,-0.269104863,4.385359602,45.48629916,18.36810458,30.37857914,4.353976964,0.02476275,2.614480342,1.739496622,0.015496141,41.92453929,1.084186037,58.46257654,401.4306949,-0.001049328
