OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar  1 2016 13:05:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""13:05:11 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:05:12 Lamp: ParIn ->  2000 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:05:12 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:05:12 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:05:12 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13:05:14,10.50000006,0,0.102297028,0.013652356,367.638002,0.448840985,3.037178895,36.52300262,6,1.420000017,1,2.840000033,30.93839073,36.52300262,30.00997925,400.2863159,399.9476318,31.63694191,32.15901947,67.9605484,69.08527374,499.243866,2000.344238,3.324922085,96.56360626,-2.345799446,-0.190930128,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83207311,0.000448841,309.6730026,304.0883907,320.055071,2.689343637,6.142569789,63.61164446,31.45262499,33.73069668,5.263270795,0.01358704,3.105390894,2.157879901,0.008497744,35.50045127,0.919215349,48.3169311,399.8990047,0.000123598
2,13:05:16,12.50000001,0,0.14307798,0.013643071,362.9445691,0.448643893,3.037902539,36.52457428,6,1.420000017,1,2.840000033,30.93723297,36.52457428,30.00794601,400.3330688,399.9454346,31.63503647,32.15693283,67.95921326,69.08259583,499.1989746,2000.305176,3.369550228,96.56381226,-2.345799446,-0.190930128,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.831998291,0.000448644,309.6745743,304.087233,320.048821,2.688968009,6.143098563,63.61698466,31.46005183,33.73090363,5.263331672,0.013577845,3.105196025,2.158135647,0.008491989,35.04731123,0.907485216,48.30881025,399.8774222,0.000172851
3,13:05:18,14.49999997,0,0.157493589,0.013642617,361.3093953,0.448363596,3.036140135,36.51905441,6,1.420000017,1,2.840000033,30.93648911,36.51905441,30.00670815,400.3583984,399.9535522,31.63433456,32.15592575,67.95952606,69.08184052,499.1795044,2000.252563,3.387234449,96.56389618,-2.345799446,-0.190930128,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.831965841,0.000448364,309.6690544,304.0864891,320.040403,2.689753776,6.141241611,63.59769908,31.44177333,33.72777176,5.262410456,0.013577395,3.105101476,2.15730898,0.008491708,34.88944293,0.903378388,48.32371975,399.8786873,0.000190325
4,13:05:20,16.49999992,0,0.151935372,0.013642464,361.9721627,0.448247761,3.03539827,36.51677322,6,1.420000017,1,2.840000033,30.93614388,36.51677322,30.00609589,400.3731995,399.9750671,31.63423729,32.15570831,67.95983887,69.08164978,499.1656494,2000.211304,3.370595694,96.56375885,-2.345799446,-0.190930128,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.831942749,0.000448248,309.6667732,304.0861439,320.0338014,2.690036755,6.140474333,63.58984371,31.43413539,33.72645855,5.262024227,0.013577243,3.105076063,2.156948163,0.008491613,34.95339263,0.904986816,48.33010726,399.9028443,0.000183621
