OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar  1 2016 14:47:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:47:26 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:47:27 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:47:27 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:47:27 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:47:27 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:47:30,15.00000163,0,-1.463798397,0.036585059,457.6332193,0.50022831,1.2828118,30.26786995,6,1.420000017,1,2.840000033,30.6461792,30.26786995,29.99272346,399.8983459,402.4211731,30.63362885,31.60163879,66.72525024,68.83973694,300.2574158,-0.061414178,0.056868229,96.31245422,0.005237252,0.152033627,0.032546517,0.003707256,0.023108747,0.002645841,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500429026,0.000500228,303.4178699,303.7961792,-0.009826268,-0.197620834,4.32644319,44.92091106,13.31927226,30.45702457,4.373578929,0.036119762,3.04363139,1.329947539,0.022616199,44.07577849,1.137199655,69.56201091,403.1169927,-0.002525936
2,14:47:32,17.00000159,0,-1.442153248,0.036580835,456.6908719,0.500161592,1.282790366,30.26795578,6,1.420000017,1,2.840000033,30.64673424,30.26795578,29.99268723,399.938446,402.4179688,30.63415146,31.60198975,66.72771454,68.83994293,300.2705078,-0.09973935,0.101247966,96.31273651,0.005237252,0.152033627,0.032546517,0.003707256,0.023108747,0.002645841,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500450846,0.000500162,303.4179558,303.7967342,-0.015958296,-0.197592782,4.326464477,44.92100042,13.31901068,30.45734501,4.373659157,0.036115645,3.043674112,1.329985045,0.022613617,43.98514761,1.134866997,69.5626176,403.1034993,-0.00248869
3,14:47:34,19.50000153,0,-1.426838518,0.036544277,456.0781695,0.499646411,1.282736172,30.26757622,6,1.420000017,1,2.840000033,30.64643097,30.26757622,29.9922657,399.9634705,402.4128418,30.6347084,31.6015625,66.73081207,68.84049988,300.2666931,-0.105889723,0.134404838,96.31277466,0.005237252,0.152033627,0.032546517,0.003707256,0.023108747,0.002645841,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500444489,0.000499646,303.4175762,303.796431,-0.016942355,-0.197337329,4.32637034,44.92000522,13.31844272,30.45700359,4.373573676,0.03608001,3.043634168,1.329939508,0.022591263,43.92615396,1.133358884,69.56287691,403.0910925,-0.002462346
4,14:47:36,21.50000149,0,-1.427142662,0.036503932,456.1619883,0.499114006,1.282768937,30.26751709,6,1.420000017,1,2.840000033,30.64588165,30.26751709,29.99196243,399.9649353,402.4153442,30.63522148,31.60104752,66.73402405,68.84142303,300.2661743,-0.088939026,0.121566035,96.31284332,0.005237252,0.152033627,0.032546517,0.003707256,0.023108747,0.002645841,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500443624,0.000499114,303.4175171,303.7958817,-0.014230244,-0.197108588,4.326355676,44.91982093,13.31877342,30.45669937,4.373497509,0.036040683,3.043586738,1.329910771,0.022566594,43.9342581,1.133560126,69.56158042,403.0937395,-0.002462809
