OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar  1 2016 10:12:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""10:12:23 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:12:26 Log Option: Logged values are 15 s averages""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:12:26 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:12:27 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:12:27 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:12:27 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10:12:29,60.0000002,0,-0.711444639,0.049174352,416.8496271,0.578476776,1.113001812,30.24333763,6,1.420000017,1,2.840000033,30.02700996,30.24333763,30.00162697,400.2125549,401.1705017,32.0278511,33.14551544,72.59644318,75.1314621,300.2526855,0.079804286,0.199903458,96.76605225,-0.624415576,0.12984997,0.021576356,0.009283456,0.03065769,0.008178186,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500421143,0.000578477,303.3933376,303.17701,0.012768686,-0.317178599,4.320362491,44.64750179,11.50198635,30.1351738,4.293641193,0.048337394,3.207360679,1.086280514,0.030284968,40.3368928,1.039083445,73.65185051,401.5086884,-0.001305058
2,10:12:31,62.00000016,0,-0.698694341,0.048979381,416.4608041,0.577936038,1.116291229,30.25649071,6,1.420000017,1,2.840000033,30.02667427,30.25649071,30.00144577,400.1983643,401.1314087,32.02851868,33.14525604,72.61164856,75.14517212,300.2210999,0.032339282,0.169767514,96.76589966,-0.624415576,0.12984997,0.021576356,0.009283456,0.03065769,0.008178186,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.5003685,0.000577936,303.4064907,303.1766743,0.005174285,-0.318821872,4.323621749,44.68125408,11.53599804,30.14158249,4.295220403,0.048148991,3.20733052,1.087889882,0.030166639,40.29920438,1.038215395,73.59165836,401.4635345,-0.001280766
3,10:12:33,64.00000011,0,-0.714149626,0.048868012,417.0115313,0.577130513,1.117227226,30.26028633,6,1.420000017,1,2.840000033,30.02655411,30.26028633,30.00079536,400.1638794,401.12854,32.0300293,33.14530182,72.61973572,75.15075684,300.1964111,0.011878893,0.12297371,96.76591492,-0.624415576,0.12984997,0.021576356,0.009283456,0.03065769,0.008178186,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500327352,0.000577131,303.4102863,303.1765541,0.001900623,-0.318988172,4.324562682,44.69097084,11.54566902,30.14342022,4.295673344,0.048041362,3.207335456,1.088337888,0.030099042,40.35250235,1.039595765,73.57411306,401.4680126,-0.00130877
