OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Mar 31 2016 13:11:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""13:11:02 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:11:05 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:11:05 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:11:05 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:11:05 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13:11:07,13.50000039,0,-0.793208532,0.015938511,470.3297334,0.242485464,1.419965792,30.39406204,6,1.420000017,1,2.840000033,30.3124733,30.39406204,29.99335861,399.5851746,400.9758911,29.98682213,30.456604,66.69908905,67.74258423,300.2672424,0.056733072,0.148058683,96.46098328,0.442686081,0.503401935,0.027033484,0.00372089,0.032492075,0.00316862,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500445404,0.000242485,303.544062,303.4624733,0.009077291,-0.131676207,4.357839761,45.17722724,14.72062323,30.35326767,4.347668484,0.015849561,2.937873969,1.409794515,0.009913929,45.36846855,1.172962624,66.32416332,401.3529445,-0.001310789
2,13:11:09,15.50000035,0,-0.753001568,0.015958558,466.1987503,0.242816236,1.420127216,30.39463043,6,1.420000017,1,2.840000033,30.31282234,30.39463043,29.99380684,399.6356201,400.9457703,29.98593521,30.45636749,66.69230652,67.73730469,300.2612,-0.012675947,0.10600923,96.46109009,0.442686081,0.503401935,0.027033484,0.00372089,0.032492075,0.00316862,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500435333,0.000242816,303.5446304,303.4628223,-0.002028151,-0.131995938,4.357981624,45.17864789,14.7222804,30.35372639,4.347782741,0.015869385,2.937854408,1.409928333,0.009926339,44.97003965,1.162747645,66.32164703,401.3037111,-0.001244452
3,13:11:11,17.5000003,0,-0.731969765,0.015952868,464.1219382,0.242732491,1.42014234,30.39410973,6,1.420000017,1,2.840000033,30.3125782,30.39410973,29.99368286,399.6679382,400.9361572,29.98459816,30.45487785,66.6883316,67.73373413,300.2554932,-0.061049268,0.088443063,96.46104431,0.442686081,0.503401935,0.027033484,0.00372089,0.032492075,0.00316862,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500425822,0.000242732,303.5441097,303.4625782,-0.009767883,-0.132004055,4.357851662,45.17732203,14.72244418,30.35334396,4.347687487,0.015863758,2.937709322,1.409978165,0.009922817,44.76968685,1.157595617,66.32026615,401.2841006,-0.001209727
4,13:11:14,20.00000025,0,-0.719336402,0.015911038,463.0497425,0.242099322,1.420147604,30.39307594,6,1.420000017,1,2.840000033,30.31206512,30.39307594,29.99302292,399.6908875,400.9343262,29.98305511,30.45209312,66.68591309,67.72933197,300.2659302,-0.070297733,0.077605329,96.46121979,0.442686081,0.503401935,0.027033484,0.00372089,0.032492075,0.00316862,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500443217,0.000242099,303.5430759,303.4620651,-0.011247637,-0.131634927,4.357593652,45.17456509,14.72247197,30.35257053,4.347494847,0.015822393,2.937446048,1.410048799,0.009896922,44.66634299,1.154926661,66.3177508,401.2762642,-0.001188826
