OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Mar 31 2016 09:58:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""09:58:41 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:58:42 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:58:42 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:58:42 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:58:42 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,09:58:45,9.500000637,0,-1.17795515,0.033633859,448.6922154,0.487799901,1.369012178,30.03201294,6,1.420000017,1,2.840000033,30.20553589,30.03201294,30.00652695,400.0999146,402.0583496,28.98491478,29.92879677,65.1216507,67.24168396,300.8007202,0.778506815,0.798210502,96.87252045,-1.463897228,0.015720159,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501334534,0.0004878,303.1820129,303.3555359,0.124561088,-0.227087855,4.268290155,44.06089709,14.13210033,30.11877441,4.289602413,0.033240198,2.899277977,1.390324436,0.020810137,43.46594581,1.115987806,67.08364985,402.6182931,-0.001962691
2,09:58:47,12.00000058,0,-1.208242407,0.033567572,450.2861311,0.486702001,1.368597645,30.03065872,6,1.420000017,1,2.840000033,30.20703316,30.03065872,30.00652504,400.0802002,402.0995178,28.98808479,29.92966843,65.12770081,67.24407196,300.8560181,0.772834539,0.608178675,96.87245941,-1.463897228,0.015720159,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501426697,0.000486702,303.1806587,303.3570332,0.123653524,-0.226126082,4.267958235,44.0574985,14.12783007,30.11884594,4.289620021,0.033175452,2.89936059,1.390259431,0.020769534,43.62032496,1.119837531,67.09034172,402.6738584,-0.002013078
3,09:58:49,14.00000054,0,-1.213270473,0.033541964,450.5760775,0.486230876,1.368307398,30.02957726,6,1.420000017,1,2.840000033,30.20839882,30.02957726,30.00727081,400.0750122,402.1045532,28.98931503,29.92990494,65.12733459,67.24167633,300.8822632,0.758916795,0.499348789,96.87253571,-1.463897228,0.015720159,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501470439,0.000486231,303.1795773,303.3583988,0.121426685,-0.225562101,4.267693183,44.0547277,14.12482277,30.11898804,4.289655002,0.033150439,2.899385785,1.390269217,0.020753848,43.64844715,1.120544579,67.09502767,402.6812839,-0.002021559
4,09:58:51,16.00000049,0,-1.211629124,0.033525566,450.5268162,0.485827548,1.367837068,30.02774811,6,1.420000017,1,2.840000033,30.20841026,30.02774811,30.00736046,400.075592,402.1020508,28.9903717,29.93011856,65.12931061,67.24208069,300.9023132,0.765632927,0.438385397,96.87258148,-1.463897228,0.015720159,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501503855,0.000485828,303.1777481,303.3584103,0.122501266,-0.225080722,4.267244917,44.05007951,14.11996095,30.11807919,4.289431268,0.033134422,2.899407849,1.390023419,0.020743804,43.64369571,1.120429044,67.10277074,402.6780012,-0.002019074
