OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Mar 31 2016 11:16:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""11:16:39 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:16:39 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:16:39 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:16:39 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:16:40 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11:16:42,12.00000058,0,4.656555644,0.076620139,284.3962355,1.258572789,1.566145354,31.85570908,6,1.420000017,1,2.840000033,30.52958679,31.85570908,30.00437737,399.1687622,392.9889221,31.29060364,32.75106049,68.95703125,72.17889404,500.1256409,1199.670044,3.663219929,96.79315186,-0.891906261,-0.026813716,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833542735,0.001258573,305.0057091,303.6795868,191.9472027,1.412134439,4.736223725,48.93139271,16.18033222,31.19264793,4.56117041,0.074607314,3.170078371,1.391092039,0.046806328,27.52760801,0.723674942,66.4302719,390.7754186,0.00791596
2,11:16:44,14.00000054,0,4.731479136,0.076600055,282.8195949,1.258187911,1.566065377,31.85567474,6,1.420000017,1,2.840000033,30.52919006,31.85567474,30.00561523,399.2876587,393.0176392,31.29168701,32.75179672,68.96163177,72.1815567,500.0911865,1199.726563,3.607948065,96.7931366,-0.891906261,-0.026813716,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833485311,0.001258188,305.0056747,303.6791901,191.9562457,1.412388548,4.736214511,48.93130523,16.17950851,31.1924324,4.561114437,0.074588271,3.170149134,1.390965303,0.046794336,27.37499568,0.719610437,66.43167834,390.7685206,0.008043639
3,11:16:46,16.00000049,0,4.808736846,0.076616212,281.2430994,1.2584836,1.566108205,31.85611343,6,1.420000017,1,2.840000033,30.52788544,31.85611343,30.00690842,399.4135742,393.0504761,31.29211235,32.75260925,68.9667511,72.18681335,500.0756836,1199.740234,3.585640907,96.79302216,-0.891906261,-0.026813716,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833459473,0.001258484,305.0061134,303.6778854,191.9584332,1.412012615,4.736332238,48.93257936,16.1799701,31.19199944,4.561001998,0.074603591,3.170224033,1.390777965,0.046803983,27.22236956,0.715539394,66.43174419,390.7646329,0.008175069
4,11:16:48,18.00000045,0,4.875859958,0.076656989,279.9324744,1.258845296,1.565748741,31.85480499,6,1.420000017,1,2.840000033,30.52574921,31.85480499,30.00746155,399.5447083,393.100769,31.29178619,32.75271606,68.97385406,72.1947403,500.071106,1199.734863,3.585771799,96.79296112,-0.891906261,-0.026813716,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833451843,0.001258845,305.004805,303.6757492,191.9575738,1.411703168,4.735981113,48.92898263,16.17626657,31.1902771,4.560554743,0.074642253,3.170232373,1.390322371,0.046828331,27.09549312,0.71211378,66.43749114,390.7830187,0.008289508
