OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Apr  2 2016 10:34:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""10:34:06 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:34:08 Log Option: Logged values are 15 s averages""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:34:08 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:34:08 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:34:08 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:34:08 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10:34:10,43.50000079,0,-1.430939566,0.013036957,565.1625477,0.23241379,1.669168048,30.26850128,6,1.420000017,1,2.840000033,30.24842644,30.26850128,29.99833679,400.0419922,402.7138367,27.03131866,27.48289108,60.46016693,61.46937561,300.3191223,-0.002093453,0.369805247,96.69403839,0.75472784,-0.031316735,0.037697896,0.003467632,0.059507512,0.004083245,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500531871,0.000232414,303.4185013,303.3984264,-0.000334953,-0.11842359,4.326599773,44.74525881,17.26236773,30.25846386,4.32411087,0.012977384,2.657431725,1.666679145,0.008116196,54.64784908,1.403384975,60.15822821,403.3940368,-0.002133963
2,10:34:12,45.50000075,0,-1.409796339,0.013001761,563.0499973,0.231699043,1.66851716,30.26584435,6,1.420000017,1,2.840000033,30.24721909,30.26584435,29.99776649,400.0718689,402.7022095,27.03271866,27.48292923,60.47341537,61.48064041,300.301178,0.008596819,0.336945206,96.69361115,0.75472784,-0.031316735,0.037697896,0.003467632,0.059507512,0.004083245,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500501963,0.000231699,303.4158443,303.3972191,0.001375491,-0.117851927,4.325940832,44.73864178,17.25571255,30.25653172,4.323631914,0.012942509,2.657423672,1.666208242,0.008094371,54.4433375,1.398179558,60.1673425,403.3723591,-0.002102863
3,10:34:14,47.5000007,0,-1.405677377,0.013021229,562.3096246,0.231978144,1.66803967,30.26420212,6,1.420000017,1,2.840000033,30.24638748,30.26420212,29.99746704,400.0929871,402.7149658,27.03295135,27.48372078,60.47960663,61.48762894,300.289917,-0.0099924,0.308280885,96.69338226,0.75472784,-0.031316735,0.037697896,0.003467632,0.059507512,0.004083245,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500483195,0.000231978,303.4142021,303.3963875,-0.001598784,-0.117914536,4.32553359,44.734536,17.25081522,30.2552948,4.323325322,0.0129618,2.657493919,1.665831402,0.008106443,54.37161948,1.396296816,60.17533276,403.3831575,-0.002096942
