OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Apr  2 2016 12:20:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""12:20:10 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:20:12 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:20:12 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:20:12 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:20:12 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12:20:14,21.00000572,0,2.468775261,0.050625994,308.0206675,0.805022948,1.504635209,30.21352768,6,1.420000017,1,2.840000033,30.75541687,30.21352768,29.9864521,399.682373,396.3324585,28.15490532,29.09409332,61.09573364,63.12923813,499.3259277,1198.991455,0.114950135,96.52641296,0.900899231,-0.046771597,0.050097097,0.00114359,0.039041594,0.001721011,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83220988,0.000805023,303.3635277,303.9054169,191.8386285,1.83860358,4.312983676,44.68190149,15.58780817,30.48447227,4.380455703,0.049739338,2.808348467,1.572107236,0.031165549,29.73213016,0.777177496,64.41204384,395.158921,0.004024175
2,12:20:16,23.00000568,0,2.465241258,0.050575806,308.05507,0.804393672,1.504919965,30.21452904,6,1.420000017,1,2.840000033,30.75512886,30.21452904,29.98739243,399.6784973,396.3330078,28.15528107,29.09376907,61.09402847,63.12775803,499.3079224,1198.991333,0.110968322,96.5262146,0.900899231,-0.046771597,0.050097097,0.00114359,0.039041594,0.001721011,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832179871,0.000804394,303.364529,303.9051289,191.838609,1.838738839,4.313231362,44.68455932,15.59079024,30.48482895,4.380545126,0.049690891,2.808311397,1.572233729,0.031135117,29.7353898,0.77726322,64.40669163,395.1611502,0.004018058
3,12:20:18,25.00000563,0,2.491505275,0.050549674,307.1734434,0.804073547,1.505080396,30.21509933,6,1.420000017,1,2.840000033,30.75526619,30.21509933,29.98779488,399.7021179,396.3251953,28.15551376,29.09363747,61.0929184,63.12664413,499.3031006,1199.019897,0.111343026,96.52598572,0.900899231,-0.046771597,0.050097097,0.00114359,0.039041594,0.001721011,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832171834,0.000804074,303.3650993,303.9052662,191.8431793,1.838889686,4.313372431,44.68612673,15.59248927,30.48518276,4.380633834,0.049665666,2.808292035,1.572341799,0.031119272,29.65021941,0.775054039,64.40371309,395.140853,0.004060886
4,12:20:20,27.00000559,0,2.520444429,0.050548724,306.2589767,0.804137696,1.505227673,30.215765,6,1.420000017,1,2.840000033,30.7555027,30.215765,29.98786354,399.743042,396.3313293,28.15560913,29.0938015,61.09179688,63.12604141,499.3063049,1199.03418,0.097616382,96.52603912,0.900899231,-0.046771597,0.050097097,0.00114359,0.039041594,0.001721011,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832177175,0.000804138,303.365765,303.9055027,191.8454645,1.838823792,4.313537095,44.68780791,15.59400641,30.48563385,4.380746932,0.049664749,2.808309422,1.572437511,0.031118695,29.56196597,0.772734715,64.40154306,395.1332308,0.004107994
5,12:20:22,29.00000554,0,2.51117073,0.050569743,306.6019488,0.804560541,1.505404332,30.21669579,6,1.420000017,1,2.840000033,30.75582504,30.21669579,29.98784447,399.7497253,396.3489685,28.15563393,29.09431076,61.09073257,63.1257515,499.3107605,1199.023804,0.085583262,96.52619171,0.900899231,-0.046771597,0.050097097,0.00114359,0.039041594,0.001721011,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832184601,0.000804561,303.3666958,303.905825,191.8438043,1.838509853,4.313767351,44.69012269,15.59581193,30.48626041,4.380904031,0.049685039,2.808363018,1.572541013,0.031131441,29.59511849,0.773565653,64.39947212,395.1552782,0.00409252
6,12:20:24,31.0000055,0,2.493507132,0.050601099,307.220962,0.805136173,1.50556344,30.21763802,6,1.420000017,1,2.840000033,30.75652695,30.21763802,29.98791313,399.7406006,396.3608093,28.1557045,29.09504509,61.0888176,63.12504578,499.3145447,1199.017578,0.077431098,96.52629852,0.900899231,-0.046771597,0.050097097,0.00114359,0.039041594,0.001721011,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832190908,0.000805136,303.367638,303.9065269,191.8428082,1.83817759,4.314000448,44.6924881,15.59744301,30.48708248,4.381110156,0.049715307,2.808437008,1.572673149,0.031150454,29.65490229,0.775104286,64.39796217,395.1755155,0.004063429
7,12:20:26,33.00000545,0,2.476903258,0.050635187,307.8023378,0.8057363,1.505686342,30.21844673,6,1.420000017,1,2.840000033,30.75734711,30.21844673,29.98805618,399.724884,396.3647461,28.15581131,29.09585381,61.08647156,63.12404633,499.3132019,1199.024658,0.084017515,96.52626801,0.900899231,-0.046771597,0.050097097,0.00114359,0.039041594,0.001721011,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83218867,0.000805736,303.3684467,303.9073471,191.843941,1.837891775,4.314200525,44.694575,15.59872119,30.48789692,4.381314377,0.049748212,2.808514182,1.572800195,0.031171123,29.71101096,0.776563357,64.39707347,395.1873449,0.004036195
8,12:20:29,35.5000054,0,2.462631967,0.050673528,308.3044625,0.806475606,1.505939479,30.21980858,6,1.420000017,1,2.840000033,30.7581768,30.21980858,29.98846054,399.7015076,396.3581238,28.15589142,29.09680939,61.08261871,63.12241364,499.3058472,1199.02124,0.081537291,96.52597809,0.900899231,-0.046771597,0.050097097,0.00114359,0.039041594,0.001721011,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832176412,0.000806476,303.3698086,303.9081768,191.8433941,1.837442527,4.314537464,44.6981999,15.60139051,30.48899269,4.381589155,0.049785221,2.808597985,1.57299117,0.031194371,29.75938979,0.777843178,64.39425634,395.1875065,0.004012762
9,12:20:31,37.50000535,0,2.465274253,0.050736287,308.312103,0.80753559,1.506078856,30.22085762,6,1.420000017,1,2.840000033,30.75904465,30.22085762,29.98875046,399.702179,396.3551025,28.15597725,29.09813499,61.08013916,63.12184906,499.3035278,1198.998169,0.077779137,96.52571106,0.900899231,-0.046771597,0.050097097,0.00114359,0.039041594,0.001721011,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832172546,0.000807536,303.3708576,303.9090446,191.8397027,1.836846608,4.314797027,44.7010126,15.60287761,30.48995113,4.381829508,0.049845797,2.808718171,1.573111338,0.031232423,29.76004497,0.777868384,64.39379962,395.1832292,0.004017083
