OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Apr  1 2016 13:00:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""13:00:41 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:00:43 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:00:43 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:00:43 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:00:43 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13:00:45,12.00000183,0,-1.491522182,0.034425984,462.4618902,0.474083839,1.292149391,30.25215912,6,1.420000017,1,2.840000033,30.63456726,30.25215912,29.99231148,399.4456787,402.0446472,30.52381516,31.44115829,66.59121704,68.59483337,300.3312988,-0.257267445,0.239953578,96.38317871,-1.591946602,-0.040996432,0.047030568,0.003005671,0.056508396,0.004000782,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500552165,0.000474084,303.4021591,303.7845673,-0.04116279,-0.184413128,4.322548169,44.84753696,13.40637866,30.44336319,4.3701597,0.034013676,3.030398779,1.339760921,0.02129521,44.57354701,1.150274959,69.29350872,402.7536454,-0.002566154
2,13:00:47,14.00000179,0,-1.470747303,0.034185819,461.9657066,0.470425554,1.291085023,30.24635696,6,1.420000017,1,2.840000033,30.6346035,30.24635696,29.99214172,399.4695435,402.0302734,30.52704239,31.4374218,66.5959549,68.58507538,300.2945251,-0.178411677,0.156941012,96.38275909,-1.591946602,-0.040996432,0.047030568,0.003005671,0.056508396,0.004000782,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500490875,0.000470426,303.396357,303.7846035,-0.028545868,-0.181657885,4.321110475,44.8328157,13.3953939,30.44048023,4.369438439,0.03377921,3.030025452,1.339412987,0.021148165,44.5255294,1.14908189,69.3063241,402.7293963,-0.002531032
3,13:00:49,16.00000174,0,-1.419101503,0.034039952,459.8211425,0.468234237,1.290514038,30.24334335,6,1.420000017,1,2.840000033,30.63444901,30.24334335,29.99219513,399.555481,402.0149841,30.52949715,31.43570709,66.59976196,68.58046722,300.2714539,-0.110983349,0.116503924,96.38243103,-1.591946602,-0.040996432,0.047030568,0.003005671,0.056508396,0.004000782,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500452423,0.000468234,303.3933434,303.784449,-0.017757336,-0.18005768,4.320363908,44.82522242,13.38951533,30.43889618,4.369042183,0.033636785,3.029849871,1.339192312,0.021058845,44.31867955,1.143791054,69.31318798,402.689557,-0.002442637
4,13:00:52,18.50000169,0,-1.385219288,0.034120926,458.1005733,0.469122002,1.289929024,30.24172401,6,1.420000017,1,2.840000033,30.63444328,30.24172401,29.99215698,399.6433716,402.0345764,30.5296669,31.43764496,66.60099792,68.5820694,300.2543335,-0.083388306,0.101881273,96.38233948,-1.591946602,-0.040996432,0.047030568,0.003005671,0.056508396,0.004000782,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500423889,0.000469122,303.391724,303.7844433,-0.013342129,-0.180230973,4.319962793,44.82110329,13.38345833,30.43808365,4.368838938,0.03371585,3.030033769,1.338805169,0.021108429,44.15280497,1.139455659,69.32514986,402.6930433,-0.002384708
