OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Apr  2 2016 16:42:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""16:42:58 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:42:59 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:42:59 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:42:59 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:42:59 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16:43:02,11.5000039,0,-0.750447278,0.003733979,704.4933019,0.07927043,1.975245957,30.56468964,6,1.420000017,1,2.840000033,30.20118141,30.56468964,29.99578476,399.9329834,401.3692627,25.02230072,25.17674446,55.92292786,56.27231598,300.2050781,-0.007528027,0.130885333,96.33340454,1.056492448,-0.01296095,0.040030904,0.003896071,0.036676984,0.002809203,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500341797,7.92704E-05,303.7146896,303.3511814,-0.001204484,-0.088884188,4.400607466,45.68101259,20.50426813,30.38293552,4.355063528,0.003729076,2.425361509,1.929702019,0.002331112,67.86623825,1.755224845,53.52668336,401.7259894,-0.000999909
2,16:43:04,13.50000386,0,-0.753442886,0.003693649,709.2453569,0.0784089,1.97507578,30.56459999,6,1.420000017,1,2.840000033,30.20207977,30.56459999,29.99584579,399.947876,401.3908691,25.02557945,25.17834854,55.92818451,56.27330399,300.1969604,-0.022138918,0.088270932,96.33312988,1.056492448,-0.01296095,0.040030904,0.003896071,0.036676984,0.002809203,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500328267,7.84089E-05,303.7146,303.3520798,-0.003542227,-0.088347745,4.400584901,45.68090859,20.50256005,30.38333988,4.355164394,0.003688852,2.42550912,1.929655274,0.002305963,68.32382509,1.766969335,53.52975379,401.7490198,-0.001003901
3,16:43:06,15.50000381,0,-0.754659066,0.003671801,711.6874013,0.077940244,1.974933733,30.56438828,6,1.420000017,1,2.840000033,30.20265579,30.56438828,29.99558258,399.954895,401.4007263,25.02745247,25.17931175,55.93093491,56.27350235,300.1901245,-0.030914661,0.06526193,96.33296967,1.056492448,-0.01296095,0.040030904,0.003896071,0.036676984,0.002809203,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500316874,7.79402E-05,303.7143883,303.3526558,-0.004946346,-0.088023394,4.400531609,45.68043136,20.50111961,30.38352203,4.355209832,0.00366706,2.425597875,1.929611957,0.002292338,68.55896084,1.77300975,53.53216446,401.7594551,-0.00100554
4,16:43:08,17.50000377,0,-0.759892453,0.00365757,715.2076324,0.077637251,1.974900263,30.56433487,6,1.420000017,1,2.840000033,30.20286369,30.56433487,29.99513245,399.9527893,401.4093323,25.02824974,25.17951965,55.93266296,56.27355194,300.1881104,-0.053616513,0.058438204,96.33296967,1.056492448,-0.01296095,0.040030904,0.003896071,0.036676984,0.002809203,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500313517,7.76373E-05,303.7143349,303.3528637,-0.008578642,-0.087878126,4.400518166,45.68029181,20.50077216,30.38359928,4.355229102,0.003652866,2.425617903,1.929611199,0.002283463,68.89807516,1.781741417,53.53257585,401.7705488,-0.001012493
