OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Mar 31 2016 09:47:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""09:47:37 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:47:39 Log Option: Logged values are 15 s averages""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:47:39 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:47:40 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:47:40 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:47:40 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,09:47:42,54.50000488,0,0.00178903,0.000632321,385.7664536,0.00966224,1.42459083,29.88284874,6,1.420000017,1,2.840000033,30.00720215,29.88284874,29.99997139,399.9116821,399.9003906,29.00371552,29.02245522,65.78869629,65.83687592,300.3831787,-0.042547967,0.127075389,96.7276535,-0.805089474,0.353083491,0.027156683,0.005484093,0.205278695,0.027134979,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500638631,9.66224E-06,303.0328487,303.1572021,-0.006807675,0.011961682,4.231864822,43.75030996,14.72785474,29.94502544,4.247015075,0.000632181,2.807273992,1.439741083,0.000395126,37.31428385,0.964656356,65.0732042,399.8995402,2.91118E-06
2,09:47:44,56.50000484,0,-0.007643068,0.000601547,410.053727,0.009447702,1.463886689,30.04408646,6,1.420000017,1,2.840000033,30.00695419,30.04408646,29.99962234,399.8917542,399.8994751,29.00523758,29.02356339,65.80391693,65.8490448,300.3468323,-0.042208545,0.133625433,96.72705078,-0.805089474,0.353083491,0.027156683,0.005484093,0.205278695,0.027134979,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500578054,9.4477E-06,303.1940865,303.1569542,-0.006753367,-0.009815222,4.271250379,44.15776501,15.13420163,30.02552032,4.266699014,0.00060142,2.807363689,1.459335324,0.000375899,39.66328768,1.025392011,64.43280615,399.9031082,-1.23146E-05
3,09:47:46,58.50000479,0,-0.012900303,0.000574564,425.3217739,0.009150467,1.484234319,30.12726212,6,1.420000017,1,2.840000033,30.00667191,30.12726212,29.99927902,399.8892212,399.9076843,29.0068531,29.0246048,65.81230164,65.85585022,300.3052673,-0.031715531,0.111794516,96.72682953,-0.805089474,0.353083491,0.027156683,0.005484093,0.205278695,0.027134979,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500508779,9.15047E-06,303.2772621,303.1566719,-0.005074485,-0.02096835,4.291692319,44.36920284,15.34459804,30.06696701,4.276865215,0.000574448,2.807458,1.469407215,0.00035904,41.14002671,1.06354989,64.10589901,399.9138165,-2.06791E-05
4,09:47:48,60.50000475,0,-0.01625674,0.000539514,437.4083315,0.008646377,1.493489018,30.16508102,6,1.420000017,1,2.840000033,30.00643539,30.16508102,29.99905586,399.9005737,399.9261475,29.00855255,29.02532768,65.81898499,65.86040497,300.2806702,-0.014630165,0.103479207,96.72676849,-0.805089474,0.353083491,0.027156683,0.005484093,0.205278695,0.027134979,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500467784,8.64638E-06,303.315081,303.1564354,-0.002340826,-0.025850518,4.301015169,44.46561418,15.4402865,30.08575821,4.281481343,0.000539411,2.807526151,1.473955192,0.000337141,42.30909442,1.093722764,63.95811434,399.9338751,-2.59981E-05
5,09:47:50,62.50000471,0,-0.018787346,0.000527525,446.0534489,0.008482061,1.498356008,30.18524551,6,1.420000017,1,2.840000033,30.00632668,30.18524551,29.99884415,399.9149475,399.9457092,29.01003265,29.02648926,65.82408905,65.86437988,300.2754517,-0.010150877,0.116380513,96.72672272,-0.805089474,0.353083491,0.027156683,0.005484093,0.205278695,0.027134979,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500459086,8.48206E-06,303.3352455,303.1563267,-0.00162414,-0.028512212,4.305993186,44.51709998,15.49061072,30.09578609,4.283946506,0.000527427,2.807637178,1.476309329,0.00032965,43.14528827,1.115284997,63.88132398,399.9546398,-3.00074E-05
6,09:47:52,64.50000466,0,-0.022943669,0.000533107,457.7623651,0.008601106,1.503433122,30.20642281,6,1.420000017,1,2.840000033,30.00634766,30.20642281,29.99858856,399.9246826,399.9636536,29.01143646,29.02812386,65.82807159,65.86850739,300.2781372,-0.010185846,0.11050602,96.72666168,-0.805089474,0.353083491,0.027156683,0.005484093,0.205278695,0.027134979,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500463562,8.60111E-06,303.3564228,303.1563477,-0.001629735,-0.031443442,4.311226638,44.57123365,15.54310979,30.10638523,4.286553446,0.000533007,2.807793515,1.47875993,0.000333138,44.27782542,1.14450991,63.80195414,399.9745599,-3.65986E-05
7,09:47:54,67.0000046,0,-0.033232602,0.000509016,492.8889397,0.008245159,1.509362333,30.23091698,6,1.420000017,1,2.840000033,30.00632858,30.23091698,29.99833488,399.924469,399.9842834,29.0135231,29.02952003,65.83366394,65.872612,300.2752686,-0.007179372,0.101568244,96.72651672,-0.805089474,0.353083491,0.027156683,0.005484093,0.205278695,0.027134979,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500458781,8.24516E-06,303.380917,303.1563286,-0.0011487,-0.03458895,4.317286688,44.63395183,15.6044318,30.11862278,4.289565084,0.000508924,2.807924355,1.481640729,0.000318086,47.67543027,1.232270767,63.70869188,400.0000806,-5.29301E-05
8,09:47:56,69.00000456,0,-0.044262841,0.000463415,540.5558398,0.007571336,1.522263222,30.28348351,6,1.420000017,1,2.840000033,30.00616837,30.28348351,29.99796104,399.9241333,400.0065308,29.01623535,29.03092575,65.84345245,65.87922668,300.2586975,-0.009480502,0.094761692,96.72629547,-0.805089474,0.353083491,0.027156683,0.005484093,0.205278695,0.027134979,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500431163,7.57134E-06,303.4334835,303.1561684,-0.00151688,-0.041418299,4.330317124,44.76876844,15.73784269,30.14482594,4.296019835,0.000463339,2.808053902,1.487965933,0.000289594,52.28596388,1.351367536,63.50547286,400.0275712,-7.02685E-05
9,09:47:58,71.00000452,0,-0.049164475,0.000415141,576.7910964,0.006771886,1.519839124,30.2743988,6,1.420000017,1,2.840000033,30.00601196,30.2743988,29.99742889,399.9381409,400.0309753,29.01957703,29.03271675,65.85138702,65.88428497,300.2473755,-0.010187656,0.081237786,96.7261734,-0.805089474,0.353083491,0.027156683,0.005484093,0.205278695,0.027134979,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500412292,6.77189E-06,303.4243988,303.156012,-0.001630025,-0.039808857,4.328062719,44.74551786,15.71280111,30.14020538,4.294881018,0.00041508,2.808223595,1.486657423,0.000259431,55.79079561,1.441866085,63.54439539,400.0543458,-7.80926E-05
10,09:48:00,73.00000447,0,-0.052283045,0.000373832,610.669657,0.006093572,1.518709177,30.27066422,6,1.420000017,1,2.840000033,30.00590706,30.27066422,29.99697304,399.954834,400.0544434,29.02303123,29.03485489,65.85919189,65.88939667,300.2445374,-0.006118307,0.074060328,96.72605896,-0.805089474,0.353083491,0.027156683,0.005484093,0.205278695,0.027134979,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500407562,6.09357E-06,303.4206642,303.1559071,-0.000978929,-0.038970828,4.327136263,44.73599265,15.70113776,30.13828564,4.29440794,0.000373782,2.808427086,1.485980854,0.000233618,59.06766925,1.526466378,63.5633092,400.0792962,-8.30656E-05
11,09:48:02,75.00000443,0,-0.062251926,0.000361593,661.7129832,0.005894052,1.518689027,30.27164459,6,1.420000017,1,2.840000033,30.00585556,30.27164459,29.99667168,399.9545898,400.0742798,29.02615929,29.03759575,65.86640167,65.89505768,300.2451172,-0.01048422,0.097602606,96.72599792,-0.805089474,0.353083491,0.027156683,0.005484093,0.205278695,0.027134979,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500408529,5.89405E-06,303.4216446,303.1558556,-0.001677475,-0.03901953,4.327379453,44.7385351,15.70093935,30.13875008,4.294522386,0.000361547,2.808690426,1.48583196,0.000225971,64.00484864,1.653975316,63.56558337,400.1038714,-9.89013E-05
12,09:48:04,77.00000438,0,-0.070615873,0.000363179,696.9012433,0.0059263,1.52031179,30.27934265,6,1.420000017,1,2.840000033,30.00577545,30.27934265,29.99633217,399.9516907,400.0880737,29.02910233,29.04060173,65.8731308,65.90162659,300.2344971,-0.023975613,0.088345103,96.72587585,-0.805089474,0.353083491,0.027156683,0.005484093,0.205278695,0.027134979,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500390828,5.9263E-06,303.4293427,303.1557755,-0.003836098,-0.040116402,4.329289428,44.75833782,15.71773609,30.14255905,4.295461089,0.000363133,2.808977638,1.486483451,0.000226962,67.40838314,1.741869576,63.54233192,400.1216411,-0.000112143
13,09:48:06,79.00000434,0,-0.072260063,0.000355373,710.938275,0.005808063,1.52268005,30.28997421,6,1.420000017,1,2.840000033,30.00563812,30.28997421,29.99609375,399.9544678,400.0942383,29.03213501,29.04340553,65.8802948,65.90821838,300.2190857,-0.038823497,0.087096609,96.7258606,-0.805089474,0.353083491,0.027156683,0.005484093,0.205278695,0.027134979,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500365143,5.80806E-06,303.4399742,303.1556381,-0.006211759,-0.041547112,4.331928445,44.78562836,15.74222282,30.14780617,4.296754506,0.000355329,2.809248395,1.487506112,0.000222084,68.76611648,1.776927051,63.50711434,400.1285873,-0.000114689
14,09:48:09,81.50000428,0,-0.065301554,0.000351685,683.0593344,0.005747004,1.522467474,30.29073715,6,1.420000017,1,2.840000033,30.00569725,30.29073715,29.9961586,399.9728699,400.0987854,29.03634071,29.04749298,65.88990021,65.91670227,300.2116699,-0.052266028,0.084495932,96.72608948,-0.805089474,0.353083491,0.027156683,0.005484093,0.205278695,0.027134979,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500352783,5.747E-06,303.4407372,303.1556973,-0.008362564,-0.041636621,4.332117879,44.78748084,15.73998786,30.1482172,4.296855841,0.000351642,2.809650405,1.487205436,0.00021978,66.0696583,1.707226713,63.51364463,400.1298266,-0.000103655
15,09:48:11,83.50000424,0,-0.062268808,0.000361239,662.0318283,0.005912235,1.524799543,30.30171204,6,1.420000017,1,2.840000033,30.00605774,30.30171204,29.99628258,399.9893799,400.1091003,29.04005432,29.05152702,65.8973465,65.92407227,300.2156982,-0.056927714,0.081063248,96.72621155,-0.805089474,0.353083491,0.027156683,0.005484093,0.205278695,0.027134979,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500359497,5.91223E-06,303.451712,303.1560577,-0.009108434,-0.043169334,4.334843692,44.81560502,15.764078,30.15388489,4.298253339,0.000361193,2.810044149,1.488209191,0.00022575,64.03583067,1.654628269,63.48024736,400.1387,-9.87867E-05
16,09:48:13,85.50000419,0,-0.068260657,0.000380179,673.3500644,0.006232688,1.527350462,30.31347656,6,1.420000017,1,2.840000033,30.00640106,30.31347656,29.99640465,399.9881592,400.1195984,29.04325104,29.05534554,65.90357971,65.93109894,300.2156067,-0.065905616,0.083420955,96.72632599,-0.805089474,0.353083491,0.027156683,0.005484093,0.205278695,0.027134979,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500359344,6.23269E-06,303.4634766,303.1564011,-0.010544898,-0.04489683,4.337767286,44.84577743,15.79043189,30.15993881,4.299746511,0.000380128,2.810416824,1.489329688,0.000237585,65.13067784,1.682871989,63.44340512,400.1520462,-0.000108226
17,09:48:15,87.50000415,0,-0.073943257,0.000392141,687.5982953,0.006426441,1.526798305,30.31269264,6,1.420000017,1,2.840000033,30.0066967,30.31269264,29.99665833,399.98172,400.1243591,29.04651642,29.05898666,65.91005707,65.93818665,300.2200012,-0.081592195,0.085293353,96.72650146,-0.805089474,0.353083491,0.027156683,0.005484093,0.205278695,0.027134979,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500366669,6.42644E-06,303.4626926,303.1566967,-0.013054751,-0.044875033,4.337572422,44.84368147,15.78469481,30.15969467,4.299686287,0.000392087,2.810774116,1.48891217,0.000245059,66.50897751,1.718461472,63.45510369,400.1595082,-0.000117255
