OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Mar 31 2016 11:19:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""11:19:46 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:19:48 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:19:48 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:19:48 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:19:48 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11:19:50,12.00000186,0,4.062120831,0.059251556,276.3375516,0.697223022,1.11612257,30.12060356,6,1.420000017,1,2.840000033,30.50619507,30.12060356,29.97514915,399.6285095,394.4157104,32.03094864,32.84142303,70.57745361,72.36244202,499.2077942,1200.255127,0.180479094,96.64411163,0.53218472,0.495848179,0.025865369,0.001871853,0.013005431,0.001471951,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83201299,0.000697223,303.2706036,303.6561951,192.040816,1.873412986,4.290052724,44.39021325,11.54879021,30.31339931,4.337748084,0.058040641,3.173930154,1.16381793,0.036382284,26.70639719,0.700625113,73.49152585,392.4847728,0.007606192
2,11:19:52,14.00000181,0,4.093457768,0.059286861,275.545466,0.698308395,1.117206293,30.12587929,6,1.420000017,1,2.840000033,30.50659561,30.12587929,29.97658157,399.6686096,394.4177856,32.03173065,32.84344101,70.57929993,72.3662262,499.2225647,1200.258301,0.250522792,96.64472961,0.53218472,0.495848179,0.025865369,0.001871853,0.013005431,0.001471951,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832037608,0.000698308,303.2758793,303.6565956,192.0413238,1.872203697,4.291351769,44.40337084,11.55992983,30.31623745,4.338453641,0.058074517,3.174145476,1.164308166,0.036403582,26.63001706,0.698613186,73.47393279,392.4719519,0.007663285
3,11:19:54,16.00000177,0,4.13618096,0.059391109,274.5845083,0.699857802,1.117758709,30.12888718,6,1.420000017,1,2.840000033,30.50648689,30.12888718,29.97783661,399.7312012,394.4285278,32.0317955,32.84526825,70.58045959,72.37056732,499.2453308,1200.246582,0.246422485,96.6450882,0.53218472,0.495848179,0.025865369,0.001871853,0.013005431,0.001471951,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832075551,0.000699858,303.2788872,303.6564869,192.0394488,1.870980548,4.292092556,44.41087111,11.56560286,30.31768703,4.338814045,0.058174542,3.174333847,1.164480199,0.036466467,26.53724403,0.696157831,73.46622248,392.4623855,0.007742642
4,11:19:56,18.00000172,0,4.162274826,0.059478532,274.0666759,0.701089548,1.118112467,30.13085175,6,1.420000017,1,2.840000033,30.5065155,30.13085175,29.97930145,399.7932129,394.4587708,32.03167725,32.84654999,70.58055878,72.37334442,499.2640991,1200.216309,0.199510559,96.64527893,0.53218472,0.495848179,0.025865369,0.001871853,0.013005431,0.001471951,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832106832,0.00070109,303.2808517,303.6565155,192.0346051,1.870044955,4.292576453,44.4157904,11.56924042,30.31868362,4.339061838,0.058258418,3.174463985,1.164597853,0.036519199,26.48725034,0.69479169,73.4615315,392.4802246,0.007790637
