OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Apr  1 2016 09:41:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""09:41:04 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:41:06 Log Option: Logged values are 15 s averages""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:41:06 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:41:06 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:41:06 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:41:06 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,09:41:08,46.00000224,0,-0.666941411,0.005928845,567.4512903,0.108509642,1.709227943,30.34878349,6,1.420000017,1,2.840000033,30.02513313,30.34878349,29.99971199,400.1088867,401.354248,27.06587219,27.27673149,61.29576111,61.77078247,300.342041,0.038361814,0.14476718,96.68767548,-1.880202889,-0.022414958,0.027332436,0.003560234,0.032145794,0.006786306,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500570068,0.00010851,303.4987835,303.1751331,0.00613789,-0.097874152,4.346551705,44.9545579,17.67782641,30.18695831,4.306416256,0.005916494,2.637323762,1.669092494,0.003698916,54.86554621,1.413841496,59.28780621,401.6712801,-0.000984424
2,09:41:10,48.00000219,0,-0.672967747,0.006048824,565.6024654,0.110014818,1.69872201,30.3064518,6,1.420000017,1,2.840000033,30.02517891,30.3064518,29.99925995,400.1072388,401.3635254,27.06283569,27.27663612,61.30496216,61.78602219,300.3192749,-0.01020186,0.110801376,96.68711853,-1.880202889,-0.022414958,0.027332436,0.003560234,0.032145794,0.006786306,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500532125,0.000110015,303.4564518,303.1751789,-0.001632298,-0.092955708,4.33602136,44.84590529,17.56926917,30.16581535,4.301196365,0.006035968,2.63729935,1.663897015,0.003773633,54.68647262,1.409202455,59.44378047,401.683422,-0.000995902
3,09:41:12,50.00000215,0,-0.690625544,0.006123349,568.078389,0.111011405,1.693334598,30.28530884,6,1.420000017,1,2.840000033,30.02565956,30.28530884,29.99899673,400.0837097,401.3745728,27.06236076,27.27811432,61.30879593,61.79390717,300.2960205,-0.040037289,0.093370192,96.68687439,-1.880202889,-0.022414958,0.027332436,0.003560234,0.032145794,0.006786306,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500493368,0.000111011,303.4353088,303.1756596,-0.006405966,-0.090569726,4.330770211,44.79170764,17.51359333,30.1554842,4.298647758,0.006110175,2.637435613,1.661212146,0.003820041,54.92572384,1.415332279,59.52554988,401.7028631,-0.00102339
