OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Apr  1 2016 17:38:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""17:38:06 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:38:08 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:38:08 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:38:08 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:38:08 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17:38:10,12.50000023,0,0.38400791,0.011400378,334.5635197,0.220174252,1.800234181,30.3014679,6,1.420000017,1,2.840000033,30.39183807,30.3014679,29.99198914,400.5988464,400.0315552,26.06822205,26.32583427,57.6042099,58.17340088,499.303894,1199.971924,0.392850488,96.27610779,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832173157,0.000220174,303.4514679,303.5418381,191.9955035,2.069780439,4.334783039,45.02449402,18.69865974,30.34665298,4.346021193,0.011354798,2.534548858,1.811472334,0.00710083,32.21047349,0.836342822,57.10581475,399.8490162,0.000548434
2,17:38:12,14.50000019,0,0.415672,0.011340315,329.8813335,0.21906093,1.800577529,30.30282593,6,1.420000017,1,2.840000033,30.39171028,30.30282593,29.9929142,400.6522522,400.0474243,26.06944275,26.32575989,57.60467148,58.17129898,499.2892456,1199.920288,0.329910994,96.27615356,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832148743,0.000219061,303.4528259,303.5417103,191.9872418,2.070035629,4.335120431,45.02797703,18.70221714,30.3472681,4.346174356,0.011295213,2.534542902,1.811631455,0.007063546,31.75970592,0.824605568,57.09999329,399.8498338,0.000593595
3,17:38:14,16.50000015,0,0.39573269,0.011338341,332.660354,0.219045958,1.80076563,30.30356407,6,1.420000017,1,2.840000033,30.39158821,30.30356407,29.99321365,400.6386414,400.0577698,26.06939888,26.32570267,57.6044693,58.17098618,499.2811584,1199.893921,0.306969583,96.27618408,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832135264,0.000219046,303.4535641,303.5415882,191.9830231,2.069876483,4.335303826,45.02986764,18.70416497,30.34757614,4.346251059,0.011293254,2.534538196,1.811712863,0.007062321,32.02726948,0.831530792,57.09725614,399.8696574,0.000565065
4,17:38:16,18.5000001,0,0.335738466,0.011342613,341.0389525,0.219131999,1.800799219,30.30359077,6,1.420000017,1,2.840000033,30.39153099,30.30359077,29.99313927,400.562439,400.0536194,26.0689888,26.32539558,57.60344696,58.17030716,499.2767944,1199.889526,0.323520184,96.27628326,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832127991,0.000219132,303.4535908,303.541531,191.9823199,2.069814232,4.335310461,45.02989017,18.70449458,30.34756088,4.346247259,0.011297492,2.534511242,1.811736017,0.007064973,32.83396279,0.852483107,57.09659218,399.8940254,0.000479365
5,17:38:18,20.50000006,0,0.277941812,0.011306553,348.9521158,0.218436113,1.800787394,30.30324745,6,1.420000017,1,2.840000033,30.39142799,30.30324745,29.99292374,400.4724426,400.0334167,26.06899643,26.32459068,57.60344315,58.16906357,499.2738342,1199.89856,0.331267715,96.27643585,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832123057,0.000218436,303.4532475,303.541428,191.9837652,2.070210537,4.33522516,45.0289328,18.70434211,30.34733772,4.346191691,0.011261718,2.534437766,1.811753925,0.007042588,33.595866,0.872307415,57.09552633,399.9012965,0.000396829
6,17:38:20,22.50000001,0,0.243770289,0.01126387,353.5750973,0.217609718,1.800750841,30.30272484,6,1.420000017,1,2.840000033,30.39135742,30.30272484,29.99252319,400.4035645,400.006012,26.06895256,26.32357788,57.60360718,58.16749573,499.2781982,1199.897827,0.335999072,96.27659607,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83213033,0.00021761,303.4527248,303.5413574,191.9836481,2.070683447,4.335095315,45.0275092,18.70393132,30.34704113,4.346117839,0.011219373,2.534344475,1.811773365,0.007016092,34.04100682,0.883924458,57.0945241,399.8901352,0.000348044
7,17:38:22,24.49999997,0,0.232698145,0.011255705,355.0779529,0.217441812,1.800663181,30.3020916,6,1.420000017,1,2.840000033,30.39118004,30.3020916,29.99208069,400.3611755,399.9770203,26.06843567,26.32286263,57.60305405,58.16646957,499.2822876,1199.891357,0.343130082,96.27656555,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832137146,0.000217442,303.4520916,303.54118,191.9826129,2.070819037,4.33493799,45.02588938,18.70302675,30.34663582,4.346016918,0.011211272,2.534274809,1.811742109,0.007011023,34.18568581,0.887745883,57.09498473,399.8664067,0.000332258
8,17:38:24,26.49999992,0,0.22053464,0.011250291,356.7391736,0.217332708,1.800624379,30.30157471,6,1.420000017,1,2.840000033,30.39092255,30.30157471,29.99170303,400.3128662,399.9433899,26.06763268,26.32193184,57.60141754,58.16467285,499.28302,1199.872925,0.350212336,96.27656555,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832138367,0.000217333,303.4515747,303.5409225,191.9796637,2.070876719,4.334809575,45.02455556,18.70262372,30.34624863,4.345920511,0.011205901,2.534185196,1.811735315,0.007007663,34.34562243,0.891974171,57.0946072,399.8385583,0.000314911
9,17:38:26,28.99999987,0,0.18242048,0.011255822,362.0535412,0.217428809,1.800544208,30.30077553,6,1.420000017,1,2.840000033,30.39061546,30.30077553,29.99104309,400.2107544,399.8870544,26.0662632,26.32067108,57.59998703,58.16307831,499.2909851,1199.860229,0.374129623,96.27667999,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832151642,0.000217429,303.4507755,303.5406155,191.9776324,2.070875023,4.334611035,45.02243986,18.70176878,30.3456955,4.345782789,0.011211388,2.534066827,1.811715962,0.007011096,34.85731293,0.905389502,57.09471073,399.8003405,0.000260511
10,17:38:28,30.99999982,0,0.168250386,0.01124181,363.9633196,0.217145368,1.800434602,30.29985237,6,1.420000017,1,2.840000033,30.39034462,30.29985237,29.99047852,400.1401062,399.8335876,26.06533051,26.3194046,57.59884262,58.16152954,499.2958374,1199.862305,0.391399592,96.27676392,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832159729,0.000217145,303.4498524,303.5403446,191.9779645,2.071111049,4.334381705,45.02001863,18.70061403,30.3450985,4.345634148,0.011197486,2.533947103,1.811687045,0.007002397,35.0412106,0.910287007,57.09492376,399.7536095,0.000240304
11,17:38:30,32.99999978,0,0.182370432,0.011217704,361.872285,0.216670773,1.800349255,30.29893112,6,1.420000017,1,2.840000033,30.38999176,30.29893112,29.99000359,400.1042175,399.7809753,26.06438446,26.31790161,57.59793091,58.15947342,499.2998352,1199.857788,0.390949786,96.27680969,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832166392,0.000216671,303.4489311,303.5399918,191.9772418,2.071418898,4.33415286,45.01762027,18.69971866,30.34446144,4.34547554,0.01117357,2.533803605,1.811671935,0.006987433,34.83990911,0.905176352,57.09441636,399.6942852,0.000260507
12,17:38:32,34.99999973,0,0.210336976,0.011218625,357.8875374,0.21668655,1.800336441,30.29838753,6,1.420000017,1,2.840000033,30.38970184,30.29838753,29.98978615,400.0903931,399.733551,26.06308746,26.31662178,57.59646225,58.1576767,499.3030396,1199.849854,0.38734287,96.27684784,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832171733,0.000216687,303.4483875,303.5397018,191.9759723,2.071432669,4.334017832,45.01619994,18.69957816,30.34404469,4.345371783,0.011174483,2.533681391,1.811690392,0.006988004,34.45628399,0.895315233,57.09345893,399.6335669,0.000300497
13,17:38:34,36.99999969,0,0.246470874,0.0112199,352.7572758,0.216715921,1.800377821,30.29811478,6,1.420000017,1,2.840000033,30.38942719,30.29811478,29.98974419,400.0904541,399.6901855,26.06192398,26.31549454,57.59494019,58.15604401,499.2999268,1199.855469,0.379714161,96.27682495,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832166545,0.000216716,303.4481148,303.5394272,191.9768707,2.071428657,4.333950083,45.01550695,18.70001241,30.34377098,4.345303641,0.011175749,2.533572261,1.81173138,0.006988796,33.96235049,0.882576777,57.09186169,399.5730251,0.000352163
14,17:38:36,38.99999964,0,0.275105465,0.011194573,348.6038599,0.216239462,1.800469206,30.29815102,6,1.420000017,1,2.840000033,30.38922501,30.29815102,29.98988152,400.0928955,399.6584473,26.06161308,26.31463051,57.5945282,58.15455246,499.2917786,1199.872559,0.377773434,96.27685547,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832152964,0.000216239,303.448151,303.539225,191.9796051,2.071664157,4.333959084,45.01558618,18.70095567,30.34368801,4.345282985,0.01115062,2.533489878,1.811793107,0.006973073,33.56248344,0.872254452,57.08940915,399.5276753,0.000393104
15,17:38:38,40.9999996,0,0.295801955,0.011183826,345.624102,0.216045425,1.800576068,30.29839897,6,1.420000017,1,2.840000033,30.38901329,30.29839897,29.99021149,400.1008301,399.6416016,26.06135559,26.31414986,57.59431076,58.15379715,499.2843628,1199.900146,0.364148915,96.27689362,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832140605,0.000216045,303.448399,303.5390133,191.9840191,2.071747377,4.334020675,45.01620806,18.70205821,30.34370613,4.345287496,0.011139957,2.533444606,1.81184289,0.006966401,33.2756149,0.864835144,57.08730723,399.5009915,0.000422691
16,17:38:40,42.99999955,0,0.32376233,0.011182436,341.6511141,0.216037322,1.800730861,30.29873657,6,1.420000017,1,2.840000033,30.3884716,30.29873657,29.99043465,400.1199646,399.6271362,26.0606308,26.31341934,57.59428406,58.15373993,499.2773132,1199.929077,0.343447477,96.27687073,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832128855,0.000216037,303.4487366,303.5384716,191.9886481,2.071683152,4.334104534,45.01708979,18.70367044,30.34360409,4.345262092,0.011138578,2.533373672,1.81188842,0.006965539,32.89310014,0.854924711,57.08442418,399.4732351,0.000462654
17,17:38:43,45.4999995,0,0.344655443,0.011141031,338.5077749,0.215279067,1.801051904,30.29949188,6,1.420000017,1,2.840000033,30.38777161,30.29949188,29.9907074,400.1373596,399.6197815,26.06014061,26.31204605,57.59489441,58.1528244,499.2698059,1199.939575,0.320803046,96.27682495,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832116343,0.000215279,303.4494919,303.5377716,191.9903277,2.071879572,4.334292156,45.01905997,18.70701392,30.34363174,4.345268977,0.011097496,2.533240252,1.812028726,0.006939833,32.59045379,0.847074621,57.07799444,399.4559488,0.000492476
18,17:38:45,47.49999945,0,0.342703658,0.011109203,338.6507907,0.21470365,1.801361046,30.30030441,6,1.420000017,1,2.840000033,30.38731003,30.30030441,29.99097252,400.1418457,399.6268921,26.05973053,26.31096077,57.59531784,58.15163803,499.2741089,1199.947876,0.316261351,96.27671814,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832123515,0.000214704,303.4503044,303.53731,191.9916559,2.072005509,4.334494,45.02120641,18.71024564,30.34380722,4.345312663,0.011065916,2.533132954,1.812179709,0.006920074,32.60418672,0.847417422,57.07212334,399.4639872,0.000489627
19,17:38:47,49.49999941,0,0.346651318,0.011086865,338.0038234,0.214296572,1.801552543,30.30073166,6,1.420000017,1,2.840000033,30.3867321,30.30073166,29.99103355,400.1619263,399.6424255,26.05934143,26.31009293,57.59605408,58.15141296,499.2793579,1199.95166,0.326386869,96.27664948,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832132263,0.000214297,303.4507317,303.5367321,191.9922613,2.072077104,4.334600137,45.02234094,18.71224801,30.34373188,4.345293907,0.011043752,2.533047594,1.812246313,0.006906205,32.54187562,0.845765619,57.06826877,399.4776441,0.000495216
20,17:38:49,51.49999936,0,0.352898819,0.011079032,337.1004495,0.214154474,1.801623683,30.30087662,6,1.420000017,1,2.840000033,30.38607025,30.30087662,29.99101448,400.1934509,399.6665039,26.05917168,26.30975723,57.59724808,58.15223312,499.2788696,1199.956787,0.33668533,96.27654266,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832131449,0.000214154,303.4508766,303.5360703,191.9930816,2.072046962,4.334636148,45.02276492,18.71300769,30.34347343,4.345229565,0.01103598,2.533012465,1.8122171,0.006901343,32.45486581,0.843454346,57.06681022,399.4987527,0.000504102
21,17:38:51,53.49999932,0,0.344893176,0.011078383,338.2638463,0.214157915,1.801754918,30.30124855,6,1.420000017,1,2.840000033,30.38526344,30.30124855,29.99100113,400.2094421,399.6921082,26.05879784,26.30938721,57.59863663,58.15328979,499.27948,1199.969971,0.336096168,96.27642059,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832132467,0.000214158,303.4512486,303.5352634,191.995191,2.07190773,4.334728547,45.02378173,18.71439453,30.343256,4.345175433,0.011035336,2.532973628,1.812201805,0.00690094,32.56683234,0.846311046,57.06457391,399.5281625,0.000492611
22,17:38:53,55.49999927,0,0.324042451,0.011041002,341.0996116,0.21345353,1.801884072,30.30147362,6,1.420000017,1,2.840000033,30.38446999,30.30147362,29.99096107,400.2019653,399.710022,26.05887985,26.30864525,57.60076141,58.15423965,499.2793884,1199.986572,0.338037342,96.27635193,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832132314,0.000213454,303.4514736,303.53447,191.9978473,2.072149186,4.334784461,45.02439461,18.71574936,30.3429718,4.345104683,0.010998244,2.532900389,1.812204294,0.006877732,32.83982625,0.853367674,57.06148996,399.5559877,0.000462772
23,17:38:55,57.49999923,0,0.297093221,0.010982064,344.7422374,0.212319333,1.801890549,30.30122375,6,1.420000017,1,2.840000033,30.3839016,30.30122375,29.990839,400.1811829,399.722168,26.05952454,26.30796242,57.60330963,58.15454865,499.2804871,1200.016602,0.332108438,96.27624512,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832134145,0.000212319,303.4512238,303.5339016,192.002652,2.072725323,4.334722387,45.02379981,18.71583739,30.34256268,4.345002832,0.01093976,2.532831838,1.812170994,0.006841138,33.19048815,0.862454637,57.0598615,399.5809441,0.000424247
24,17:38:57,59.99999917,0,0.271332365,0.010961513,348.3883674,0.211899673,1.801688074,30.300354,6,1.420000017,1,2.840000033,30.38326263,30.300354,29.99059296,400.1601257,399.7322693,26.05989838,26.30784416,57.60617828,58.1558075,499.2826538,1200.062622,0.329092324,96.27616119,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832137756,0.0002119,303.450354,303.5332626,192.0100152,2.073051043,4.334506319,45.02159481,18.71375065,30.34180832,4.344815044,0.010919368,2.532818245,1.811996799,0.006828379,33.54149461,0.871554273,57.06228856,399.6032909,0.000387455
25,17:38:59,61.99999913,0,0.258050665,0.010975979,350.3484475,0.212152981,1.801474958,30.29966545,6,1.420000017,1,2.840000033,30.38261223,30.29966545,29.99056244,400.1385803,399.7265625,26.06003571,26.30827904,57.60836411,58.15815353,499.2801208,1200.08728,0.326421201,96.27616882,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832133535,0.000212153,303.4496655,303.5326122,192.0139606,2.072976516,4.334335272,45.01981461,18.71153558,30.34113884,4.34464839,0.010933723,2.532860314,1.811788076,0.006837361,33.73020628,0.876470268,57.06592107,399.6038976,0.000368512
26,17:39:01,63.99999908,0,0.24167606,0.010972303,352.672065,0.212076114,1.801423024,30.29952049,6,1.420000017,1,2.840000033,30.38207626,30.29952049,29.99057961,400.0947571,399.7024536,26.0602932,26.3084507,57.61047363,58.16008759,499.271759,1200.107178,0.303049475,96.27614594,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832119598,0.000212076,303.4495205,303.5320763,192.0171441,2.072997915,4.334299263,45.0194513,18.7110006,30.34079838,4.344563641,0.010930075,2.532876239,1.811687402,0.006835078,33.9539072,0.882336503,57.06675102,399.5875724,0.000345148
27,17:39:03,65.99999904,0,0.22705142,0.010958508,354.7007572,0.211827832,1.801569095,30.30006409,6,1.420000017,1,2.840000033,30.38156891,30.30006409,29.99066353,400.0396423,399.6650391,26.06046867,26.30833817,57.61258316,58.16149521,499.2667542,1200.107666,0.298955679,96.27613831,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832111257,0.000211828,303.4500641,303.5315689,192.0172223,2.072977982,4.334434299,45.02085745,18.71251929,30.3408165,4.344568152,0.010916386,2.532865204,1.811702948,0.006826513,34.14921916,0.887495083,57.06437082,399.5571097,0.000324273
28,17:39:05,67.99999899,0,0.222671781,0.010970314,355.3259099,0.212071041,1.801702444,30.30076599,6,1.420000017,1,2.840000033,30.38120079,30.30076599,29.99080849,399.9930115,399.6235657,26.06060219,26.30875587,57.61428452,58.16329193,499.267334,1200.103516,0.309356719,96.27616882,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832112223,0.000212071,303.450766,303.5312008,192.0165582,2.072702005,4.334608666,45.0226543,18.71389842,30.34098339,4.344609695,0.010928101,2.532906222,1.811703473,0.006833843,34.20941729,0.889151543,57.0630486,399.5177182,0.000318042
29,17:39:07,69.99999895,0,0.229424354,0.010983073,354.3508346,0.212293787,1.801510233,30.30011559,6,1.420000017,1,2.840000033,30.38101768,30.30011559,29.99082947,399.958313,399.580658,26.06064224,26.30905533,57.61549377,58.16479874,499.2696838,1200.106934,0.318752438,96.27623749,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83211614,0.000212294,303.4501156,303.5310177,192.0171051,2.072662604,4.334447092,45.02094395,18.71188862,30.34056664,4.344505956,0.010940762,2.532936859,1.811569097,0.006841765,34.11556511,0.886806775,57.06625241,399.4716006,0.000327743
30,17:39:09,71.9999989,0,0.246557531,0.010994482,351.8873625,0.212464262,1.801097766,30.29860878,6,1.420000017,1,2.840000033,30.38095284,30.29860878,29.99093437,399.940918,399.5426025,26.06082153,26.30943298,57.61646271,58.16605759,499.2717285,1200.093628,0.330402583,96.27630615,-1.363380671,0.011372681,0.036079146,0.00140255,0.016738955,0.001411777,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832119548,0.000212464,303.4486088,303.5309528,192.0149762,2.07275388,4.33407279,45.01702406,18.70759108,30.33978081,4.344310352,0.010952084,2.532975025,1.811335328,0.006848849,33.87841545,0.88072551,57.07262597,399.4254009,0.000352298
Remark=,"""17:39:11 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:39:11 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
