OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 29 2016 13:15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""13:15:50 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:15:53 Log Option: Logged values are 15 s averages""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:15:53 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:15:53 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:15:53 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:15:53 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13:15:56,61.50000247,0,-0.050765328,0.014378572,396.5494056,0.202453194,1.315536708,30.26979256,6,1.420000017,1,2.840000033,30.58966064,30.26979256,29.99010086,399.9222107,399.8859863,30.92868233,31.16400909,67.82171631,68.34099579,500.0976563,1198.673706,0.109052807,96.6301651,-0.316889733,0.543956459,0.061409179,0.071738549,0.101851694,0.076292537,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833496094,0.000202453,303.4197926,303.7396606,191.7877887,2.107587148,4.326920052,44.77815025,13.61414116,30.4297266,4.366749,0.014306141,3.011383344,1.355365656,0.008947818,38.31863453,0.99165617,68.55564145,399.9101177,-8.70258E-05
2,13:15:58,63.50000243,0,-0.044389536,0.014450865,395.8254523,0.203430743,1.315311743,30.26928139,6,1.420000017,1,2.840000033,30.59034538,30.26928139,29.99038887,399.9338989,399.8895569,30.92851448,31.16496849,67.81826019,68.33781433,500.116272,1198.654297,0.112257622,96.63034058,-0.316889733,0.543956459,0.061409179,0.071738549,0.101851694,0.076292537,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83352712,0.000203431,303.4192814,303.7403454,191.7846832,2.107229718,4.326793263,44.77675683,13.61178834,30.42981339,4.366770698,0.014377707,3.011481519,1.355289179,0.008992611,38.24874827,0.989836932,68.56090071,399.9106575,-7.61017E-05
3,13:16:00,66.00000237,0,-0.041452674,0.014589232,395.4653226,0.205310175,1.314939252,30.26817322,6,1.420000017,1,2.840000033,30.59087181,30.26817322,29.99020004,399.9416504,399.8928833,30.92733002,31.16596413,67.81380463,68.33668518,500.1250305,1198.622925,0.14957954,96.63038635,-0.316889733,0.543956459,0.061409179,0.071738549,0.101851694,0.076292537,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833541718,0.00020531,303.4181732,303.7408718,191.7796637,2.106462963,4.326518406,44.77389121,13.60792708,30.42952251,4.366697972,0.014514669,3.011579155,1.355118818,0.009078338,38.21396692,0.988928133,68.56936157,399.9125879,-7.10751E-05
