OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 29 2016 09:38:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""09:38:49 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:38:53 Log Option: Logged values are 15 s averages""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:38:53 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:38:53 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:38:53 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:38:53 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,09:38:55,52.00000078,0,-0.32075331,0.014206575,428.6732008,0.176629686,1.163936608,30.31726265,6,1.420000017,1,2.840000033,30.02470779,30.31726265,29.99936867,400.1787109,400.6783447,32.41927338,32.76073456,73.59963989,74.38014984,300.1978149,0.079421133,0.130717665,96.90783691,-0.707591414,0.513165772,0.03160651,0.003834118,0.031146178,0.004041002,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500329692,0.00017663,303.4672626,303.1747078,0.012707381,-0.127483597,4.33870853,44.77149287,12.01075831,30.17098522,4.302472221,0.014135863,3.174771922,1.1277003,0.008841241,41.54179264,1.069868653,72.23020221,400.8308155,-0.000578001
2,09:38:58,54.50000073,0,-0.333507466,0.0143136,429.9089189,0.176992642,1.157696059,30.2930069,6,1.420000017,1,2.840000033,30.02471924,30.2930069,30.00031471,400.1954651,400.7202454,32.42055893,32.76269531,73.61816406,74.39784241,300.2204285,-0.006946193,0.083601251,96.90855408,-0.707591414,0.513165772,0.03160651,0.003834118,0.031146178,0.004041002,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500367381,0.000176993,303.4430069,303.1747192,-0.001111391,-0.124526102,4.332681489,44.70896848,11.94627317,30.15886307,4.299481151,0.014241821,3.17498543,1.124495721,0.008907559,41.66185171,1.072840526,72.34257836,400.8787788,-0.000601848
3,09:39:00,56.50000068,0,-0.340477192,0.01435014,430.620374,0.177035767,1.155060629,30.28308678,6,1.420000017,1,2.840000033,30.02469826,30.28308678,30.00069618,400.1957703,400.734436,32.42220306,32.76441956,73.62605286,74.40527344,300.2227478,-0.037936192,0.074361257,96.90872192,-0.707591414,0.513165772,0.03160651,0.003834118,0.031146178,0.004041002,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500371246,0.000177036,303.4330868,303.1746983,-0.006069791,-0.123259947,4.330218653,44.68347706,11.9190575,30.15389252,4.298255221,0.014277995,3.175158024,1.123097197,0.008930201,41.73087008,1.074577913,72.3905392,400.8962826,-0.000614806
4,09:39:02,58.50000064,0,-0.342226873,0.014383832,430.7335135,0.177205521,1.153481636,30.27741051,6,1.420000017,1,2.840000033,30.024683,30.27741051,30.00043297,400.1887512,400.7307739,32.42362595,32.76616669,73.63150024,74.41098022,300.2256165,-0.048771113,0.084154554,96.90875244,-0.707591414,0.513165772,0.03160651,0.003834118,0.031146178,0.004041002,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500376027,0.000177206,303.4274105,303.174683,-0.007803378,-0.122595701,4.328809972,44.66892683,11.90276014,30.15104675,4.297553482,0.014311349,3.175328336,1.122225147,0.008951077,41.74184743,1.074870066,72.41981877,400.8934522,-0.000618219
5,09:39:04,60.50000059,0,-0.344005407,0.014399742,430.8905871,0.177247536,1.15249079,30.27406311,6,1.420000017,1,2.840000033,30.02486038,30.27406311,30.00011444,400.1802979,400.7258301,32.42521286,32.76782608,73.63562775,74.41516113,300.2327576,-0.049453139,0.092346601,96.90873718,-0.707591414,0.513165772,0.03160651,0.003834118,0.031146178,0.004041002,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500387929,0.000177248,303.4240631,303.1748604,-0.007912502,-0.122139512,4.327979435,44.66036357,11.89253748,30.14946175,4.297162678,0.014327099,3.175488646,1.121674032,0.008960935,41.75706266,1.0752753,72.4384748,400.8893538,-0.000621599
