OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 30 2016 11:18:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""11:18:06 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:18:07 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:18:07 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:18:07 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:18:07 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11:18:09,8.500000682,0,0.111329345,0.012136947,373.1941899,0.227234356,1.750130314,31.88790512,6,1.420000017,1,2.840000033,30.44613457,31.88790512,30.00869942,399.7836304,399.5407104,30.62510109,30.88977051,67.92431641,68.51261902,499.2230835,1199.577393,4.431946278,96.9492569,-1.493426085,-0.344470233,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832038472,0.000227234,305.0379051,303.5961346,191.9323785,1.929171241,4.74487061,48.94179452,18.05202401,31.16701984,4.554519054,0.0120853,2.994740296,1.559778757,0.007557936,36.18089939,0.934057983,61.74531342,399.4877898,0.000172072
2,11:18:11,10.50000064,0,0.097117791,0.012102161,375.0179797,0.226613649,1.750344072,31.88865662,6,1.420000017,1,2.840000033,30.44701385,31.88865662,30.00950432,399.7755127,399.5499573,30.62567711,30.88963699,67.92543793,68.51210022,499.1977539,1199.668213,4.382457733,96.94929504,-1.493426085,-0.344470233,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.831996257,0.000226614,305.0386566,303.5970139,191.9469098,1.929677481,4.745072603,48.94385876,18.05422176,31.16783524,4.554730545,0.012050809,2.994728531,1.560002015,0.007536352,36.35772876,0.938600975,61.74176461,399.5037921,0.000150092
3,11:18:13,12.50000059,0,0.086830303,0.012079069,376.3470478,0.226169503,1.750242339,31.88825226,6,1.420000017,1,2.840000033,30.44834137,31.88825226,30.00957298,399.76828,399.5552979,30.62607956,30.88952637,67.92319489,68.5085907,499.1897278,1199.734131,4.37247467,96.94941711,-1.493426085,-0.344470233,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83198288,0.00022617,305.0382523,303.5983414,191.9574566,1.930278064,4.744963916,48.94267605,18.05314969,31.16829681,4.554850271,0.012027912,2.994721576,1.560128694,0.007522025,36.48662692,0.941914798,61.74282799,399.5140229,0.000134192
4,11:18:15,14.50000055,0,0.080974587,0.012047562,377.0834432,0.225633074,1.750637,31.88952446,6,1.420000017,1,2.840000033,30.44933128,31.88952446,30.00897598,399.7606812,399.5549927,30.62613106,30.88895607,67.91996765,68.50419617,499.1842346,1199.765747,4.384674549,96.94950104,-1.493426085,-0.344470233,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.831973724,0.000225633,305.0395245,303.5993313,191.9625152,1.930569036,4.745305878,48.94616091,18.05720484,31.16942787,4.555143659,0.011996671,2.994668879,1.56047478,0.007502475,36.55805167,0.943758557,61.7364782,399.5165012,0.000125128
