OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 30 2016 12:19:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""12:19:11 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:19:12 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:19:12 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:19:12 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:19:12 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12:19:14,8.000000313,0,-0.483370755,0.054493788,406.3093141,0.728680616,1.267521908,30.63217163,6,1.420000017,1,2.840000033,30.55864334,30.63217163,29.9980011,400.2755127,400.6581421,31.13660622,32.54576874,68.5038681,71.60601044,300.1634521,-0.22814253,0.696655512,96.78986359,-1.522112608,-0.42266199,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50027242,0.000728681,303.7821716,303.7086433,-0.036502804,-0.38861936,4.417622424,45.64137463,13.09560589,30.59540749,4.408345593,0.05346785,3.150100516,1.258245077,0.03350809,39.32662309,1.014104723,70.70243678,400.8879134,-0.000852495
2,12:19:16,10.00000027,0,-0.476609443,0.054438018,406.1053255,0.728106062,1.267798239,30.63282204,6,1.420000017,1,2.840000033,30.56161499,30.63282204,29.99958229,400.2714844,400.6411133,31.13636971,32.54453659,68.49906921,71.59857178,300.1392212,-0.157063574,0.783622444,96.79008484,-1.522112608,-0.42266199,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500232035,0.000728106,303.782822,303.711615,-0.025130171,-0.38785813,4.417786696,45.6429675,13.09843091,30.59721851,4.408802179,0.053414158,3.149988458,1.258813721,0.033474351,39.30696891,1.013638671,70.69656919,400.8676706,-0.000840543
3,12:19:18,12.00000022,0,-0.472030046,0.054332026,405.9853413,0.727313053,1.268835565,30.6362114,6,1.420000017,1,2.840000033,30.5674839,30.6362114,30.00205994,400.2756348,400.6367798,31.13594818,32.54269791,68.4826355,71.57866669,300.1149292,-0.11002025,0.726042628,96.78998566,-1.522112608,-0.42266199,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500191549,0.000727313,303.7862114,303.7174839,-0.01760324,-0.387005159,4.418642829,45.65185953,13.10916162,30.60184765,4.409969436,0.053312112,3.149807264,1.260162172,0.033410226,39.29531536,1.013350151,70.67709372,400.8611603,-0.000832251
4,12:19:20,14.00000018,0,-0.474999814,0.054217376,406.0986175,0.726953511,1.270824501,30.64378738,6,1.420000017,1,2.840000033,30.57347298,30.64378738,30.00544739,400.27948,400.6468506,31.13587952,32.54199219,68.46251678,71.55638885,300.1026917,-0.087206796,0.643451214,96.78978729,-1.522112608,-0.42266199,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500171153,0.000726954,303.7937874,303.723473,-0.013953087,-0.386997707,4.420557003,45.6717297,13.12973751,30.60863018,4.411680168,0.053201722,3.149732502,1.261947666,0.033340859,39.3061988,1.013607412,70.64239078,400.8726427,-0.000837052
5,12:19:22,16.00000013,0,-0.479962409,0.054173336,406.2599936,0.727127745,1.272132679,30.64920425,6,1.420000017,1,2.840000033,30.57665443,30.64920425,30.00714111,400.2817688,400.658905,31.13618469,32.54263687,68.45127869,71.54466248,300.1019592,-0.067888968,0.61171633,96.78974152,-1.522112608,-0.42266199,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500169932,0.000727128,303.7992043,303.7266544,-0.010862235,-0.38736656,4.42192609,45.68589626,13.14325939,30.61292934,4.412764829,0.053159316,3.149793411,1.262971418,0.033314212,39.32179977,1.013979693,70.62059565,400.8870562,-0.000845506
6,12:19:24,18.00000009,0,-0.477789676,0.054193163,406.1962329,0.727520957,1.272360791,30.6503067,6,1.420000017,1,2.840000033,30.57865524,30.6503067,30.00671959,400.2940369,400.6665039,31.13595963,32.54317474,68.44361877,71.53760529,300.1012878,-0.040109903,0.59259975,96.78969574,-1.522112608,-0.42266199,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500168813,0.000727521,303.8003067,303.7286552,-0.006417584,-0.387390161,4.422204773,45.68879713,13.14562239,30.61448097,4.413156355,0.053178407,3.149843982,1.263312373,0.033326208,39.3156098,1.013801326,70.61732799,400.8936222,-0.000841626
7,12:19:27,20.50000003,0,-0.471461262,0.054216133,406.0076715,0.72798578,1.272640497,30.65159607,6,1.420000017,1,2.840000033,30.58081627,30.65159607,30.00584602,400.31427,400.6737061,31.13555527,32.54368591,68.43296051,71.52820587,300.0976257,-0.017297985,0.535266221,96.78959656,-1.522112608,-0.42266199,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50016271,0.000727986,303.8015961,303.7308163,-0.002767678,-0.38746393,4.422530727,45.6922116,13.14852569,30.61620617,4.413591714,0.053200525,3.14989023,1.263701484,0.033340107,39.29731872,1.013312492,70.61320801,400.8978162,-0.000830421
8,12:19:29,22.49999999,0,-0.467786765,0.054187043,405.9103543,0.727959369,1.273258217,30.65391159,6,1.420000017,1,2.840000033,30.58290291,30.65391159,30.00563049,400.3304443,400.6825562,31.13528252,32.54341888,68.42375183,71.51837921,300.0856018,0.009589974,0.498280883,96.78939819,-1.522112608,-0.42266199,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50014267,0.000727959,303.8039116,303.7329029,0.001534396,-0.387431126,4.423116146,45.69835362,13.15493474,30.61840725,4.414147218,0.053172514,3.149857929,1.264289289,0.033322505,39.28781891,1.013047232,70.60245013,400.9049196,-0.000823809
9,12:19:31,24.49999994,0,-0.4719387,0.054177351,406.0521744,0.728202021,1.273898209,30.65633965,6,1.420000017,1,2.840000033,30.58426094,30.65633965,30.00544548,400.3433533,400.7035522,31.13459969,32.54324722,68.41549683,71.51030731,300.0767517,0.022163654,0.442965478,96.78910828,-1.522112608,-0.42266199,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50012792,0.000728202,303.8063396,303.7342609,0.003546185,-0.387684064,4.423730088,45.7048336,13.16158638,30.62030029,4.414625029,0.053163182,3.149831879,1.26479315,0.033316641,39.30142787,1.013348078,70.59156064,400.9278893,-0.000830945
10,12:19:33,26.4999999,0,-0.482912948,0.054214658,406.3928401,0.728727903,1.273954675,30.65668106,6,1.420000017,1,2.840000033,30.58397675,30.65668106,30.00501823,400.3473511,400.7290344,31.13393784,32.54360199,68.41080475,71.50708771,300.0767822,0.026341679,0.420306474,96.78897095,-1.522112608,-0.42266199,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50012797,0.000728728,303.8066811,303.7339767,0.004214668,-0.388037464,4.423816422,45.70579043,13.16218844,30.6203289,4.41463225,0.053199105,3.149861748,1.264770503,0.033339214,39.3343448,1.014133754,70.59119008,400.9585881,-0.000850198
11,12:19:35,28.49999985,0,-0.49148713,0.054303712,406.6497603,0.729287755,1.272886936,30.6527195,6,1.420000017,1,2.840000033,30.58245087,30.6527195,30.00337029,400.349762,400.7481079,31.13358688,32.54431534,68.41121674,71.50945282,300.0805359,0.030118594,0.426683664,96.78887939,-1.522112608,-0.42266199,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500134226,0.000729288,303.8027195,303.7324509,0.004818975,-0.38797663,4.422814748,45.6954846,13.15116926,30.61758518,4.413939739,0.053284851,3.149927812,1.264011927,0.033393095,39.3591746,1.014726588,70.6102346,400.9817374,-0.000865476
