OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 29 2016 13:29:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""13:29:17 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:29:23 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:29:23 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:29:23 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:29:23 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13:29:25,54.00000027,0,-0.921846188,0.039284001,430.3948477,0.525793974,1.261882887,30.50236511,6,1.420000017,1,2.840000033,30.42582321,30.50236511,29.9998703,399.9952393,401.4163818,31.26316452,32.28050232,69.29008484,71.56400299,300.0897522,0.047205761,0.360178381,96.74758911,-2.020682335,0.214691222,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500149587,0.000525794,303.6523651,303.5758232,0.007552922,-0.283389108,4.384943662,45.32354452,13.0430422,30.46409416,4.375349251,0.038748023,3.123060775,1.252288476,0.024265105,41.63966388,1.072190541,70.46914501,401.8545834,-0.001616548
2,13:29:27,56.00000022,0,-0.92643338,0.039387063,430.4856314,0.526579472,1.260510229,30.49717712,6,1.420000017,1,2.840000033,30.42149353,30.49717712,29.99748993,399.9782104,401.4078674,31.26251411,32.28134537,69.29691315,71.56661987,300.0972595,0.055460434,0.27978,96.74726105,-2.020682335,0.214691222,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500162099,0.000526579,303.6471771,303.5714935,0.008873669,-0.283660712,4.383641976,45.31024371,13.02889834,30.45933533,4.374157505,0.038848289,3.123131747,1.251025757,0.024328018,41.64830576,1.072439447,70.49375623,401.8482495,-0.001625185
3,13:29:29,58.00000018,0,-0.94838518,0.039465503,431.322134,0.527105148,1.259299007,30.492836,6,1.420000017,1,2.840000033,30.41864204,30.492836,29.99668503,399.9459534,401.4190674,31.26282501,32.28267288,69.3057785,71.57440186,300.0969849,0.054558739,0.217452779,96.74707031,-2.020682335,0.214691222,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500161641,0.000527105,303.642836,303.568642,0.008729398,-0.283725105,4.38255303,45.29907744,13.01640455,30.45573902,4.373257076,0.038924595,3.123254023,1.250003053,0.024375898,41.72915282,1.074493389,70.51573838,401.8698843,-0.001664123
4,13:29:31,60.00000013,0,-0.981815612,0.039522671,432.6523313,0.527555813,1.258579945,30.49040794,6,1.420000017,1,2.840000033,30.41730118,30.49040794,29.99745941,399.9052429,401.4448547,31.26308632,32.28383636,69.31078339,71.57936096,300.087738,0.040919494,0.182162479,96.74699402,-2.020682335,0.214691222,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50014623,0.000527556,303.6404079,303.5673012,0.006547119,-0.283831057,4.381944069,45.29281879,13.00898243,30.45385456,4.372785317,0.038980205,3.123364124,1.249421193,0.024410791,41.85781251,1.077737891,70.52914204,401.9115629,-0.001722932
