OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 29 2016 14:42:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:42:21 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:42:25 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:42:25 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:42:25 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:42:25 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:42:27,26.50000048,0,9.379017163,0.106436879,232.5367696,1.985960069,1.789370244,33.06371689,6,1.420000017,1,2.840000033,31.04818344,33.06371689,29.99617004,399.7819519,387.6039429,31.65695381,33.95907593,67.57914734,72.48905945,500.0217896,1199.385132,2.303727865,96.61193848,-1.712607384,0.204734862,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833369649,0.00198596,306.2137169,304.1981834,191.9016168,0.932839263,5.070222398,52.48028844,18.52121252,32.05595016,4.790225876,0.102591961,3.280852154,1.509373722,0.064454677,22.46582808,0.599933963,64.44651581,383.1456073,0.015775856
2,14:42:29,28.50000044,0,9.317717991,0.106475803,233.5548072,1.986760462,1.789460088,33.06384277,6,1.420000017,1,2.840000033,31.04849625,33.06384277,29.99580002,399.7414551,387.6363831,31.65544701,33.95853043,67.58668518,72.50050354,500.014801,1199.380859,2.330121756,96.61190033,-1.712607384,0.204734862,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833358002,0.00198676,306.2138428,304.1984962,191.9009332,0.932443785,5.070258245,52.4806802,18.52214978,32.05616951,4.790285323,0.102628123,3.280798157,1.509487166,0.064477514,22.56417375,0.602510026,64.4454546,383.2071862,0.015669972
3,14:42:31,30.50000039,0,9.286269411,0.106564272,234.1630513,1.988093973,1.789233618,33.06333542,6,1.420000017,1,2.840000033,31.04835129,33.06333542,29.9960537,399.7171936,387.6493225,31.65468788,33.95929337,67.59030914,72.50706482,500.0195618,1199.377808,2.316139936,96.61214447,-1.712607384,0.204734862,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833365936,0.001988094,306.2133354,304.1983513,191.9004449,0.931802745,5.070113774,52.47905222,18.51975885,32.05584335,4.790196928,0.102710311,3.280880157,1.509316772,0.06452942,22.62299454,0.604058972,64.45002481,383.2350748,0.015617054
4,14:42:33,32.50000035,0,9.296227565,0.106685276,234.1654535,1.989723102,1.788748726,33.06232071,6,1.420000017,1,2.840000033,31.04824829,33.06232071,29.99684334,399.7252808,387.6450195,31.65478897,33.96121979,67.59308624,72.51368713,500.0322571,1199.379883,2.292587996,96.61243439,-1.712607384,0.204734862,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833387095,0.001989723,306.2123207,304.1982483,191.900777,0.931098761,5.069824845,52.47590413,18.51468434,32.0552845,4.790045472,0.102822716,3.281076118,1.508969353,0.06460041,22.62329451,0.604071874,64.4591158,383.2260382,0.015636375
5,14:42:35,34.5000003,0,9.324072879,0.106726772,233.7914891,1.990251972,1.788556043,33.06206512,6,1.420000017,1,2.840000033,31.04897499,33.06206512,29.99756622,399.7546387,387.6408386,31.65538979,33.96240997,67.59371185,72.51635742,500.0367737,1199.380615,2.281529903,96.61257935,-1.712607384,0.204734862,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833394623,0.001990252,306.2120651,304.198975,191.9008941,0.930967555,5.069752071,52.47507214,18.51266217,32.05552006,4.79010931,0.102861262,3.281196028,1.508913282,0.064624754,22.58719879,0.603113671,64.46292793,383.2086209,0.015684852
6,14:42:37,37.00000025,0,9.342130897,0.106705115,233.4865795,1.990149789,1.788812621,33.06312561,6,1.420000017,1,2.840000033,31.0501442,33.06312561,29.99813461,399.7758484,387.6404724,31.65595245,33.96284485,67.59263611,72.51531982,500.0385742,1199.384644,2.271912813,96.61267853,-1.712607384,0.204734862,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833397624,0.00199015,306.2131256,304.2001442,191.9015387,0.931038933,5.070054032,52.47814375,18.5152989,32.0566349,4.790411456,0.102841145,3.281241411,1.509170045,0.064612049,22.55776385,0.602327662,64.45962042,383.1996708,0.015714789
7,14:42:39,39.0000002,0,9.345278393,0.10671079,233.4452683,1.990657694,1.789174462,33.06467438,6,1.420000017,1,2.840000033,31.05075264,33.06467438,29.99836159,399.7812195,387.6417542,31.65613365,33.96362686,67.59175873,72.51542664,500.035553,1199.378296,2.259871483,96.61278534,-1.712607384,0.204734862,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833392588,0.001990658,306.2146744,304.2007526,191.9005231,0.930624563,5.070495054,52.48265057,18.51902371,32.05771351,4.790703796,0.102846416,3.281320591,1.509383204,0.064615378,22.5537976,0.6022191,64.45549338,383.1994564,0.015719086
8,14:42:41,41.00000016,0,9.340503784,0.106775152,233.6024954,1.99217409,1.789496777,33.06632996,6,1.420000017,1,2.840000033,31.05095482,33.06632996,29.99829102,399.7793579,387.6448364,31.6558075,33.96506882,67.59439087,72.52186584,500.0325623,1199.37207,2.239938974,96.61307526,-1.712607384,0.204734862,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833387604,0.001992174,306.21633,304.2009548,191.899527,0.929616048,5.070966527,52.4873731,18.52230428,32.05864239,4.790955566,0.102906199,3.28146975,1.509485817,0.064653135,22.56905546,0.602619907,64.45305737,383.2048083,0.015710242
9,14:42:43,43.00000011,0,9.351430121,0.106875137,233.5542801,1.9940871,1.789602131,33.06752014,6,1.420000017,1,2.840000033,31.05111885,33.06752014,29.99808693,399.7826538,387.6341248,31.65587044,33.96735001,67.59460449,72.52633667,500.0312195,1199.372681,2.207113028,96.61346436,-1.712607384,0.204734862,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833385366,0.001994087,306.2175201,304.2011189,191.8996246,0.928478098,5.07130549,52.49067016,18.52332015,32.0593195,4.791139103,0.102999067,3.281703359,1.509435744,0.064711787,22.56448812,0.602512176,64.45444313,383.1889027,0.015729611
10,14:42:45,45.00000007,0,9.372459213,0.106948027,233.3163403,1.995337862,1.78955035,33.06804657,6,1.420000017,1,2.840000033,31.05099869,33.06804657,29.99772644,399.7957153,387.6213379,31.6564045,33.96934128,67.59567261,72.53075409,500.028595,1199.375977,2.205793381,96.61373901,-1.712607384,0.204734862,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833380992,0.001995338,306.2180466,304.2009987,191.900152,0.927744021,5.071455423,52.49207281,18.52273153,32.05952263,4.791194165,0.103066764,3.281905073,1.509289092,0.064754542,22.54156401,0.601918206,64.45733856,383.1661197,0.015766628
11,14:42:47,47.00000002,0,9.385929121,0.106940954,233.086996,1.995481871,1.789793058,33.06910324,6,1.420000017,1,2.840000033,31.04987717,33.06910324,29.99685669,399.7976074,387.606842,31.65675163,33.96989059,67.59963989,72.53604889,500.0206909,1199.384888,2.215423822,96.6138916,-1.712607384,0.204734862,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833367818,0.001995482,306.2191032,304.1998772,191.9015777,0.92737239,5.071756385,52.49510501,18.52521442,32.0594902,4.791185376,0.103060195,3.281963328,1.509222048,0.064750393,22.51944177,0.601349024,64.45447566,383.1452209,0.015789448
12,14:42:49,48.99999998,0,9.388385851,0.106954575,233.0528081,1.995978739,1.790018953,33.07014847,6,1.420000017,1,2.840000033,31.04844475,33.07014847,29.99625587,399.7872314,387.5931702,31.65682793,33.97056961,67.60428619,72.54219818,500.0145569,1199.394775,2.202966452,96.61407471,-1.712607384,0.204734862,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833357595,0.001995979,306.2201485,304.1984447,191.9031598,0.926777787,5.072054104,52.49808704,18.52751743,32.05929661,4.791132899,0.103072845,3.28203515,1.509097748,0.064758383,22.51618141,0.60128203,64.45217234,383.1303812,0.015793628
13,14:42:52,51.49999992,0,9.394124022,0.107065737,233.092332,1.997758313,1.789825418,33.07025146,6,1.420000017,1,2.840000033,31.04635239,33.07025146,29.99628067,399.7764282,387.5746155,31.65695953,33.97277451,67.61122131,72.55354309,500.0111694,1199.397095,2.21366477,96.61436462,-1.712607384,0.204734862,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833351949,0.001997758,306.2202515,304.1963524,191.9035309,0.925550367,5.072083442,52.49823317,18.52545866,32.05830193,4.790863284,0.103176081,3.282258023,1.50860526,0.064823584,22.52006756,0.601412793,64.45751836,383.1090988,0.01580547
