OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 29 2016 14:33:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:33:25 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:33:26 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:33:26 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:33:26 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:33:26 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:33:29,45.00000051,0,-0.688839909,0.012285553,481.3529212,0.173349787,1.31575626,30.10630417,6,1.420000017,1,2.840000033,30.84877014,30.10630417,29.99391174,400.0733643,401.3105164,30.45708466,30.79273033,65.72902679,66.45295715,300.3379211,-0.061165247,0.086347997,96.47657776,-0.060754173,0.52958858,0.051410567,0.004586041,0.023005355,0.003875871,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500563202,0.00017335,303.2563042,303.9987701,-0.009786439,0.014690077,4.286533502,44.43082043,13.6380901,30.47753716,4.378717282,0.012232636,2.970777242,1.40794004,0.007650134,46.43928253,1.199452548,68.24264968,401.6379579,-0.001170414
2,14:33:31,47.50000046,0,-0.697738734,0.012346904,482.0381106,0.174465657,1.317660862,30.11369133,6,1.420000017,1,2.840000033,30.84817314,30.11369133,29.99343681,400.052124,401.3062744,30.45401955,30.79185677,65.71179962,66.43920135,300.3106689,-0.073217072,0.107777923,96.47649384,-0.060754173,0.52958858,0.051410567,0.004586041,0.023005355,0.003875871,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500517782,0.000174466,303.2636913,303.9981731,-0.011714731,0.013028643,4.288351242,44.44970035,13.65784358,30.48093224,4.379568249,0.012293458,2.970690379,1.408877869,0.007688195,46.50534681,1.201172624,68.21054693,401.637946,-0.001184976
3,14:33:33,49.50000041,0,-0.701474848,0.012416408,481.9988837,0.17553289,1.318325846,30.11597443,6,1.420000017,1,2.840000033,30.84781075,30.11597443,29.99313164,400.0336609,401.2944336,30.45095253,30.79085922,65.70401764,66.43469238,300.3084412,-0.093151629,0.098781712,96.47627258,-0.060754173,0.52958858,0.051410567,0.004586041,0.023005355,0.003875871,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500514069,0.000175533,303.2659744,303.9978107,-0.01490426,0.012101899,4.288913173,44.45562684,13.66476762,30.48189259,4.379808984,0.01236236,2.970587327,1.409221656,0.007731313,46.50145569,1.201110315,68.19936436,401.6278811,-0.001191156
4,14:33:35,51.50000037,0,-0.70009816,0.012463858,481.4733996,0.176223458,1.318492275,30.11628532,6,1.420000017,1,2.840000033,30.84789848,30.11628532,29.99287224,400.0281982,401.285675,30.44875717,30.79000282,65.69735718,66.43048096,300.3071899,-0.112542257,0.103382066,96.47603607,-0.060754173,0.52958858,0.051410567,0.004586041,0.023005355,0.003875871,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500511983,0.000176223,303.2662853,303.9978985,-0.018006761,0.011692846,4.288989698,44.45652903,13.66652621,30.4820919,4.379858949,0.012409398,2.970497423,1.409361526,0.007760748,46.45064507,1.19982703,68.19644552,401.6184682,-0.001188795
