OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 29 2016 15:10:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:10:57 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:10:59 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:10:59 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:10:59 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:10:59 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:11:01,12.00000067,0,0.129293751,0.024677702,381.2961751,0.390612004,1.483559791,30.08102226,6,1.420000017,1,2.840000033,30.72114182,30.08102226,29.99035835,400.0470581,399.7046814,28.53959084,28.99456024,62.00993347,62.99814606,500.1914978,1198.931396,0.59729749,96.45801544,-0.245164245,0.501250505,0.012882249,0.001915417,0.019088432,0.003130721,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833652496,0.000390612,303.2310223,303.8711418,191.8290191,2.058469167,4.280317531,44.37492842,15.38036818,30.40108204,4.359592149,0.024465117,2.79675774,1.562834409,0.015309656,36.77907234,0.953944732,64.3299925,399.6432213,0.000208122
2,15:11:03,14.00000063,0,0.120434336,0.024840109,381.9478252,0.393098992,1.483321531,30.08064461,6,1.420000017,1,2.840000033,30.72029495,30.08064461,29.99021721,400.0665894,399.7336426,28.53833199,28.9961853,62.00593185,62.998806,500.2046814,1198.955811,0.397220939,96.45762634,-0.245164245,0.501250505,0.012882249,0.001915417,0.019088432,0.003130721,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833674469,0.000393099,303.2306446,303.870295,191.8329254,2.057211634,4.280224738,44.37414542,15.37796011,30.40046978,4.359439287,0.024624728,2.796903207,1.56253608,0.015409662,36.8417806,0.955505828,64.3369542,399.6763939,0.000193866
3,15:11:05,16.00000058,0,0.100228392,0.024849649,383.2552667,0.393284682,1.48345486,30.08119965,6,1.420000017,1,2.840000033,30.71928024,30.08119965,29.99039841,400.053894,399.7450867,28.53816986,28.99624443,62.00623322,63.00040436,500.1992188,1199.000244,0.278250754,96.45753479,-0.245164245,0.501250505,0.012882249,0.001915417,0.019088432,0.003130721,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833665365,0.000393285,303.2311996,303.8692802,191.8400348,2.0569841,4.280361116,44.3756014,15.37935697,30.40023994,4.359381906,0.024634103,2.796906256,1.56247565,0.015415536,36.96785822,0.958749162,64.33497569,399.6974429,0.000161327
4,15:11:07,18.00000054,0,0.072276386,0.024788617,385.0336735,0.392359889,1.483581433,30.08140182,6,1.420000017,1,2.840000033,30.71830559,30.08140182,29.9904747,400.0201111,399.7452698,28.53839302,28.99540138,62.00854492,63.00133133,500.1876831,1199.026855,0.223902076,96.45768738,-0.245164245,0.501250505,0.012882249,0.001915417,0.019088432,0.003130721,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833646139,0.00039236,303.2314018,303.8683056,191.8442926,2.057331602,4.280410795,44.37604623,15.38064485,30.39985371,4.359285478,0.024574125,2.796829362,1.562456116,0.015377956,37.13945771,0.963197573,64.33159412,399.710913,0.000116325
5,15:11:09,20.00000049,0,0.048997864,0.024778168,386.529527,0.392162341,1.483456891,30.08063126,6,1.420000017,1,2.840000033,30.71761894,30.08063126,29.99037743,399.9937744,399.7469482,28.53793716,28.99472046,62.00967407,63.00194168,500.1825256,1199.032715,0.202163666,96.4577179,-0.245164245,0.501250505,0.012882249,0.001915417,0.019088432,0.003130721,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833637543,0.000392162,303.2306313,303.8676189,191.8452301,2.057453472,4.280221457,44.37406929,15.37934883,30.3991251,4.35910358,0.024563856,2.796764566,1.562339014,0.015371522,37.28375607,0.966935529,64.3329298,399.723657,7.88589E-05
