OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 30 2016 10:06:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""10:06:37 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:06:39 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:06:39 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:06:39 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:06:39 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10:06:41,20.00000865,0,0.911645903,0.073583456,369.7304721,0.974268134,1.266027902,30.19208145,6,1.420000017,1,2.840000033,30.39830399,30.19208145,29.99591637,399.8676758,398.3088379,30.2646122,31.39644051,67.26490784,69.78816986,500.2593994,1198.887695,0.308250427,96.8789444,-2.119699717,0.150364846,0.02800058,0.00198204,0.018828101,0.002799627,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833765666,0.000974268,303.3420815,303.548304,191.822027,1.708450345,4.307681916,44.46458353,13.06814303,30.29519272,4.333224321,0.071725083,3.041654014,1.291570306,0.044991516,35.81909785,0.928250736,70.22278432,397.8754851,0.001609004
2,10:06:43,22.00000861,0,0.923230004,0.073097705,369.2979438,0.971505295,1.270583744,30.20989418,6,1.420000017,1,2.840000033,30.39872932,30.20989418,29.99591064,399.8641663,398.2926331,30.2661972,31.39491844,67.26589966,69.78152466,500.2147217,1198.868286,0.199724048,96.87877655,-2.119699717,0.150364846,0.02800058,0.00198204,0.018828101,0.002799627,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833691203,0.000971505,303.3598942,303.5487293,191.8189215,1.707388891,4.312085032,44.51011032,13.11519188,30.30431175,4.335489598,0.071263481,3.041501289,1.293988309,0.044700916,35.77713298,0.927202547,70.14048438,397.8537737,0.001627628
3,10:06:45,24.00000856,0,0.930051483,0.072702181,369.0007723,0.96930461,1.274403738,30.22485352,6,1.420000017,1,2.840000033,30.39847946,30.22485352,29.99552345,399.8595886,398.2808533,30.26748657,31.393713,67.26860046,69.77845001,500.1878052,1198.826172,0.185419351,96.87870026,-2.119699717,0.150364846,0.02800058,0.00198204,0.018828101,0.002799627,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833646342,0.000969305,303.3748535,303.5484795,191.8121832,1.70630843,4.315785849,44.5483459,13.1546329,30.31166649,4.337317354,0.070887506,3.041382111,1.295935243,0.044464231,35.74831521,0.926483835,70.07175444,397.8387513,0.001638109
4,10:06:47,26.00000852,0,0.934647406,0.072503748,368.8251083,0.968581699,1.276835341,30.23466682,6,1.420000017,1,2.840000033,30.39824295,30.23466682,29.99523544,399.8629761,398.2790527,30.26827621,31.39367867,67.27090454,69.77799988,500.1807251,1198.796143,0.155512631,96.87873077,-2.119699717,0.150364846,0.02800058,0.00198204,0.018828101,0.002799627,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833634542,0.000968582,303.3846668,303.548243,191.8073785,1.705226502,4.318215085,44.57340688,13.17972821,30.31645489,4.3385077,0.070698843,3.041379743,1.297127957,0.044345467,35.73130837,0.926046966,70.02908718,397.8347661,0.001645218
5,10:06:49,28.00000847,0,0.944440805,0.072392055,368.5656595,0.9688731,1.27912399,30.24418068,6,1.420000017,1,2.840000033,30.39812851,30.24418068,29.99492073,399.8808289,398.2850037,30.26864052,31.39438629,67.27226257,69.77869415,500.1782532,1198.787231,0.166330948,96.87870026,-2.119699717,0.150364846,0.02800058,0.00198204,0.018828101,0.002799627,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833630422,0.000968873,303.3941807,303.5481285,191.8059527,1.703735657,4.320571329,44.59774252,13.20335622,30.32115459,4.339676275,0.070592637,3.041447339,1.298228936,0.044278612,35.70616205,0.925381714,69.99019879,397.8360617,0.001661529
6,10:06:51,30.00000843,0,0.954573211,0.0723131,368.3135526,0.96969986,1.281559316,30.25442886,6,1.420000017,1,2.840000033,30.39789391,30.25442886,29.99438858,399.9066772,398.2982788,30.26877403,31.39548492,67.27328491,69.78065491,500.1756897,1198.778442,0.183598608,96.87862396,-2.119699717,0.150364846,0.02800058,0.00198204,0.018828101,0.002799627,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833626149,0.0009697,303.4044289,303.5478939,191.8045465,1.701860659,4.323110694,44.62398946,13.22850453,30.32616138,4.340921508,0.070517557,3.041551378,1.29937013,0.044231349,35.68171016,0.924717912,69.94948243,397.8445204,0.001678342
7,10:06:54,32.50000837,0,0.94833317,0.072258735,368.442767,0.970162774,1.283097731,30.26119804,6,1.420000017,1,2.840000033,30.39773369,30.26119804,29.99371719,399.9151611,398.3139954,30.26970673,31.39696312,67.27548218,69.783638,500.1715393,1198.772339,0.188709989,96.87850952,-2.119699717,0.150364846,0.02800058,0.00198204,0.018828101,0.002799627,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833619232,0.000970163,303.411198,303.5477337,191.8035699,1.70066228,4.324788721,44.64136311,13.24439999,30.32946587,4.341743532,0.070465857,3.041690991,1.300052541,0.044198805,35.69418611,0.925005828,69.92422661,397.8632032,0.00166669
8,10:06:56,34.50000833,0,0.947480283,0.072090476,368.4051666,0.969682208,1.285363962,30.27060699,6,1.420000017,1,2.840000033,30.39765358,30.27060699,29.99315834,399.9207458,398.3207703,30.27093506,31.39767075,67.27835083,69.78432465,500.1544495,1198.758423,0.18258214,96.87846375,-2.119699717,0.150364846,0.02800058,0.00198204,0.018828101,0.002799627,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833590749,0.000969682,303.420607,303.5476536,191.8013434,1.699565602,4.327122069,44.66546952,13.26779877,30.33413029,4.342904085,0.070305835,3.041758107,1.301145978,0.044098075,35.69052657,0.924895697,69.88522455,397.8703835,0.001664232
9,10:06:58,36.50000828,0,0.949573278,0.072073587,368.3672424,0.969380609,1.285257659,30.27050591,6,1.420000017,1,2.840000033,30.3975029,30.27050591,29.99272156,399.9366455,398.3342896,30.27212143,31.39850426,67.2809906,69.78585052,500.1550903,1198.744995,0.189805791,96.878479,-2.119699717,0.150364846,0.02800058,0.00198204,0.018828101,0.002799627,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833591817,0.000969381,303.4205059,303.5475029,191.7991949,1.69968495,4.327096994,44.66520365,13.26669939,30.3340044,4.34287276,0.070289771,3.041839335,1.301033425,0.044087963,35.68685816,0.9247691,69.88735711,397.8829079,0.001667907
10,10:07:00,38.50000824,0,0.941947825,0.072106228,368.5709885,0.968985418,1.284173236,30.26641273,6,1.420000017,1,2.840000033,30.39752197,30.26641273,29.99253082,399.9438782,398.3508606,30.27330589,31.39921379,67.28366852,69.78731537,500.1617126,1198.740234,0.189494655,96.87849426,-2.119699717,0.150364846,0.02800058,0.00198204,0.018828101,0.002799627,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833602854,0.000968985,303.4164127,303.547522,191.7984332,1.70044116,4.32608179,44.65471746,13.25550367,30.33196735,4.342365893,0.070320817,3.041908553,1.30045734,0.044107505,35.7066024,0.925242104,69.90619398,397.9031037,0.001654875
11,10:07:02,40.50000819,0,0.931047364,0.072156151,368.8534658,0.968259077,1.282357243,30.25907516,6,1.420000017,1,2.840000033,30.39750671,30.25907516,29.99225807,399.942749,398.3631287,30.27410889,31.39918137,67.28572083,69.78778076,500.1579285,1198.734497,0.207005262,96.87848663,-2.119699717,0.150364846,0.02800058,0.00198204,0.018828101,0.002799627,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833596547,0.000968259,303.4090752,303.5475067,191.7975152,1.701803972,4.324262415,44.63594102,13.23675965,30.32829094,4.341451241,0.070368297,3.041905172,1.299546069,0.044137393,35.73396556,0.925922705,69.93691629,397.9205533,0.001636371
12,10:07:04,42.50000815,0,0.922827626,0.07220716,369.077178,0.967014109,1.279844486,30.24869728,6,1.420000017,1,2.840000033,30.39748764,30.24869728,29.99206161,399.9412537,398.3720703,30.27492905,31.39856148,67.2875061,69.78730011,500.1553345,1198.721313,0.204404846,96.87850952,-2.119699717,0.150364846,0.02800058,0.00198204,0.018828101,0.002799627,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833592224,0.000967014,303.3986973,303.5474876,191.7954059,1.703830925,4.321690323,44.60938081,13.21081933,30.32309246,4.340158203,0.070416808,3.041845837,1.298312366,0.04416793,35.7556469,0.926463489,69.9789171,397.9334023,0.001622846
13,10:07:06,44.5000081,0,0.916415455,0.072236176,369.2515518,0.965172959,1.276928807,30.2366066,6,1.420000017,1,2.840000033,30.39765549,30.2366066,29.99222565,399.9363708,398.3757629,30.27624512,31.39773369,67.28977966,69.78601837,500.1577759,1198.706543,0.188489988,96.87854004,-2.119699717,0.150364846,0.02800058,0.00198204,0.018828101,0.002799627,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833596293,0.000965173,303.3866066,303.5476555,191.7930426,1.70641372,4.318695407,44.57845262,13.18071893,30.31713104,4.338675808,0.070444403,3.0417666,1.296909208,0.0441853,35.77255124,0.926892613,70.02733152,397.9401429,0.001612658
14,10:07:08,47.00000805,0,0.921517911,0.072296872,369.1806381,0.963100537,1.273172616,30.22101784,6,1.420000017,1,2.840000033,30.39796066,30.22101784,29.99266624,399.9432983,398.3775635,30.27755547,31.39663315,67.29189301,69.78307343,500.1596069,1198.693115,0.196432248,96.87866974,-2.119699717,0.150364846,0.02800058,0.00198204,0.018828101,0.002799627,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833599345,0.000963101,303.3710178,303.5479607,191.7908942,1.709615775,4.31483667,44.53856233,13.14192918,30.30948925,4.33677621,0.070502124,3.041664054,1.295112156,0.044221635,35.76572911,0.926710417,70.09003362,397.939518,0.001623091
15,10:07:10,49.000008,0,0.924192118,0.072392383,369.1693366,0.962367802,1.270585674,30.21063805,6,1.420000017,1,2.840000033,30.39807701,30.21063805,29.99284554,399.9511108,398.3825378,30.27859688,31.39680481,67.29382324,69.78263855,500.1677246,1198.675415,0.168276981,96.87875366,-2.119699717,0.150364846,0.02800058,0.00198204,0.018828101,0.002799627,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833612874,0.000962368,303.360638,303.548077,191.7880621,1.711397932,4.312268993,44.51201972,13.11521491,30.30435753,4.335500972,0.070592949,3.041683319,1.293817653,0.044278808,35.76466522,0.926670478,70.13442283,397.9432212,0.001628817
16,10:07:12,51.00000796,0,0.918123511,0.072495582,369.345525,0.962343864,1.268800671,30.20365524,6,1.420000017,1,2.840000033,30.3978653,30.20365524,29.9927063,399.9441528,398.3828735,30.27925491,31.39743233,67.29600525,69.78412628,500.1686096,1198.656982,0.163907379,96.87867737,-2.119699717,0.150364846,0.02800058,0.00198204,0.018828101,0.002799627,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833614349,0.000962344,303.3536552,303.5478653,191.7851129,1.71231207,4.310542387,44.49423242,13.09680009,30.30076027,4.334607244,0.070691079,3.041741717,1.292865528,0.04434058,35.78170595,0.927111956,70.16575725,397.9464416,0.001618832
17,10:07:14,53.00000791,0,0.91981692,0.07254577,369.3264833,0.962708761,1.268425713,30.20243835,6,1.420000017,1,2.840000033,30.39752769,30.20243835,29.99251938,399.948822,398.3853149,30.2796154,31.3982296,67.29808044,69.78620911,500.1624756,1198.646118,0.149378151,96.87857819,-2.119699717,0.150364846,0.02800058,0.00198204,0.018828101,0.002799627,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833604126,0.000962709,303.3524384,303.5475277,191.7833746,1.712232903,4.310241555,44.49117272,13.09294312,30.29998302,4.334414161,0.070738798,3.041815841,1.29259832,0.044370619,35.77982459,0.927058477,70.17304129,397.948078,0.001621979
18,10:07:16,55.00000787,0,0.926396595,0.072640107,369.2176339,0.963534083,1.267905142,30.20105743,6,1.420000017,1,2.840000033,30.39749336,30.20105743,29.99253082,399.9654846,398.3936768,30.28054047,31.40011406,67.30006409,69.78904724,500.1613159,1198.633911,0.124308705,96.87847137,-2.119699717,0.150364846,0.02800058,0.00198204,0.018828101,0.002799627,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833602193,0.000963534,303.3510574,303.5474934,191.7814215,1.711986008,4.309900193,44.48769816,13.0875841,30.2992754,4.33423838,0.070828491,3.041995051,1.292243329,0.044427081,35.76923998,0.926765798,70.18391143,397.9533122,0.001633813
19,10:07:18,57.00000782,0,0.926168932,0.072785137,369.2772036,0.964956396,1.267309231,30.19965935,6,1.420000017,1,2.840000033,30.39768791,30.19965935,29.99259567,399.9765015,398.4042664,30.28149605,31.40272522,67.30144501,69.79267883,500.1586609,1198.622681,0.123303264,96.87838745,-2.119699717,0.150364846,0.02800058,0.00198204,0.018828101,0.002799627,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833597768,0.000964956,303.3496593,303.5476879,191.7796246,1.711477183,4.309554612,44.48416953,13.08144432,30.29867363,4.334088899,0.07096637,3.042245381,1.291843518,0.044513878,35.77498001,0.926890686,70.19703327,397.96401,0.001633673
20,10:07:20,59.00000778,0,0.920007978,0.072910607,369.4595558,0.966414427,1.267091778,30.19969368,6,1.420000017,1,2.840000033,30.39761162,30.19969368,29.99255371,399.9796143,398.414032,30.28214264,31.40508461,67.30323029,69.79714203,500.1491394,1198.615356,0.12125694,96.87830353,-2.119699717,0.150364846,0.02800058,0.00198204,0.018828101,0.002799627,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833581899,0.000966414,303.3496937,303.5476116,191.7784527,1.710722977,4.309563098,44.48429567,13.07921106,30.29865265,4.334083687,0.071085643,3.042471319,1.291612368,0.044588962,35.79261499,0.927325662,70.20345073,397.9767043,0.001622902
21,10:07:22,61.00000773,0,0.910926942,0.073065836,369.7099124,0.968013562,1.266559024,30.19846153,6,1.420000017,1,2.840000033,30.39741707,30.19846153,29.99261665,399.9729309,398.41745,30.28264999,31.40746498,67.30523682,69.80210876,500.1412964,1198.602905,0.094210081,96.87822723,-2.119699717,0.150364846,0.02800058,0.00198204,0.018828101,0.002799627,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833568827,0.000968014,303.3484615,303.5474171,191.7764606,1.71004806,4.309258553,44.48118712,13.07372214,30.2979393,4.333906496,0.071233191,3.042699529,1.291206967,0.044681847,35.81684091,0.927946084,70.21547241,397.9844389,0.001607127
