OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 30 2016 09:55:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""09:55:08 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:55:10 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:55:10 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:55:10 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:55:10 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,09:55:12,18.00000112,0,-0.756165358,0.040246345,421.7859443,0.579149173,1.359716402,30.51633263,6,1.420000017,1,2.840000033,30.24411964,30.51633263,29.99710464,399.8986511,400.9459839,30.14193535,31.26339722,67.5864563,70.09716034,300.1669617,0.094845854,0.086513139,96.87793732,-2.298259497,0.125964805,0.024893887,0.002377804,0.023930354,0.01091672,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500278269,0.000579149,303.6663326,303.3941196,0.015175336,-0.325039929,4.388449838,45.29875387,14.03535666,30.38022614,4.354387728,0.039683973,3.028733436,1.325654292,0.024852403,40.86175228,1.051976978,68.23288744,401.3054287,-0.001285688
2,09:55:14,20.00000107,0,-0.766884023,0.040770135,421.9574506,0.579815203,1.344150019,30.4543438,6,1.420000017,1,2.840000033,30.24405098,30.4543438,29.99748802,399.9012451,400.9693298,30.14095879,31.26359177,67.58478546,70.09902954,300.1986084,0.076590851,0.103669196,96.87811279,-2.298259497,0.125964805,0.024893887,0.002377804,0.023930354,0.01091672,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500331014,0.000579815,303.6043438,303.394051,0.012254536,-0.317002312,4.372907789,45.13824292,13.87465115,30.34919739,4.346654775,0.040193135,3.028757769,1.317897005,0.02517192,40.87844149,1.052343457,68.49330864,401.3338698,-0.001308796
3,09:55:16,22.00000103,0,-0.774248972,0.041079438,422.0951309,0.580013779,1.334697817,30.4167881,6,1.420000017,1,2.840000033,30.24391747,30.4167881,29.9973793,399.8950195,400.9776001,30.14121437,31.26417351,67.58550262,70.10108185,300.2140198,0.067835517,0.136382535,96.87821198,-2.298259497,0.125964805,0.024893887,0.002377804,0.023930354,0.01091672,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.5003567,0.000580014,303.5667881,303.3939175,0.010853683,-0.312040937,4.363515046,45.04124257,13.77706907,30.33035278,4.341964184,0.040493713,3.028817228,1.313146956,0.025360551,40.89182157,1.052665113,68.65246088,401.345641,-0.001324397
4,09:55:18,24.00000098,0,-0.783932262,0.041190296,422.4096469,0.580106349,1.331391439,30.40376282,6,1.420000017,1,2.840000033,30.24408722,30.40376282,29.99674606,399.8706055,400.9724731,30.14159584,31.26473618,67.58566284,70.10189819,300.2133179,0.075296596,0.153258145,96.87815857,-2.298259497,0.125964805,0.024893887,0.002377804,0.023930354,0.01091672,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50035553,0.000580106,303.5537628,303.3940872,0.012047455,-0.310284025,4.360261508,45.0076836,13.74294742,30.32392502,4.340365265,0.040601428,3.028870069,1.311495197,0.02542815,40.92226876,1.053462956,68.70852435,401.345117,-0.001342058
