OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 30 2016 16:47:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""16:47:48 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:47:51 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:47:51 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:47:51 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:47:51 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16:47:53,14.00000027,0,0.092499549,0.017886604,379.20868,0.356862421,1.873384683,30.21648216,6,1.420000017,1,2.840000033,29.86055374,30.21648216,30.03004646,400.3150024,400.0322266,24.8214016,25.23952103,56.80107117,57.75792694,499.1713257,1200.162842,0.100954011,96.6868515,-1.103014708,-0.147881716,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.831952209,0.000356862,303.3664822,303.0105537,192.0260504,2.023240948,4.313714504,44.61531674,19.37579571,30.03851795,4.269884852,0.017774658,2.440329821,1.829555031,0.011119165,36.66449333,0.947945328,55.28132401,399.9882567,0.000127841
2,16:47:55,16.00000022,0,0.107709752,0.017779263,377.7842639,0.354517374,1.872252714,30.21109772,6,1.420000017,1,2.840000033,29.85500908,30.21109772,30.02664948,400.302948,400.0030212,24.8221035,25.23748779,56.80680084,57.75933456,499.1574097,1200.128662,0.070348568,96.6867218,-1.103014708,-0.147881716,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.831929016,0.000354517,303.3610977,303.0050091,192.0205816,2.02438836,4.312382675,44.6016019,19.36411411,30.0330534,4.268545187,0.017668652,2.440129961,1.828415226,0.011052792,36.52672203,0.944453526,55.29322778,399.9518212,0.000148908
3,16:47:57,18.00000018,0,0.089372267,0.0177304,379.3599767,0.353293127,1.870909523,30.20517731,6,1.420000017,1,2.840000033,29.85053444,30.20517731,30.02258682,400.2346191,399.9573364,24.82232475,25.23628426,56.8167038,57.76641846,499.1463928,1200.13208,0.069953837,96.68654633,-1.103014708,-0.147881716,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.831910655,0.000353293,303.3551773,303.0005344,192.0211285,2.025253398,4.31091869,44.58654129,19.35025703,30.02785587,4.267271326,0.017620395,2.440009167,1.827262159,0.011022577,36.67900596,0.948501108,55.30974225,399.9148531,0.000123605
4,16:48:00,20.50000012,0,0.037690248,0.017749931,383.9232964,0.35328114,1.868822731,30.19645691,6,1.420000017,1,2.840000033,29.84587479,30.19645691,30.01840591,400.1011047,399.8859863,24.82163239,25.23557091,56.82723618,57.77679062,499.1551208,1200.178101,0.066657938,96.68655396,-1.103014708,-0.147881716,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.831925201,0.000353281,303.3464569,302.9958748,192.0284918,2.025947794,4.308763119,44.56424335,19.32867244,30.02116585,4.265632155,0.017639683,2.439940388,1.825691766,0.011034654,37.12022051,0.960081897,55.33809444,399.8680702,5.21599E-05
