OPEN 6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Jun  8 2016 13:22:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#3.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""13:22:04 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:22:06 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:22:06 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:22:06 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:22:06 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13:22:11,45.00000103,0,-0.950294404,0.027814029,448.2402008,0.373168681,1.255786241,30.45405769,6,1.420000017,1,2.840000033,30.35603523,30.45405769,30.21401215,400.7210083,402.3220215,31.59966278,32.32218933,70.15576935,71.76446533,299.8702698,0.045425676,0.254169613,96.43684387,2.008624792,1.298370242,0.126513138,0.002209367,0.186387435,0.001506084,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499783783,0.000373169,303.6040577,303.5060352,0.007268108,-0.198963149,4.372836168,45.34404064,13.02185131,30.40504646,4.360582051,0.027544269,3.117049926,1.243532125,0.017239203,43.22687026,1.114132901,70.41162804,402.7737459,-0.001661275
2,13:22:13,51.00000089,0,-1.005967278,0.027740874,451.6275521,0.374084793,1.262110492,30.48015594,6,1.420000017,1,2.840000033,30.35180283,30.48015594,30.15385246,400.7003479,402.4118958,31.60013008,32.32440567,70.12486267,71.73357391,299.8798218,0.016223367,0.126472443,96.43682861,2.008624792,1.298370242,0.126513138,0.002209367,0.186387435,0.001506084,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499799703,0.000374085,303.6301559,303.5018028,0.002595739,-0.203592133,4.379373661,45.41183824,13.08743257,30.41597939,4.363312978,0.027472525,3.11726317,1.246049808,0.017194238,43.55352884,1.122301693,70.30517114,402.8900844,-0.001755434
3,13:22:15,53.00000085,0,-1.021705328,0.027708309,452.6317895,0.373716541,1.262334322,30.48097992,6,1.420000017,1,2.840000033,30.3471489,30.48097992,30.1197567,400.7012024,402.444519,31.60066032,32.32422638,70.13117218,71.73870087,299.8784485,0.034602869,0.105432935,96.43682861,2.008624792,1.298370242,0.126513138,0.002209367,0.186387435,0.001506084,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499797414,0.000373717,303.6309799,303.4971489,0.005536459,-0.204120283,4.379580202,45.41397996,13.08975358,30.41406441,4.362834529,0.027440586,3.117245879,1.24558865,0.01717422,43.65037431,1.12470606,70.30093795,402.9301888,-0.001782613
4,13:22:17,55.0000008,0,-1.027182995,0.0277158,452.9615729,0.373259091,1.260466052,30.47297287,6,1.420000017,1,2.840000033,30.34144783,30.47297287,30.09830475,400.706665,402.4612732,31.60012436,32.32279587,70.14388275,71.74980164,299.8825684,0.050906669,0.088637069,96.43681335,2.008624792,1.298370242,0.126513138,0.002209367,0.186387435,0.001506084,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499804281,0.000373259,303.6229729,303.4914478,0.008145067,-0.2035505,4.377573485,45.39317852,13.07038265,30.40721035,4.361122449,0.027447934,3.117107432,1.244015017,0.017178825,43.68217066,1.125478656,70.33171939,402.9495468,-0.001792868
