OPEN 6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Jun 10 2016 13:14:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#3.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""13:14:14 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:14:22 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:14:22 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:14:22 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:14:22 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13:14:24,43.50000319,0,-0.606459219,0.00694604,531.096731,0.09493959,1.272201604,30.34430885,6,1.420000017,1,2.840000033,30.28430367,30.34430885,30.21230316,400.1911621,401.3250122,31.64384651,31.82721901,70.61463928,71.02372742,300.7580566,0.255575627,0.374119699,96.55998993,-0.242048293,1.301388621,0.014413476,0.001330476,0.017181411,0.002218212,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501263428,9.49396E-05,303.4943089,303.4343037,0.040892099,-0.054949159,4.345437551,45.00246483,13.17524582,30.31430626,4.337973539,0.006929093,3.073235947,1.264737592,0.004332202,51.282695,1.323358163,69.6279729,401.6132939,-0.001051423
2,13:14:26,45.50000314,0,-0.625817753,0.007006815,534.2865684,0.09581425,1.272809779,30.34727859,6,1.420000017,1,2.840000033,30.28421021,30.34727859,30.20821381,400.1648254,401.3366699,31.64343643,31.82851028,70.59322357,71.0049057,300.7381897,0.231553003,0.348630875,96.56019592,-0.242048293,1.301388621,0.014413476,0.001330476,0.017181411,0.002218212,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501230316,9.58143E-05,303.4972786,303.4342102,0.03704848,-0.055844137,4.346176968,45.01002641,13.18151612,30.3157444,4.338331063,0.006989571,3.073367189,1.264963874,0.004370028,51.59081572,1.331267757,69.61913195,401.6341537,-0.00108479
3,13:14:28,47.5000031,0,-0.637271759,0.007032048,536.3624576,0.096232938,1.273790977,30.35149574,6,1.420000017,1,2.840000033,30.28374481,30.35149574,30.19964027,400.1500854,401.3444824,31.64326859,31.82915688,70.58528137,70.99840546,300.7287598,0.225182816,0.301569015,96.56040192,-0.242048293,1.301388621,0.014413476,0.001330476,0.017181411,0.002218212,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.5012146,9.62329E-05,303.5014957,303.4337448,0.03602925,-0.056700337,4.347227158,45.02080637,13.1916495,30.31762028,4.338797447,0.007014679,3.073436181,1.265361267,0.004385732,51.79137448,1.336414181,69.60314538,401.6474109,-0.001104355
4,13:14:31,50.00000304,0,-0.64274061,0.007026562,537.7064816,0.096234545,1.274802993,30.35572052,6,1.420000017,1,2.840000033,30.28269768,30.35572052,30.1847496,400.1451111,401.3503723,31.64354134,31.82942581,70.58282471,70.996315,300.7398682,0.183001727,0.230085045,96.56085205,-0.242048293,1.301388621,0.014413476,0.001330476,0.017181411,0.002218212,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501233114,9.62345E-05,303.5057205,303.4326977,0.029280276,-0.057493707,4.348279469,45.03149441,13.2020686,30.3192091,4.339192498,0.00700922,3.073476477,1.265716021,0.004382317,51.92139601,1.339743323,69.58612555,401.6559004,-0.001113536
5,13:14:33,52.000003,0,-0.648729665,0.007013324,539.3299483,0.096081273,1.275171361,30.35712433,6,1.420000017,1,2.840000033,30.28117752,30.35712433,30.17312622,400.1318665,401.3491516,31.64354324,31.82912445,70.58454895,70.99773407,300.7516479,0.129719794,0.19510819,96.56118011,-0.242048293,1.301388621,0.014413476,0.001330476,0.017181411,0.002218212,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501252747,9.60813E-05,303.5071243,303.4311775,0.020755167,-0.057910957,4.34862918,45.03496307,13.20583862,30.31915092,4.339178032,0.006996047,3.073457819,1.265720213,0.004374079,52.07833628,1.343792421,69.57959212,401.6575266,-0.001123802
6,13:14:35,54.00000295,0,-0.655839926,0.007005225,541.10237,0.095963059,1.275075424,30.35666275,6,1.420000017,1,2.840000033,30.27899742,30.35666275,30.16332817,400.1100769,401.3416138,31.64350319,31.8288517,70.58917236,71.00211334,300.7588196,0.100850403,0.168034583,96.561409,-0.242048293,1.301388621,0.014413476,0.001330476,0.017181411,0.002218212,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501264699,9.59631E-05,303.5066628,303.4289974,0.016136064,-0.058137737,4.348514191,45.03366548,13.20481378,30.31783009,4.338849613,0.006987988,3.073438767,1.265410846,0.004369038,52.24960726,1.348233902,69.58101473,401.6533687,-0.001136154
7,13:14:37,56.00000291,0,-0.658565424,0.007003807,541.739555,0.09591859,1.274746871,30.35526276,6,1.420000017,1,2.840000033,30.27653313,30.35526276,30.15587616,400.0916748,401.3286743,31.6433239,31.82858467,70.59516144,71.0080719,300.7619019,0.074219339,0.14953433,96.56158447,-0.242048293,1.301388621,0.014413476,0.001330476,0.017181411,0.002218212,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501269836,9.59186E-05,303.5052628,303.4265331,0.011875094,-0.058308261,4.348165438,45.02997193,13.20138726,30.31589794,4.338369235,0.006986577,3.073418567,1.264950667,0.004368155,52.3112298,1.34986506,69.5864612,401.6417248,-0.001140998
8,13:14:39,58.00000286,0,-0.667454835,0.007018068,543.4297739,0.096103108,1.274614679,30.35464668,6,1.420000017,1,2.840000033,30.27284622,30.35464668,30.14451599,400.056366,401.3109436,31.64266586,31.8282814,70.59832764,71.01195526,300.7646179,0.030384665,0.118695863,96.56183624,-0.242048293,1.301388621,0.014413476,0.001330476,0.017181411,0.002218212,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501274363,9.61031E-05,303.5046467,303.4228462,0.004861546,-0.058896455,4.348011976,45.02826525,13.19998385,30.31374645,4.337834377,0.007000769,3.073397297,1.26443708,0.004377031,52.47457684,1.354136444,69.5887259,401.6282197,-0.001156476
9,13:14:41,60.00000282,0,-0.673859925,0.007022147,544.761358,0.096140656,1.274380538,30.35338783,6,1.420000017,1,2.840000033,30.26825905,30.35338783,30.13286018,400.0134277,401.2807312,31.64168167,31.82736588,70.61032104,71.02429962,300.7711487,0.009971443,0.076250844,96.56211853,-0.242048293,1.301388621,0.014413476,0.001330476,0.017181411,0.002218212,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501285248,9.61407E-05,303.5033878,303.418259,0.001595431,-0.059404146,4.347698414,45.02488636,13.19752049,30.31082344,4.337107811,0.007004827,3.073317876,1.263789935,0.004379569,52.60331083,1.357556732,69.59223088,401.6010519,-0.001167711
10,13:14:43,62.00000277,0,-0.678155544,0.007014104,545.8718047,0.095986966,1.273808557,30.35058403,6,1.420000017,1,2.840000033,30.2634716,30.35058403,30.12429428,399.9642029,401.2401733,31.64057159,31.82595444,70.62375641,71.03744507,300.7789307,-0.00848598,0.061904896,96.56243134,-0.242048293,1.301388621,0.014413476,0.001330476,0.017181411,0.002218212,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501298218,9.5987E-05,303.500584,303.4134716,-0.001357757,-0.059630362,4.347000097,45.01750874,13.19155431,30.30702782,4.3361645,0.006996824,3.07319154,1.26297296,0.004374564,52.71070866,1.360461492,69.60104925,401.562536,-0.001175417
11,13:14:45,64.00000273,0,-0.6812312,0.007002803,546.7813204,0.095772355,1.273016768,30.34684372,6,1.420000017,1,2.840000033,30.25872421,30.34684372,30.12044144,399.9165344,401.198822,31.63946915,31.8244381,70.63770294,71.05088806,300.7784424,-0.031277128,0.060160007,96.56264496,-0.242048293,1.301388621,0.014413476,0.001330476,0.017181411,0.002218212,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501297404,9.57724E-05,303.4968437,303.4087242,-0.00500434,-0.059701369,4.346068685,45.00776347,13.18332538,30.30278397,4.335110006,0.006985579,3.073051917,1.262058089,0.004367531,52.79865051,1.362868708,69.61349152,401.5226467,-0.001181076
12,13:14:47,66.50000267,0,-0.678927859,0.006988717,546.5251457,0.095510607,1.272099339,30.34243774,6,1.420000017,1,2.840000033,30.25326157,30.34243774,30.12095261,399.8684998,401.1464233,31.63810349,31.82256889,70.65540314,71.06788635,300.7757874,-0.036811143,0.061797075,96.56267548,-0.242048293,1.301388621,0.014413476,0.001330476,0.017181411,0.002218212,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501292979,9.55106E-05,303.4924377,303.4032616,-0.005889783,-0.059724449,4.344971732,44.99638924,13.17382035,30.29784966,4.333884229,0.006971561,3.072872393,1.261011836,0.004358764,52.77393029,1.362408123,69.62778314,401.4691531,-0.001177481
13,13:14:49,68.50000263,0,-0.670056969,0.006977109,544.731737,0.095321594,1.271694568,30.34025002,6,1.420000017,1,2.840000033,30.24966621,30.34025002,30.12385559,399.8492126,401.1095886,31.63699913,31.82109833,70.66737366,71.07936096,300.7781372,-0.041771155,0.075680234,96.56274414,-0.242048293,1.301388621,0.014413476,0.001330476,0.017181411,0.002218212,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501296895,9.53216E-05,303.49025,303.3996662,-0.006683385,-0.059830443,4.344427144,44.99071751,13.16961918,30.29495811,4.333166056,0.00696001,3.072732576,1.26043348,0.004351539,52.60079134,1.358062117,69.63363023,401.4281016,-0.001162313
14,13:14:51,70.50000258,0,-0.656200429,0.006967076,541.7746316,0.095176734,1.271590445,30.33933449,6,1.420000017,1,2.840000033,30.24678421,30.33933449,30.12750053,399.8536987,401.0865479,31.63595009,31.81976891,70.67747498,71.08890533,300.779541,-0.038664185,0.10056334,96.5628891,-0.242048293,1.301388621,0.014413476,0.001330476,0.017181411,0.002218212,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501299235,9.51767E-05,303.4893345,303.3967842,-0.006186269,-0.060019799,4.344199261,44.98829003,13.16852112,30.29305935,4.332694515,0.006950026,3.072608816,1.260085699,0.004345295,52.31532367,1.350767395,69.63447607,401.3984741,-0.001138374
15,13:14:53,72.50000254,0,-0.642178335,0.006954745,538.8312348,0.09500479,1.271542465,30.33871078,6,1.420000017,1,2.840000033,30.24481964,30.33871078,30.13053513,399.8708496,401.0758667,31.63511086,31.81859779,70.68535614,71.096138,300.7795715,-0.011251666,0.097359478,96.5630722,-0.242048293,1.301388621,0.014413476,0.001330476,0.017181411,0.002218212,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501299286,9.50048E-05,303.4887108,303.3948196,-0.001800266,-0.060066812,4.344044021,44.98659707,13.16799928,30.29176521,4.332373154,0.006937756,3.072501556,1.259871598,0.00433762,52.03119943,1.343464615,69.63445041,401.3811275,-0.001114097
16,13:14:55,74.50000249,0,-0.628115653,0.006937639,535.9775429,0.094775051,1.271591641,30.33849144,6,1.420000017,1,2.840000033,30.24352646,30.33849144,30.1325531,399.8998718,401.0770264,31.63441086,31.81745529,70.69147491,71.10150909,300.7779541,0.006762051,0.112453051,96.5632782,-0.242048293,1.301388621,0.014413476,0.001330476,0.017181411,0.002218212,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50129659,9.47751E-05,303.4884914,303.3935265,0.001081928,-0.060065776,4.343989427,44.98593574,13.16848044,30.29100895,4.332185367,0.006920732,3.072397787,1.25978758,0.004326973,51.75574858,1.336345659,69.63274043,401.3756025,-0.001089688
17,13:14:57,76.50000245,0,-0.611735049,0.006921805,532.5686588,0.094561958,1.271630877,30.33825493,6,1.420000017,1,2.840000033,30.24254227,30.33825493,30.13415909,399.9496155,401.0942688,31.63375473,31.81638908,70.6962204,71.10544586,300.7758484,0.018379895,0.130999908,96.56343079,-0.242048293,1.301388621,0.014413476,0.001330476,0.017181411,0.002218212,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501293081,9.4562E-05,303.4882549,303.3925423,0.002940783,-0.060040273,4.343930562,44.98525504,13.16886596,30.2903986,4.332033817,0.006904976,3.072299685,1.259734132,0.004317119,51.42665682,1.327789251,69.63125058,401.3850583,-0.001061222
18,13:14:59,78.5000024,0,-0.595631753,0.006907047,529.1923025,0.09436256,1.271656777,30.33789635,6,1.420000017,1,2.840000033,30.2416935,30.33789635,30.13585091,400.0046387,401.1173096,31.63291931,31.81516647,70.70001221,71.10842133,300.7796631,0.030963253,0.135912716,96.56352234,-0.242048293,1.301388621,0.014413476,0.001330476,0.017181411,0.002218212,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501299438,9.43626E-05,303.4878963,303.3916935,0.00495412,-0.059984863,4.343841315,44.98428817,13.16912169,30.28979492,4.331883929,0.00689029,3.072184538,1.259699391,0.004307934,51.10067273,1.319295602,69.62988523,401.4004444,-0.001033227
19,13:15:02,81.00000235,0,-0.578143896,0.006925182,524.860778,0.094614513,1.271725024,30.33780098,6,1.420000017,1,2.840000033,30.24100876,30.33780098,30.13744736,400.0717773,401.149353,31.63141251,31.81414604,70.70204926,71.11083221,300.780365,0.04526931,0.128081515,96.56372833,-0.242048293,1.301388621,0.014413476,0.001330476,0.017181411,0.002218212,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501300608,9.46145E-05,303.487801,303.3910088,0.00724309,-0.06016448,4.34381758,44.9839464,13.16980036,30.28940487,4.331787084,0.006908336,3.072092556,1.259694529,0.00431922,50.68251358,1.308392433,69.62830434,401.4241749,-0.001002809
