OPEN 6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Jun  8 2016 11:47:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#3.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""11:47:38 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:47:41 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:47:41 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:47:41 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:47:41 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11:47:43,27.50000102,0,14.63397448,0.13157428,188.5344959,2.118841985,1.560009491,31.85763168,6,1.420000017,1,2.840000033,30.40931702,31.85763168,30.21147537,399.8722839,381.1800842,30.42544937,32.90592194,67.38883209,72.86911011,495.6602783,1200.127441,2.074150801,96.53977203,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826100464,0.002118842,305.0076317,303.559317,192.0203863,0.912302285,4.736739694,49.06516344,16.15924151,31.13347435,4.54582563,0.125748482,3.176730202,1.369095428,0.079096242,18.20107726,0.494607414,67.17881047,374.2237936,0.02627019
2,11:47:45,29.50000097,0,14.57878974,0.131484363,189.1158445,2.119567172,1.561543516,31.86382103,6,1.420000017,1,2.840000033,30.40875626,31.86382103,30.207901,399.8265381,381.2006836,30.42601013,32.90733719,67.37423706,72.85984039,495.6584473,1200.137207,2.071884871,96.53948975,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826097412,0.002119567,305.013821,303.5587563,192.0219488,0.911023463,4.738401057,49.08251607,16.17517888,31.13628864,4.546554407,0.125666349,3.176857541,1.369696866,0.079044249,18.25714713,0.496105733,67.15673979,374.2706252,0.026159253
3,11:47:47,31.50000093,0,14.51781758,0.131383277,189.7504478,2.119843195,1.562881789,31.86889648,6,1.420000017,1,2.840000033,30.40821457,31.86889648,30.19928741,399.7675781,381.21521,30.42595673,32.90762711,67.36881256,72.85657501,495.6542664,1200.114136,2.069244385,96.53938293,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826090444,0.002119843,305.0188965,303.5582146,192.0182574,0.910065925,4.739763804,49.09668635,16.18905924,31.13855553,4.547141504,0.125574008,3.176882015,1.370259489,0.078985795,18.31839115,0.497751514,67.13667772,374.3141348,0.026039039
4,11:47:50,34.00000087,0,14.47435914,0.131310082,190.1931743,2.119406059,1.563388228,31.87084007,6,1.420000017,1,2.840000033,30.40761566,31.87084007,30.18408966,399.7151489,381.214447,30.42646027,32.90777206,67.3660965,72.85462952,495.6235962,1200.105957,2.088514805,96.53942871,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826039327,0.002119406,305.0208401,303.5576157,192.0169488,0.909916908,4.740285743,49.10206955,16.19429749,31.13922787,4.547315645,0.125507141,3.176897515,1.37041813,0.078943467,18.36114039,0.498913868,67.12874384,374.3340299,0.025956645
5,11:47:52,36.00000083,0,14.46618055,0.131283974,190.2452676,2.118944593,1.563343882,31.87084579,6,1.420000017,1,2.840000033,30.4062252,31.87084579,30.17215347,399.6897278,381.1982727,30.42736816,32.90826035,67.36896515,72.85761261,495.5992432,1200.131226,2.089144945,96.53939056,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111215,0.825998739,0.002118945,305.0208458,303.5562252,192.0209918,0.910002093,4.74028728,49.10210487,16.19384453,31.1385355,4.547136317,0.12548329,3.176943398,1.370192919,0.078928368,18.36616219,0.499071694,67.12938911,374.3217433,0.025943079
6,11:47:54,38.00000078,0,14.46467231,0.131308764,190.2824789,2.118951517,1.563066468,31.86996651,6,1.420000017,1,2.840000033,30.40379906,31.86996651,30.16193962,399.6718445,381.1820068,30.42779732,32.90872955,67.37517548,72.86471558,495.5926208,1200.149658,2.072006464,96.53926849,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.825987701,0.002118952,305.0199665,303.5537991,192.023941,0.909824689,4.740051146,49.09972097,16.19099142,31.13688278,4.546708276,0.125505937,3.176984678,1.369723598,0.078942705,18.36973132,0.499190611,67.13389176,374.3061944,0.025943192
7,11:47:56,40.00000074,0,14.47924806,0.131385706,190.1866467,2.119403447,1.562526486,31.86823654,6,1.420000017,1,2.840000033,30.40122032,31.86823654,30.15430641,399.6712646,381.163269,30.42803574,32.90954208,67.38196564,72.87332153,495.5832214,1200.158691,2.05237937,96.53917694,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.825972036,0.002119403,305.0182365,303.5512203,192.0253863,0.909506814,4.739586592,49.09495546,16.18541337,31.13472843,4.546150369,0.125576227,3.177060106,1.369090263,0.078987199,18.36046234,0.498963731,67.14294407,374.280528,0.025974617
8,11:47:58,42.00000069,0,14.48047698,0.131441014,190.2226527,2.120010093,1.562343773,31.86808586,6,1.420000017,1,2.840000033,30.3975811,31.86808586,30.14288712,399.6505432,381.1398926,30.42868614,32.911026,67.38813782,72.88298798,495.5578613,1200.176514,2.022987366,96.53914642,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111215,0.825929769,0.00212001,305.0180859,303.5475811,192.0282379,0.908764504,4.739546131,49.09455186,16.18352586,31.13283348,4.545659687,0.125626751,3.177202358,1.368457329,0.079019182,18.36393252,0.499088803,67.14709872,374.2565673,0.025980092
9,11:48:00,44.00000065,0,14.48220477,0.131490315,190.2357747,2.120220619,1.561941064,31.86690521,6,1.420000017,1,2.840000033,30.39308739,31.86690521,30.13100433,399.6200562,381.1065063,30.4292202,32.91191101,67.40190887,72.89920044,495.5365601,1200.192505,1.99148643,96.53915405,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111215,0.825894267,0.002120221,305.0169052,303.5430874,192.0307965,0.908242803,4.739229112,49.09126414,16.17935313,31.1299963,4.544925109,0.125671786,3.177288047,1.367637062,0.079047691,18.36520076,0.499166956,67.15395593,374.2223598,0.025988221
10,11:48:02,46.0000006,0,14.51160753,0.131583877,189.9573111,2.120335058,1.560968939,31.86357307,6,1.420000017,1,2.840000033,30.38837433,31.86357307,30.12235451,399.6152039,381.0653381,30.42982483,32.91275024,67.41734314,72.91664124,495.5160522,1200.217407,1.949278116,96.53904724,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111215,0.825860087,0.002120335,305.0135731,303.5383743,192.0347809,0.908054111,4.73833449,49.08205152,16.16930127,31.1259737,4.543883791,0.125757248,3.177365551,1.36651824,0.079101791,18.33829783,0.498490133,67.16937815,374.1672149,0.026050803
11,11:48:04,48.00000056,0,14.56660863,0.131708619,189.393146,2.120602648,1.559757495,31.85937309,6,1.420000017,1,2.840000033,30.38340378,31.85937309,30.11834335,399.6314392,381.0144958,30.43040276,32.91370392,67.43406677,72.93546295,495.5031128,1200.254272,1.876021624,96.5388031,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111215,0.825838521,0.002120603,305.0093731,303.5334038,192.0406793,0.907896556,4.737207077,49.0704973,16.15679338,31.12138844,4.542697069,0.125871183,3.177449582,1.365247487,0.079173916,18.28378763,0.497075959,67.18860889,374.0902277,0.026162409
12,11:48:06,50.5000005,0,14.63553331,0.131922828,188.7695455,2.121386314,1.557923959,31.85304642,6,1.420000017,1,2.840000033,30.37765884,31.85304642,30.11892319,399.6551208,380.9544983,30.43092918,32.91514587,67.45587158,72.96051788,495.5028076,1200.274048,1.803297758,96.53869629,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111215,0.825838013,0.002121386,305.0030464,303.5276588,192.0438434,0.907642256,4.73550923,49.05296437,16.1378185,31.11535263,4.541135343,0.12606681,3.177585271,1.363550072,0.079297757,18.22356582,0.495517303,67.21806738,373.9974667,0.026304249
13,11:48:08,52.50000046,0,14.69989729,0.1321322,188.2112799,2.122173223,1.556154272,31.84706688,6,1.420000017,1,2.840000033,30.37421608,31.84706688,30.12217712,399.6875916,380.9085388,30.43168831,32.91685486,67.47061157,72.97831726,495.4962769,1200.259644,1.779810548,96.53871155,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111215,0.825827128,0.002122173,304.9970669,303.5242161,192.0415387,0.907588958,4.733905028,49.03633944,16.11948458,31.11064148,4.539916687,0.126257994,3.177750756,1.362165931,0.079418788,18.16967446,0.494111475,67.24677108,373.9209117,0.026436623
14,11:48:10,54.50000041,0,14.76398405,0.132278407,187.574342,2.122983378,1.555109296,31.84375381,6,1.420000017,1,2.840000033,30.37170792,31.84375381,30.1257782,399.7236328,380.8666992,30.43238258,32.91849518,67.48256683,72.9932251,495.4959717,1200.235352,1.772334814,96.53865051,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111215,0.825826619,0.002122983,304.9937538,303.5217079,192.037652,0.907262643,4.733016397,49.02716552,16.10867034,31.10773087,4.539163927,0.126391483,3.177907101,1.361256826,0.079503296,18.10817384,0.492493417,67.26435887,373.8486083,0.026563959
15,11:48:12,56.50000037,0,14.83028185,0.132402891,186.8849182,2.124049037,1.554491212,31.84204865,6,1.420000017,1,2.840000033,30.37015152,31.84204865,30.12888527,399.7668762,380.8297729,30.43294144,32.92023087,67.49185181,73.00539398,495.5092468,1200.22229,1.766215563,96.53844452,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111215,0.825848745,0.002124049,304.9920486,303.5201515,192.0355621,0.906735428,4.732559093,49.02253311,16.10230224,31.10610008,4.538742212,0.126505128,3.178067881,1.360674331,0.079575242,18.0415793,0.49073085,67.27562777,373.7801672,0.026692602
16,11:48:14,58.50000032,0,14.90538244,0.13256306,186.1385514,2.125637109,1.553853876,31.84048271,6,1.420000017,1,2.840000033,30.36938477,31.84048271,30.13127327,399.8244019,380.79599,30.43348503,32.92259216,67.49879456,73.01593018,495.5163879,1200.203003,1.767503381,96.53812408,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.825860647,0.002125637,304.9904827,303.5193848,192.0324762,0.906025316,4.732139164,49.01834595,16.09575379,31.10493374,4.53844062,0.126651338,3.178285287,1.360155333,0.079667806,17.96946657,0.488814369,67.28793572,373.710685,0.02683767
17,11:48:16,60.50000028,0,14.96992173,0.132718204,185.5206886,2.127391441,1.553395721,31.83966255,6,1.420000017,1,2.840000033,30.36882973,31.83966255,30.1326046,399.8733521,380.7661133,30.43398476,32.92513275,67.50439453,73.02584076,495.5177612,1200.168823,1.789144039,96.53791046,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.825862935,0.002127391,304.9896626,303.5188297,192.0270074,0.905130897,4.731919238,49.01617629,16.09104354,31.10424614,4.53826283,0.126792946,3.178523517,1.359739312,0.079757457,17.90977963,0.48723004,67.29776148,373.6501294,0.02696218
18,11:48:18,62.50000023,0,15.01942108,0.132868044,185.0853796,2.129122081,1.552983427,31.83909225,6,1.420000017,1,2.840000033,30.36851692,31.83909225,30.13314247,399.9068604,380.7390137,30.43466187,32.92782211,67.50938416,73.03488922,495.5192261,1200.133911,1.838873744,96.53790283,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.825865377,0.002129122,304.9890923,303.5185169,192.0214215,0.904245088,4.731766318,49.01459613,16.08677401,31.10380459,4.538148663,0.126929698,3.178782892,1.359365771,0.079844035,17.86775439,0.486121393,67.30701353,373.5995002,0.027058719
19,11:48:21,65.00000018,0,15.07702034,0.133062872,184.610687,2.13213651,1.552999491,31.8405304,6,1.420000017,1,2.840000033,30.36865234,31.8405304,30.13293457,399.9517822,380.7132568,30.43504143,32.93167114,67.51248932,73.04472351,495.5292358,1200.103516,1.90423286,96.5378418,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.82588206,0.002132137,304.9905304,303.5186523,192.0165582,0.90251153,4.73215195,49.01862174,16.08695059,31.10459137,4.538352094,0.12710749,3.179152459,1.359199635,0.079956598,17.82191729,0.48490743,67.31134763,373.5463634,0.027168102
20,11:48:23,67.00000013,0,15.11068,0.133186735,184.3447614,2.134755021,1.553513277,31.84350586,6,1.420000017,1,2.840000033,30.36889076,31.84350586,30.13237,399.9781494,380.6980896,30.43503952,32.93467712,67.51339722,73.05173492,495.5392456,1200.095703,1.94688046,96.53765869,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.825898743,0.002134755,304.9935059,303.5188908,192.0153082,0.900815746,4.732949897,49.02698036,16.09230323,31.10619831,4.538767612,0.127220508,3.179436619,1.359330993,0.080028152,17.79621166,0.484228228,67.30721434,373.515196,0.027229355
21,11:48:25,69.00000009,0,15.13829052,0.133339541,184.1876654,2.137222919,1.553597817,31.84492493,6,1.420000017,1,2.840000033,30.36883926,31.84492493,30.13195801,399.9901123,380.6755981,30.43529701,32.93780899,67.51515198,73.05937195,495.5406799,1200.098389,1.969665051,96.53746796,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.825901133,0.002137223,304.9949249,303.5188393,192.0157379,0.899390574,4.733330497,49.03101974,16.09321075,31.1068821,4.538944434,0.127359923,3.17973268,1.359211754,0.080116421,17.78101085,0.483844161,67.30962206,373.4795798,0.027282686
22,11:48:27,71.00000004,0,15.15892591,0.133506904,184.1303259,2.139541957,1.553414868,31.84536362,6,1.420000017,1,2.840000033,30.36852455,31.84536362,30.1317482,399.9866638,380.6457214,30.43570518,32.94098282,67.5177002,73.06773376,495.5291138,1200.088135,1.996183395,96.53729248,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.825881856,0.002139542,304.9953636,303.5185246,192.0140973,0.898116504,4.733448161,49.03232771,16.09134489,31.10694408,4.538960464,0.127512604,3.180033293,1.358927171,0.080213089,17.77544312,0.4837315,67.31604748,373.4398941,0.027325387
23,11:48:29,73,0,15.16763281,0.13363713,184.1711106,2.141507933,1.553389576,31.8462677,6,1.420000017,1,2.840000033,30.3681469,31.8462677,30.13157082,399.970459,380.6179504,30.43618584,32.94378281,67.52044678,73.07575226,495.5242615,1200.051392,2.012624025,96.53721619,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.825873769,0.002141508,304.9962677,303.5181469,192.0082184,0.896896877,4.733690659,49.03487842,16.09109562,31.1072073,4.539028531,0.127631393,3.180301083,1.358727448,0.080288301,17.77936632,0.483873949,67.31959401,373.4079842,0.027344859
24,11:48:31,74.99999996,0,15.18677925,0.133770609,184.0870334,2.143573704,1.55339947,31.84736824,6,1.420000017,1,2.840000033,30.36800575,31.84736824,30.13165283,399.9659119,380.589447,30.43678284,32.94677734,67.5227356,73.08325195,495.526947,1200.030884,2.007175446,96.53710175,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.825878245,0.002143574,304.9973682,303.5180058,192.0049371,0.895661746,4.733985867,49.03799452,16.09121718,31.107687,4.539152582,0.127753139,3.180586397,1.358566186,0.080365385,17.77122867,0.483689274,67.32278648,373.3703795,0.027383434
25,11:48:33,76.99999991,0,15.21653739,0.133970481,183.9627555,2.146477665,1.553279148,31.84825897,6,1.420000017,1,2.840000033,30.36807442,31.84825897,30.13183403,399.9749146,380.5612793,30.43720055,32.95056915,67.52373505,73.09098053,495.5301819,1200.006226,2.015681267,96.53689575,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.825883636,0.002146478,304.998259,303.5180744,192.0009918,0.894060407,4.734224808,49.04057429,16.09000513,31.10816669,4.539276637,0.127935421,3.180945659,1.358330977,0.0804808,17.75919335,0.48339851,67.32905402,373.3280662,0.027442755
26,11:48:35,78.99999987,0,15.24823492,0.134184433,183.8322198,2.149179877,1.552860893,31.84799194,6,1.420000017,1,2.840000033,30.36783409,31.84799194,30.13203812,399.9834595,380.5299988,30.43766785,32.95422745,67.52523804,73.09949493,495.5230103,1199.956909,2.019877911,96.53669739,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111215,0.825871684,0.00214918,304.9979919,303.5178341,191.9931012,0.892633748,4.734153175,49.03993304,16.08570559,31.10791302,4.539211033,0.128130517,3.181292283,1.35791875,0.080604331,17.74655538,0.48309521,67.33965546,373.2817182,0.027507666
27,11:48:37,81.49999981,0,15.29238336,0.134431491,183.5810083,2.1520808,1.552224015,31.84712601,6,1.420000017,1,2.840000033,30.36752319,31.84712601,30.13232422,399.9928894,380.4842834,30.43846703,32.95847321,67.52831268,73.11027527,495.5110474,1199.885864,1.99189496,96.53653717,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.825851746,0.002152081,304.997126,303.5175232,191.981734,0.891142844,4.733920889,49.03760822,16.07913502,31.1073246,4.539058865,0.128355767,3.181696874,1.357361991,0.080746958,17.72227483,0.482493013,67.35412767,373.2150168,0.02759817
28,11:48:39,83.49999977,0,15.31308958,0.134574218,183.492272,2.154367007,1.55229237,31.848629,6,1.420000017,1,2.840000033,30.36784363,31.848629,30.13246536,399.9920349,380.4574585,30.43929672,32.96195984,67.52937317,73.11727142,495.5132141,1199.81958,1.96843338,96.53648376,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.825855357,0.002154367,304.998629,303.5178436,191.9711285,0.889722464,4.734324071,49.04181182,16.07985198,31.10823631,4.539294641,0.128485878,3.182031701,1.35726294,0.080829345,17.71369873,0.482293796,67.35690583,373.1783491,0.027639394
29,11:48:41,85.49999972,0,15.32867284,0.134687477,183.4305576,2.156625738,1.552662167,31.85119629,6,1.420000017,1,2.840000033,30.36837387,31.85119629,30.13265991,399.9904175,380.4359741,30.43999672,32.9652977,67.52946472,73.1231308,495.5128784,1199.752441,1.963803053,96.53638458,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.825854797,0.002156626,305.0011963,303.5183739,191.9603863,0.88819482,4.735012823,49.04899685,16.08369915,31.10978508,4.539695189,0.128589117,3.182350657,1.357344532,0.080894717,17.70772285,0.482158813,67.35494264,373.1494572,0.027668857
30,11:48:43,87.49999968,0,15.35627384,0.134837336,183.2672752,2.159268432,1.552905856,31.85336876,6,1.420000017,1,2.840000033,30.36884499,31.85336876,30.13284111,399.9992981,380.40979,30.44039536,32.96884537,67.52920532,73.12944794,495.5003662,1199.730713,1.968326569,96.5362854,2.059004307,1.271178365,0.033570252,0.004745936,0.059292622,0.005836564,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.825833944,0.002159268,305.0033688,303.518845,191.9569098,0.886605115,4.735595722,49.05508537,16.08624,31.11110687,4.54003706,0.128725705,3.182689866,1.357347194,0.080981207,17.69194198,0.481762773,67.35531845,373.1101529,0.027721752
Remark=,"""11:48:47 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:48:47 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:48:47 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:48:47 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
