OPEN 6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Jun  8 2016 11:54:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#3.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""11:54:56 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:54:59 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:54:59 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:54:59 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:54:59 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11:55:01,29.00000018,0,-0.766861799,0.016359133,466.5147575,0.249110319,1.42166632,30.63575363,6,1.420000017,1,2.840000033,30.34238815,30.63575363,30.21369171,400.4375916,401.7718506,30.56155777,31.04456711,67.94307709,69.01708221,299.841156,0.306755096,0.305074394,96.53414917,1.96521461,1.287183166,0.027887542,0.001074106,0.023490734,0.000939822,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.49973526,0.00024911,303.7857536,303.4923882,0.049080814,-0.163316044,4.418527192,45.771649,14.72708189,30.48907089,4.381608766,0.01626544,2.996860872,1.384747893,0.010174276,45.03460519,1.161143462,66.73137289,402.13638,-0.001272547
2,11:55:03,31.00000013,0,-0.764183836,0.016451725,465.8507917,0.250653182,1.422458588,30.63970947,6,1.420000017,1,2.840000033,30.34182358,30.63970947,30.21053314,400.4623108,401.7897644,30.5607605,31.04668808,67.92736816,69.00574493,299.8857117,0.2130889,0.207556203,96.53422546,1.96521461,1.287183166,0.027887542,0.001074106,0.023490734,0.000939822,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499809519,0.000250653,303.7897095,303.4918236,0.034094223,-0.164867794,4.419526575,45.78196545,14.73527737,30.49076653,4.382033997,0.016356971,2.997067987,1.38496601,0.010231578,44.97054536,1.159439172,66.72122364,402.1530208,-0.001267858
3,11:55:05,33.00000009,0,-0.764779507,0.016487176,465.7371227,0.251380101,1.423524692,30.64432335,6,1.420000017,1,2.840000033,30.34111404,30.64432335,30.20201111,400.4563904,401.7843628,30.56041145,31.04771423,67.92190552,69.0030899,299.9063416,0.136185408,0.162754551,96.53424835,1.96521461,1.287183166,0.027887542,0.001074106,0.023490734,0.000939822,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499843903,0.00025138,303.7943233,303.491114,0.021789665,-0.166092577,4.420692449,45.79403191,14.74631767,30.4927187,4.382523608,0.016392015,2.997167757,1.385355852,0.010253517,44.95958307,1.159171849,66.70525163,402.1479023,-0.001268558
4,11:55:07,35.00000004,0,-0.775320949,0.016475897,466.7803462,0.251360559,1.424376246,30.64760971,6,1.420000017,1,2.840000033,30.33989716,30.64760971,30.18955612,400.4179077,401.7669983,30.56023788,31.04750443,67.92105103,69.0026474,299.9053955,0.105859108,0.151966974,96.53422546,1.96521461,1.287183166,0.027887542,0.001074106,0.023490734,0.000939822,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499842326,0.000251361,303.7976097,303.4898972,0.016937457,-0.166750197,4.421523039,45.80264686,14.75514243,30.49375343,4.382783143,0.016380866,2.997146792,1.385636351,0.010246537,45.06027918,1.161818537,66.6913158,402.1355487,-0.001285815
