OPEN 6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Jun 11 2016 14:40:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#3.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:40:47 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:40:48 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:40:48 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:40:48 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:40:48 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:40:50,11.50000035,0,-1.48496687,0.03429179,462.6269031,0.49160178,1.34704841,30.06813431,6,1.420000017,1,2.840000033,30.13916206,30.06813431,29.97927284,400.0765076,402.6505737,29.42734718,30.38068771,66.05204773,68.20626831,299.9976807,0.065917313,0.382836878,96.44625092,1.453945756,1.583602309,0.025732404,0.005127378,0.025403226,0.003120667,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499996134,0.000491602,303.2181343,303.2891621,0.01054677,-0.235022077,4.27715184,44.34751791,13.9668302,30.10364819,4.285880116,0.033882672,2.93010343,1.355776686,0.02121305,44.61863037,1.148953791,67.67385115,403.3564559,-0.00249143
2,14:40:52,14.00000029,0,-1.454189824,0.034381608,461.0247572,0.492255055,1.345365347,30.06110573,6,1.420000017,1,2.840000033,30.13698578,30.06110573,29.9907341,400.1332703,402.6452942,29.42572021,30.38034058,66.07000732,68.22039795,299.9937134,-0.00291338,0.254050523,96.44595337,1.453945756,1.583602309,0.025732404,0.005127378,0.025403226,0.003120667,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499989522,0.000492255,303.2111057,303.2869858,-0.000466141,-0.234815993,4.275426257,44.32976302,13.94942245,30.09904575,4.284748097,0.033970356,2.930060911,1.354687187,0.021268042,44.46397224,1.144989806,67.70252314,403.3365464,-0.002440947
3,14:40:54,16.00000025,0,-1.43893786,0.034499932,460.087268,0.493178421,1.343333046,30.05272865,6,1.420000017,1,2.840000033,30.13449287,30.05272865,30.00881577,400.1473999,402.6283264,29.42370796,30.38017082,66.07794189,68.2300415,299.9775085,-0.042018615,0.198881775,96.44571686,1.453945756,1.583602309,0.025732404,0.005127378,0.025403226,0.003120667,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499962514,0.000493178,303.2027287,303.2844929,-0.006722978,-0.234551265,4.273370399,44.30855551,13.92838468,30.09361076,4.283411638,0.034085861,2.930037353,1.353374285,0.021340482,44.37344638,1.142709635,67.73748345,403.3123286,-0.002416738
4,14:40:56,18.0000002,0,-1.440366075,0.034576964,460.0065885,0.493732152,1.341892036,30.04669189,6,1.420000017,1,2.840000033,30.13284683,30.04669189,30.03167534,400.1341858,402.6176758,29.42216682,30.37975883,66.08351898,68.23699951,299.9603271,-0.036001712,0.163142115,96.44570923,1.453945756,1.583602309,0.025732404,0.005127378,0.025403226,0.003120667,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499933879,0.000493732,303.1966919,303.2828468,-0.005760274,-0.234222743,4.271889423,44.29320347,13.91344464,30.08976936,4.28246726,0.034161054,2.929997387,1.352469873,0.02138764,44.36566168,1.142539477,67.76204699,403.3023568,-0.002420074
5,14:40:58,20.00000016,0,-1.445361005,0.034597727,460.1948815,0.493812246,1.34132047,30.04416275,6,1.420000017,1,2.840000033,30.13292694,30.04416275,30.05352402,400.1168518,402.6103516,29.42144012,30.37921715,66.08460236,68.23825073,299.9512024,-0.021871671,0.154392257,96.44582367,1.453945756,1.583602309,0.025732404,0.005127378,0.025403226,0.003120667,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499918671,0.000493812,303.1941628,303.2829269,-0.003499467,-0.233884036,4.27126909,44.28671899,13.90750184,30.08854485,4.28216626,0.03418132,2.92994862,1.35221764,0.02140035,44.38387439,1.143027942,67.77144879,403.297407,-0.002428833
6,14:41:00,22.00000011,0,-1.442749412,0.034555152,460.1353868,0.493240224,1.341398901,30.0439682,6,1.420000017,1,2.840000033,30.13410759,30.0439682,30.0714283,400.101532,402.5903625,29.42120934,30.3779068,66.08264923,68.23447418,299.9422302,-0.009224664,0.144896477,96.4458313,1.453945756,1.583602309,0.025732404,0.005127378,0.025403226,0.003120667,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499903717,0.00049324,303.1939682,303.2841076,-0.001475946,-0.233389785,4.271221376,44.28622075,13.90831395,30.0890379,4.282287455,0.034139763,2.929822474,1.35246498,0.021374287,44.37813989,1.142936915,67.76875714,403.2761765,-0.002424476
