OPEN 6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Jun 11 2016 15:28:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#3.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:28:18 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:28:20 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:28:20 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:28:20 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:28:20 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:28:22,15.50000001,0,15.51651022,0.176100127,223.4299667,2.618369645,1.459947827,31.58863068,6,1.420000017,1,2.840000033,30.25519943,31.58863068,30.24616432,399.4285278,379.4459229,30.18676567,33.25048447,67.35938263,74.19920349,495.7323608,1199.493164,0.615318537,96.39179993,1.696815491,1.600173354,0.043925602,0.001125502,0.060817059,0.003314774,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826220601,0.00261837,304.7386307,303.4051994,191.918902,0.67937065,4.665021873,48.39645983,15.14597536,30.92191505,4.491331595,0.165818222,3.205074046,1.286257549,0.10451358,21.53681664,0.588832171,69.27741925,372.070117,0.028890893
2,15:28:24,17.49999997,0,15.52662723,0.17574766,223.0385823,2.616478151,1.461636993,31.59492493,6,1.420000017,1,2.840000033,30.25567818,31.59492493,30.2389183,399.4325256,379.4381714,30.18865013,33.25021744,67.34086609,74.17340851,495.7225037,1199.549316,0.522768021,96.39191437,1.696815491,1.600173354,0.043925602,0.001125502,0.060817059,0.003314774,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826204173,0.002616478,304.7449249,303.4056782,191.9278863,0.679606001,4.666689105,48.41369876,15.16348132,30.92530155,4.492199396,0.165505676,3.205052112,1.287147284,0.104314921,21.49911592,0.587812717,69.24899616,372.0575564,0.028898845
3,15:28:26,19.99999991,0,15.56691615,0.175472242,222.387952,2.616154702,1.463600981,31.60224533,6,1.420000017,1,2.840000033,30.25618172,31.60224533,30.22150803,399.4417114,379.3978577,30.18862915,33.2499733,67.32896423,74.15870667,495.6974792,1199.609619,0.431945026,96.39189148,1.696815491,1.600173354,0.043925602,0.001125502,0.060817059,0.003314774,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826162465,0.002616155,304.7522453,303.4061817,191.9375348,0.678931029,4.668628799,48.43383325,15.18385996,30.92921352,4.493202035,0.165261401,3.205027818,1.288174217,0.104159661,21.43639534,0.586160274,69.2173393,371.9980913,0.028965216
4,15:28:28,21.99999987,0,15.58197611,0.175355017,222.137724,2.615528269,1.464169588,31.60412979,6,1.420000017,1,2.840000033,30.25631332,31.60412979,30.20411491,399.4491882,379.3869019,30.18853569,33.24922943,67.32410431,74.15190125,495.6844788,1199.633301,0.403998524,96.39196777,1.696815491,1.600173354,0.043925602,0.001125502,0.060817059,0.003314774,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826140798,0.002615528,304.7541298,303.4063133,191.9413238,0.679042136,4.66912824,48.43897627,15.18974684,30.93022156,4.493460425,0.165157418,3.204958652,1.288501773,0.104093571,21.41229233,0.585517641,69.20740663,371.9799767,0.028990489
5,15:28:30,23.99999982,0,15.58118701,0.175259692,222.072289,2.614232366,1.464196208,31.60378647,6,1.420000017,1,2.840000033,30.2557354,31.60378647,30.18806076,399.4521179,379.3905945,30.188694,33.24799347,67.32292175,74.14810944,495.6653137,1199.661133,0.393411398,96.39201355,1.696815491,1.600173354,0.043925602,0.001125502,0.060817059,0.003314774,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826108856,0.002614232,304.7537865,303.4057354,191.945777,0.679705358,4.669037245,48.43800926,15.19001579,30.92976093,4.493342351,0.165072855,3.204841037,1.288501314,0.104039824,21.40599509,0.585339469,69.2053085,371.9840444,0.028987825
6,15:28:32,25.99999978,0,15.58933376,0.175203895,221.952155,2.613015726,1.463957389,31.60233116,6,1.420000017,1,2.840000033,30.25432777,31.60233116,30.1751461,399.4627991,379.3913574,30.18850899,33.24648285,67.32434082,74.14733124,495.650177,1199.668823,0.403339684,96.3919754,1.696815491,1.600173354,0.043925602,0.001125502,0.060817059,0.003314774,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826083628,0.002613016,304.7523312,303.4043278,191.9470074,0.680334208,4.668651546,48.43402707,15.18754422,30.92832947,4.492975434,0.165023355,3.204694157,1.288281277,0.104008363,21.39440666,0.585021642,69.20730598,371.9809348,0.029004062
7,15:28:34,27.99999973,0,15.59571178,0.175166503,221.8662516,2.611940285,1.463654195,31.60059929,6,1.420000017,1,2.840000033,30.25234032,31.60059929,30.16571999,399.4729919,379.3945618,30.18817902,33.2448616,67.32789612,74.14876556,495.656311,1199.663086,0.41675216,96.39199066,1.696815491,1.600173354,0.043925602,0.001125502,0.060817059,0.003314774,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826093852,0.00261194,304.7505993,303.4023403,191.9460895,0.680828324,4.668192584,48.429258,15.18439639,30.9264698,4.492498799,0.164990182,3.204538389,1.28796041,0.10398728,21.38612965,0.584790279,69.21037724,371.9811073,0.029017202
8,15:28:36,29.99999969,0,15.61825104,0.175039339,221.5422441,2.610348,1.463765735,31.60018539,6,1.420000017,1,2.840000033,30.24967766,31.60018539,30.15042114,399.4921265,379.3873901,30.18776894,33.24256134,67.32781982,74.14465332,495.6618347,1199.668091,0.393899798,96.39200592,1.696815491,1.600173354,0.043925602,0.001125502,0.060817059,0.003314774,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826103058,0.002610348,304.7501854,303.3996777,191.9468902,0.681324736,4.668082905,48.42811248,15.18555114,30.92493153,4.492104569,0.164877359,3.20431717,1.287787399,0.103915573,21.3549013,0.583947305,69.20606398,371.9632216,0.029058725
9,15:28:38,31.99999964,0,15.64483702,0.174990536,221.2463327,2.609255478,1.463542602,31.5983963,6,1.420000017,1,2.840000033,30.24624634,31.5983963,30.13492584,399.5184631,379.3822632,30.18647957,33.23997116,67.33425903,74.14936066,495.6667786,1199.648071,0.384487599,96.39196777,1.696815491,1.600173354,0.043925602,0.001125502,0.060817059,0.003314774,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826111298,0.002609255,304.7483963,303.3962463,191.9436871,0.681613731,4.66760883,48.42321345,15.18324229,30.92232132,4.491435694,0.164834057,3.204066229,1.287369465,0.103888052,21.32636938,0.583175215,69.20725276,371.9454569,0.02911008
10,15:28:41,34.49999959,0,15.65884735,0.17494601,221.0950848,2.607057443,1.462673257,31.59363174,6,1.420000017,1,2.840000033,30.24130249,31.59363174,30.12223244,399.5480347,379.3960571,30.18499756,33.23589706,67.34641266,74.15805054,495.6720886,1199.619019,0.397195965,96.39196014,1.696815491,1.600173354,0.043925602,0.001125502,0.060817059,0.003314774,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826120148,0.002607057,304.7436317,303.3913025,191.9390387,0.682642314,4.666346522,48.41012171,15.17422464,30.91746712,4.490192017,0.164794549,3.203673265,1.286518752,0.103862943,21.3117886,0.582755357,69.21703961,371.952591,0.02913971
11,15:28:43,36.49999954,0,15.65482392,0.174877058,221.0944142,2.604952766,1.462045348,31.58992195,6,1.420000017,1,2.840000033,30.23727036,31.58992195,30.11908913,399.5563049,379.4100037,30.1837616,33.23222733,67.35693359,74.16494751,495.66922,1199.568115,0.397586644,96.39192963,1.696815491,1.600173354,0.043925602,0.001125502,0.060817059,0.003314774,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826115367,0.002604953,304.739922,303.3872704,191.9308941,0.683562837,4.665363866,48.39994265,15.16771532,30.91359615,4.489200468,0.164733366,3.203318518,1.28588195,0.103824057,21.31171722,0.582732169,69.22329172,371.9684501,0.029133612
12,15:28:45,38.4999995,0,15.65332596,0.174785756,221.039067,2.603107815,1.461735734,31.58744431,6,1.420000017,1,2.840000033,30.23357582,31.58744431,30.12042809,399.5563049,379.4127808,30.18235397,33.22865295,67.36654663,74.17114258,495.6723022,1199.509155,0.395982206,96.39186859,1.696815491,1.600173354,0.043925602,0.001125502,0.060817059,0.003314774,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826120504,0.002603108,304.7374443,303.3835758,191.9214606,0.684215117,4.664707683,48.39316585,15.16451289,30.91051006,4.4884101,0.164652346,3.202971949,1.285438151,0.103772564,21.3063687,0.582582027,69.22471486,371.9719393,0.02913115
13,15:28:47,40.49999945,0,15.65117994,0.174695321,220.9867154,2.601433756,1.461514206,31.58541298,6,1.420000017,1,2.840000033,30.23064232,31.58541298,30.12397385,399.5516052,379.4121094,30.18113327,33.22538376,67.37458801,74.17604828,495.6885376,1199.484253,0.389003545,96.39183044,1.696815491,1.600173354,0.043925602,0.001125502,0.060817059,0.003314774,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826147563,0.002601434,304.735413,303.3806423,191.9174762,0.684885335,4.664169764,48.38760445,15.16222069,30.90802765,4.487774426,0.164572091,3.202655558,1.285118868,0.103721559,21.30131401,0.582445077,69.22504862,371.972288,0.029127269
14,15:28:49,42.49999941,0,15.65099104,0.174583432,220.9021568,2.599747307,1.461452973,31.58410072,6,1.420000017,1,2.840000033,30.22867775,31.58410072,30.12790489,399.554718,379.4162903,30.18015289,33.22242737,67.38085938,74.17900848,495.6904602,1199.491333,0.363018662,96.3917923,1.696815491,1.600173354,0.043925602,0.001125502,0.060817059,0.003314774,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826150767,0.002599747,304.7341007,303.3786777,191.918609,0.685651275,4.663822292,48.38401881,15.16159144,30.90638924,4.487354919,0.164472789,3.202369318,1.284985601,0.103658449,21.29315481,0.582215794,69.22300791,371.9765587,0.029125724
15,15:28:51,44.49999936,0,15.65160997,0.174421977,220.7738236,2.597752149,1.461607359,31.58359528,6,1.420000017,1,2.840000033,30.22754097,31.58359528,30.13115692,399.5648804,379.4260559,30.17942619,33.21945572,67.38516998,74.17897034,495.6773376,1199.510254,0.35081026,96.39173889,1.696815491,1.600173354,0.043925602,0.001125502,0.060817059,0.003314774,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826128896,0.002597752,304.7335953,303.377541,191.9216363,0.686592588,4.663688461,48.38265721,15.16320149,30.90556812,4.48714469,0.164329487,3.202081102,1.285063589,0.103567375,21.28077276,0.581862579,69.21729427,371.9860301,0.029123731
16,15:28:53,46.49999932,0,15.65233812,0.174275674,220.6532754,2.595809498,1.461672044,31.58281898,6,1.420000017,1,2.840000033,30.22686958,31.58281898,30.13325882,399.5711975,379.4320068,30.17885971,33.21667862,67.38815308,74.17751312,495.6685181,1199.537598,0.351593971,96.3916626,1.696815491,1.600173354,0.043925602,0.001125502,0.060817059,0.003314774,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826114197,0.002595809,304.732819,303.3768696,191.9260113,0.687623559,4.663482922,48.38056318,15.16388456,30.90484428,4.486959374,0.164199618,3.201810878,1.285148496,0.10348484,21.26913607,0.581535747,69.21315911,371.9916349,0.029122907
17,15:28:55,48.49999927,0,15.65232024,0.174162428,220.5643535,2.594091015,1.461604166,31.58163452,6,1.420000017,1,2.840000033,30.22647667,31.58163452,30.1342659,399.5731506,379.4349365,30.17832947,33.21411896,67.39035797,74.17562866,495.672821,1199.56311,0.356116325,96.39169312,1.696815491,1.600173354,0.043925602,0.001125502,0.060817059,0.003314774,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826121368,0.002594091,304.7316345,303.3764767,191.9300934,0.688634057,4.663169328,48.37729453,15.16317557,30.9040556,4.486757462,0.164099085,3.201565162,1.2851923,0.10342095,21.26057148,0.581296903,69.21145533,371.9945731,0.029121927
18,15:28:57,50.99999922,0,15.64482868,0.173982682,220.5021303,2.591744956,1.46170688,31.58086205,6,1.420000017,1,2.840000033,30.22641945,31.58086205,30.13443947,399.5761108,379.4487305,30.17800903,33.21095276,67.39138794,74.17059326,495.6908264,1199.610229,0.407344282,96.39163208,1.696815491,1.600173354,0.043925602,0.001125502,0.060817059,0.003314774,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826151377,0.002591745,304.730862,303.3764194,191.9376324,0.689983878,4.662964819,48.37520352,15.16425076,30.90364075,4.48665126,0.163939501,3.201257939,1.285393321,0.103319533,21.25456022,0.581111788,69.20618928,372.0119282,0.029104416
19,15:28:59,52.99999917,0,15.64197127,0.173805463,220.4016533,2.589791997,1.462008422,31.58102226,6,1.420000017,1,2.840000033,30.22644424,31.58102226,30.13420296,399.5904541,379.467865,30.17771721,33.20830917,67.39196777,74.166008,495.7030334,1199.667847,0.45743233,96.39150238,1.696815491,1.600173354,0.043925602,0.001125502,0.060817059,0.003314774,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826171722,0.002589792,304.7310223,303.3764442,191.9468512,0.691039389,4.663007235,48.37570865,15.16739947,30.90373325,4.486674942,0.163782142,3.200998813,1.285676129,0.103219532,21.24484649,0.580817702,69.19834007,372.032421,0.029094197
20,15:29:01,54.99999913,0,15.63871905,0.173615373,220.3047346,2.587912528,1.462453575,31.58173752,6,1.420000017,1,2.840000033,30.22662544,31.58173752,30.13399506,399.6161499,379.4985962,30.17734146,33.20569229,67.39162445,74.16077423,495.7112122,1199.687866,0.478473097,96.39139557,1.696815491,1.600173354,0.043925602,0.001125502,0.060817059,0.003314774,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826185354,0.002587913,304.7317375,303.3766254,191.9500543,0.691935022,4.663196596,48.37772675,15.17203446,30.90418148,4.486789689,0.163613335,3.200743021,1.286046668,0.103112257,21.23548082,0.580515282,69.18827896,372.0646981,0.029081395
21,15:29:03,56.99999908,0,15.63134188,0.173456577,220.2687836,2.586572289,1.462954028,31.58276176,6,1.420000017,1,2.840000033,30.22670174,31.58276176,30.13370323,399.6337891,379.5255127,30.17655945,33.20337677,67.39058685,74.15607452,495.7066956,1199.692139,0.499191284,96.39121246,1.696815491,1.600173354,0.043925602,0.001125502,0.060817059,0.003314774,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826177826,0.002586572,304.7327618,303.3767017,191.9507379,0.69247735,4.663467772,48.38063194,15.17725517,30.90473175,4.486930564,0.163472301,3.200513745,1.286416819,0.103022633,21.23197512,0.580379385,69.17789388,372.0951214,0.029060938
22,15:29:05,58.99999904,0,15.6153462,0.173316805,220.329727,2.585344921,1.463371277,31.5834446,6,1.420000017,1,2.840000033,30.22675133,31.5834446,30.13344193,399.6391602,379.5506287,30.17552757,33.20093155,67.38919067,74.15144348,495.7041931,1199.668823,0.524358511,96.39118958,1.696815491,1.600173354,0.043925602,0.001125502,0.060817059,0.003314774,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826173655,0.002585345,304.7334446,303.3767513,191.9470074,0.692957463,4.663648564,48.38251903,15.18158748,30.90509796,4.487024319,0.163348151,3.200277287,1.286747032,0.102943739,21.23784449,0.580501547,69.16887724,372.1278409,0.029024863
23,15:29:07,60.99999899,0,15.5994135,0.173141504,220.3668593,2.583622476,1.463793633,31.58403778,6,1.420000017,1,2.840000033,30.22717285,31.58403778,30.13348389,399.6505737,379.5818787,30.17473984,33.19815826,67.38678741,74.14464569,495.7006836,1199.649414,0.501362383,96.39125061,1.696815491,1.600173354,0.043925602,0.001125502,0.060817059,0.003314774,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826167806,0.002583622,304.7340378,303.3771729,191.943902,0.69375345,4.663805626,48.38411782,15.18595955,30.90560532,4.487154213,0.163192426,3.200011993,1.28714222,0.102844782,21.24143716,0.58055158,69.1592421,372.1666646,0.028988185
24,15:29:09,62.99999895,0,15.60593106,0.172950681,220.1734809,2.581933549,1.464356236,31.58511734,6,1.420000017,1,2.840000033,30.22762108,31.58511734,30.13355446,399.688324,379.611908,30.1737957,33.19532394,67.38380432,74.13705444,495.6879883,1199.635742,0.464198053,96.3911438,1.696815491,1.600173354,0.043925602,0.001125502,0.060817059,0.003314774,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.826146647,0.002581934,304.7351173,303.3776211,191.9417145,0.694479458,4.66409148,48.38713699,15.19181305,30.90636921,4.487349792,0.163022892,3.199735244,1.287614548,0.102737053,21.22277366,0.579996244,69.14732261,372.1935957,0.0289932
25,15:29:12,65.49999889,0,15.64128232,0.172781055,219.7304305,2.580346028,1.464808587,31.5857048,6,1.420000017,1,2.840000033,30.22784424,31.5857048,30.13370895,399.7715454,379.6523438,30.17253304,33.1923027,67.38053131,74.12942505,495.6732483,1199.59668,0.44244498,96.39097595,1.696815491,1.600173354,0.043925602,0.001125502,0.060817059,0.003314774,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.82612208,0.002580346,304.7357048,303.3778442,191.9354645,0.695146863,4.664247039,48.38883509,15.19653238,30.90677452,4.487453566,0.162872173,3.199438452,1.288015115,0.10264128,21.18003064,0.578767481,69.137105,372.2172272,0.029052739
