OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Jun 10 2016 14:30:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:30:44 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:30:49 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:30:49 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:30:49 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:30:49 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:30:51,54.50000079,0,-0.482557437,0.008172775,485.2486993,0.1180811,1.342409817,30.46154594,6,1.420000017,1,2.840000033,30.20566559,30.46154594,29.99119377,399.9416809,400.8114624,31.24336624,31.47191811,69.84861755,70.35934448,300.2334595,-0.084478162,0.055652641,96.34942627,0.407981217,1.731883526,0.099845417,0.001154321,0.100200176,0.002211206,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500389099,0.000118081,303.6115459,303.3556656,-0.013516506,-0.093696622,4.37471107,45.40464058,13.93272248,30.33360577,4.342773566,0.008149324,3.032301253,1.310472313,0.005095429,46.75343377,1.210665724,68.1792371,401.0408471,-0.000820375
2,14:30:53,56.50000075,0,-0.468329421,0.008122815,483.0397392,0.117350495,1.342292718,30.46019745,6,1.420000017,1,2.840000033,30.20526123,30.46019745,29.99051857,399.9623413,400.8042908,31.24242401,31.46956635,69.84039307,70.34867859,300.2281189,-0.06994386,0.064874254,96.349617,0.407981217,1.731883526,0.099845417,0.001154321,0.100200176,0.002211206,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500380198,0.00011735,303.6101974,303.3552612,-0.011191017,-0.093178327,4.374373383,45.40104589,13.93147954,30.33272934,4.342555487,0.008099649,3.032080665,1.310474823,0.005064357,46.54069387,1.205176068,68.1790968,401.0269121,-0.000796213
3,14:30:55,58.5000007,0,-0.469786821,0.008118033,483.3759459,0.117282101,1.342302546,30.45966339,6,1.420000017,1,2.840000033,30.20476151,30.45966339,29.99044991,399.9571838,400.802124,31.24101257,31.46802902,69.83627319,70.34418488,300.2200012,-0.05581614,0.092054166,96.34976196,0.407981217,1.731883526,0.099845417,0.001154321,0.100200176,0.002211206,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500366669,0.000117282,303.6096634,303.3547615,-0.008930582,-0.093114004,4.374239652,45.39958961,13.93156059,30.33221245,4.342426875,0.008094894,3.031937106,1.31048977,0.005061382,46.57315732,1.206021418,68.17788707,401.0254382,-0.000798679
4,14:30:57,61.00000065,0,-0.478579718,0.008135973,484.9135173,0.117546859,1.34237914,30.45952415,6,1.420000017,1,2.840000033,30.2045536,30.45952415,29.99075127,399.9668274,400.8291016,31.23927116,31.46679497,69.83149719,70.3404541,300.2271423,-0.068170957,0.114913255,96.34999847,0.407981217,1.731883526,0.099845417,0.001154321,0.100200176,0.002211206,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500378571,0.000117547,303.6095242,303.3545536,-0.010907353,-0.093277362,4.374204787,45.39911631,13.93232134,30.33203888,4.342383689,0.008112732,3.031825647,1.310558042,0.00507254,46.72141665,1.209776225,68.17604632,401.0565954,-0.000813543
