OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Jun 10 2016 16:01:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""16:01:18 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:01:19 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:01:19 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:01:19 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:01:19 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16:01:22,12.50000003,0,2.196084452,0.032835599,281.6632237,0.479326653,1.36941389,30.23927116,6,1.420000017,1,2.840000033,29.98116493,30.23927116,30.01160812,400.6084595,397.7453613,30.0524826,30.60987663,68.06699371,69.31768799,500.1716919,1198.994263,0.116677865,96.37220764,1.136957526,1.764118314,0.01963572,0.002396181,0.042919621,0.002216859,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833619486,0.000479327,303.3892712,303.1311649,191.8390777,1.891875543,4.319355277,44.81951158,14.20963495,30.11021805,4.287496497,0.032460299,2.949941387,1.33755511,0.020321075,27.14450668,0.708149613,67.42986839,396.701448,0.003732824
2,16:01:24,14.49999999,0,2.204643629,0.032969521,281.6752124,0.481178704,1.369180594,30.23880768,6,1.420000017,1,2.840000033,29.9815464,30.23880768,30.01222801,400.6151733,397.7408752,30.05164146,30.61119843,68.05954742,69.31781006,500.1627502,1199.031128,0.12750636,96.37191772,1.136957526,1.764118314,0.01963572,0.002396181,0.042919621,0.002216859,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833604584,0.000481179,303.3888077,303.1315464,191.8449762,1.891135984,4.31924049,44.81845533,14.20725691,30.11017704,4.287486406,0.032591171,2.950059896,1.33742651,0.020403139,27.14558039,0.708187742,67.4360652,396.6928932,0.003747798
3,16:01:26,16.49999994,0,2.14772651,0.033009681,284.5381791,0.48175254,1.369161326,30.2390461,6,1.420000017,1,2.840000033,29.98268127,30.2390461,30.01254272,400.5271301,397.7208252,30.05183601,30.61206436,68.05410004,69.31612396,500.1586609,1199.031128,0.150362819,96.37174988,1.136957526,1.764118314,0.01963572,0.002396181,0.042919621,0.002216859,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833597768,0.000481753,303.3890461,303.1326813,191.8449762,1.8909711,4.319299536,44.81914608,14.20708172,30.11086369,4.287655371,0.032630414,2.95013821,1.337517161,0.020427747,27.42144222,0.715421876,67.43739744,396.6998989,0.003651049
4,16:01:28,18.4999999,0,2.054365326,0.032951255,288.8251922,0.481014276,1.369455642,30.24022293,6,1.420000017,1,2.840000033,29.98394394,30.24022293,30.01176262,400.3596497,397.6657715,30.05270576,30.61206627,68.05023193,69.31215668,500.1669922,1199.022705,0.189615384,96.3716507,1.136957526,1.764118314,0.01963572,0.002396181,0.042919621,0.002216859,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833611654,0.000481014,303.3902229,303.1339439,191.8436285,1.891331635,4.319590999,44.82221658,14.21015031,30.11208344,4.287955534,0.032573321,2.950135358,1.337820176,0.020391947,27.83456054,0.726301364,67.4318811,396.6892246,0.003492147
5,16:01:30,20.49999985,0,1.980029652,0.032923195,292.264819,0.480664124,1.369610545,30.24069595,6,1.420000017,1,2.840000033,29.98480415,30.24069595,30.01015854,400.1869507,397.5825195,30.05274582,30.61168671,68.04665375,69.30821991,500.1783142,1199.02417,0.207238436,96.37161255,1.136957526,1.764118314,0.01963572,0.002396181,0.042919621,0.002216859,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833630524,0.000480664,303.390696,303.1348042,191.8438629,1.891559686,4.319708156,44.82345,14.21176329,30.11275005,4.288119587,0.032545901,2.950097611,1.338021976,0.020374753,28.1660319,0.735104801,67.42874803,396.6413083,0.003366037
6,16:01:32,22.49999981,0,1.939588931,0.032927569,294.1539934,0.480788797,1.369785518,30.24149513,6,1.420000017,1,2.840000033,29.9856472,30.24149513,30.00848007,400.0525818,397.4966431,30.05281067,30.61189842,68.04325867,69.30548096,500.1765137,1199.027954,0.193155989,96.37169647,1.136957526,1.764118314,0.01963572,0.002396181,0.042919621,0.002216859,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833627523,0.000480789,303.3914951,303.1356472,191.8444684,1.891508097,4.319906101,44.82546494,14.21356651,30.11357117,4.288321668,0.032550175,2.950120583,1.338201085,0.020377433,28.34811937,0.740016296,67.4260915,396.5746554,0.003297712
