OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Jun 10 2016 15:52:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:52:51 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:52:52 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:52:52 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:52:52 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:52:52 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:52:55,30.00000049,0,-0.344344793,0.00896499,452.4468419,0.125979317,1.307641238,29.96909714,6,1.420000017,1,2.840000033,29.93720055,29.96909714,29.9993,399.8514099,400.4387817,30.32064629,30.56472778,68.83371735,69.39151001,300.2164307,-0.022692025,0.25692755,96.36113739,0.824416399,1.765357256,0.055610951,0.003303116,0.05469159,0.002988408,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500360718,0.000125979,303.1190971,303.0872005,-0.003630724,-0.067099099,4.252893171,44.1349416,13.57021382,29.95314884,4.248997945,0.00893678,2.945251933,1.303746012,0.005588015,43.5982923,1.129877681,68.16045358,400.6024668,-0.000585885
2,15:52:57,32.00000045,0,-0.366869648,0.008982005,456.3515225,0.126243233,1.30789901,29.97037506,6,1.420000017,1,2.840000033,29.93742371,29.97037506,29.99784088,399.8508606,400.4830322,30.32080269,30.56539726,68.82983398,69.38751984,300.2140808,-0.003758168,0.230746627,96.36080933,0.824416399,1.765357256,0.055610951,0.003303116,0.05469159,0.002988408,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500356801,0.000126243,303.1203751,303.0874237,-0.000601307,-0.067339158,4.253205427,44.13833235,13.57293508,29.95389938,4.249181189,0.008953687,2.945306418,1.303874771,0.005598592,43.97440205,1.139502765,68.15663817,400.6574245,-0.000624089
3,15:52:59,34.0000004,0,-0.371610094,0.008947672,457.464537,0.125761864,1.307896221,29.97008324,6,1.420000017,1,2.840000033,29.93750572,29.97008324,29.99667358,399.8660889,400.5081482,30.32101822,30.56469345,68.82879639,69.38445282,300.1979065,-0.008857013,0.240252763,96.36078644,0.824416399,1.765357256,0.055610951,0.003303116,0.05469159,0.002988408,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500329844,0.000125762,303.1200832,303.0875057,-0.001417122,-0.06705802,4.253134119,44.13760282,13.57290937,29.95379448,4.249155576,0.00891957,2.945237898,1.303917678,0.005577249,44.08164255,1.142210312,68.15581213,400.6847938,-0.000632103
4,15:53:01,36.00000036,0,-0.366889512,0.008917735,456.8663166,0.125319385,1.307659546,29.9688797,6,1.420000017,1,2.840000033,29.9377861,29.9688797,29.99622726,399.8948059,400.5278015,30.3212471,30.56407356,68.82794189,69.38146973,300.1875,-0.019221788,0.261065692,96.36086273,0.824416399,1.765357256,0.055610951,0.003303116,0.05469159,0.002988408,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.5003125,0.000125319,303.1188797,303.0877861,-0.003075486,-0.066655412,4.252840043,44.13451605,13.57044249,29.9533329,4.249042882,0.00888982,2.945180497,1.303862385,0.005558639,44.02403242,1.140660685,68.15909975,400.7022032,-0.000624076
