OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Jun  8 2016 11:48:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""11:48:08 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:48:09 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:48:09 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:48:09 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:48:09 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11:48:11,19.5000001,0,16.67217628,0.222892754,243.5763655,2.831744252,1.266627468,31.51511765,6,1.420000017,1,2.840000033,30.50793648,31.51511765,29.99378014,399.3217468,378.039917,31.75350571,35.03111267,69.81446075,77.01416016,500.2207642,1107.37085,1.644655108,96.45598602,-1.199070454,0.652827084,0.01964627,0.004655371,0.046008151,0.005313612,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833701274,0.002831744,304.6651176,303.6579365,177.179332,0.451724232,4.645587982,48.16277531,13.13166263,31.01152706,4.514344239,0.206672409,3.378960514,1.135383725,0.130535786,23.49439851,0.644313879,73.62171402,370.1147629,0.033163611
2,11:48:13,21.50000006,0,16.71604777,0.222964289,243.2664184,2.827884886,1.264539852,31.50730705,6,1.420000017,1,2.840000033,30.50854301,31.50730705,29.99382401,399.3460693,378.0126953,31.75810814,35.03136444,69.82415771,77.02062988,500.2028503,1107.223633,1.620701551,96.45606232,-1.199070454,0.652827084,0.01964627,0.004655371,0.046008151,0.005313612,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833671417,0.002827885,304.6573071,303.658543,177.1557773,0.454536509,4.643527324,48.14137352,13.11000908,31.00792503,4.51341725,0.206733909,3.378987472,1.134429778,0.130575041,23.46452081,0.64354034,73.65440929,370.0666868,0.033269966
3,11:48:15,23.50000001,0,16.74851872,0.222986482,243.0312651,2.82234217,1.261964978,31.49672127,6,1.420000017,1,2.840000033,30.50885773,31.49672127,29.99367905,399.3681335,377.9977417,31.76218414,35.02912903,69.83226776,77.0189209,500.1880493,1107.127441,1.570092201,96.4560318,-1.199070454,0.652827084,0.01964627,0.004655371,0.046008151,0.005313612,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833646749,0.002822342,304.6467213,303.6588577,177.1403867,0.458620404,4.640735762,48.11244745,13.08331843,31.0027895,4.512095896,0.206752988,3.378770783,1.133325112,0.130587219,23.44183144,0.642943696,73.69285733,370.036298,0.033354733
4,11:48:17,25.49999997,0,16.78052388,0.223117117,242.8725934,2.817761371,1.259251556,31.48564529,6,1.420000017,1,2.840000033,30.50880241,31.48564529,29.99358177,399.4045105,377.9973755,31.76534653,35.02706146,69.83898163,77.01673126,500.178009,1111.126099,1.522167683,96.45584869,-1.199070454,0.652827084,0.01964627,0.004655371,0.046008151,0.005313612,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833630015,0.002817761,304.6356453,303.6588024,177.7801718,0.469626804,4.637816497,48.08227349,13.05521203,30.99722385,4.510664257,0.206865291,3.378564941,1.132099317,0.130658901,23.42648212,0.64252455,73.73446045,370.0207181,0.033438746
5,11:48:19,27.49999992,0,16.79769289,0.223354409,242.8918922,2.81509087,1.256835359,31.47620583,6,1.420000017,1,2.840000033,30.50878525,31.47620583,29.99339867,399.4343262,378.0074158,31.7676754,35.02635574,69.8444519,77.01654816,500.1696777,1122.378906,1.517703533,96.45578003,-1.199070454,0.652827084,0.01964627,0.004655371,0.046008151,0.005313612,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83361613,0.002815091,304.6262058,303.6587852,179.580621,0.492543362,4.635329823,48.05652727,13.03017153,30.99249554,4.509448313,0.207069257,3.378494465,1.130953848,0.130789094,23.42832693,0.642558537,73.7731879,370.0225971,0.03349037
6,11:48:21,29.49999988,0,16.80018879,0.223414343,242.9286172,2.813047237,1.255620364,31.47131348,6,1.420000017,1,2.840000033,30.5089817,31.47131348,29.99307823,399.4541931,378.0249939,31.76923943,35.02558136,69.84767151,77.01503754,500.1658936,1134.601196,1.531067014,96.45581818,-1.199070454,0.652827084,0.01964627,0.004655371,0.046008151,0.005313612,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833609823,0.002813047,304.6213135,303.6589817,181.5361873,0.516298626,4.634041471,48.04315135,13.01756999,30.99014759,4.508844616,0.207120769,3.378421107,1.130423509,0.130821974,23.43187853,0.642625808,73.79196332,370.0389888,0.033502386
7,11:48:24,31.99999982,0,16.81108965,0.223287214,242.7959759,2.811410574,1.255551234,31.47084236,6,1.420000017,1,2.840000033,30.50909805,31.47084236,29.9928093,399.4841614,378.0426636,31.7706356,35.02507019,69.85070038,77.01356506,500.1681213,1145.168213,1.546354771,96.45565796,-1.199070454,0.652827084,0.01964627,0.004655371,0.046008151,0.005313612,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833613536,0.002811411,304.6208424,303.6590981,183.22691,0.536246273,4.633917424,48.0419451,13.01687491,30.98997021,4.508799011,0.207011502,3.37836619,1.13043282,0.130752229,23.41904561,0.642244909,73.79164057,370.0514767,0.033522846
8,11:48:26,33.99999978,0,16.82798387,0.223264119,242.6738554,2.808792445,1.254507473,31.46689034,6,1.420000017,1,2.840000033,30.50917625,31.46689034,29.9926033,399.5162659,378.055481,31.77372551,35.02515411,69.85756683,77.01493835,500.1642761,1155.692383,1.548664451,96.45552063,-1.199070454,0.652827084,0.01964627,0.004655371,0.046008151,0.005313612,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833607127,0.002808792,304.6168903,303.6591763,184.9107771,0.557079707,4.632876948,48.03122639,13.00607228,30.98803329,4.508301055,0.206991651,3.378369475,1.12993158,0.130739557,23.40723307,0.641900112,73.80749473,370.0562634,0.033563311
9,11:48:28,35.99999973,0,16.84045281,0.223286273,242.6161536,2.806959513,1.253577622,31.46347618,6,1.420000017,1,2.840000033,30.5092144,31.46347618,29.99233818,399.5508118,378.0758057,31.7762146,35.02552414,69.86329651,77.01544189,500.1636658,1167.531616,1.555783868,96.45539093,-1.199070454,0.652827084,0.01964627,0.004655371,0.046008151,0.005313612,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83360611,0.00280696,304.6134762,303.6592144,186.8050544,0.579814637,4.631978246,48.02197369,12.99644955,30.98634529,4.50786713,0.207010693,3.378400623,1.129466506,0.130751712,23.40163594,0.641712984,73.82214131,370.0706609,0.033593538
10,11:48:30,37.99999969,0,16.85123794,0.223299544,242.5635418,2.8069873,1.253517017,31.46379852,6,1.420000017,1,2.840000033,30.50905228,31.46379852,29.99198532,399.5859375,378.0978699,31.77775383,35.02709579,69.86785889,77.01799774,500.1628113,1179.563354,1.570620418,96.45521545,-1.199070454,0.652827084,0.01964627,0.004655371,0.046008151,0.005313612,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833604685,0.002806987,304.6137985,303.6590523,188.7301325,0.601428975,4.632063089,48.02294067,12.99584487,30.9864254,4.507887722,0.2070221,3.378546072,1.12934165,0.130758993,23.39651868,0.641536388,73.8239651,370.0875984,0.033614344
11,11:48:32,39.99999964,0,16.85318802,0.223301141,242.5668678,2.808675831,1.254252314,31.46765327,6,1.420000017,1,2.840000033,30.50901985,31.46765327,29.99155807,399.6106262,378.1194763,31.77876472,35.03003693,69.87086487,77.02259827,500.1650391,1190.781006,1.600983858,96.45509338,-1.199070454,0.652827084,0.01964627,0.004655371,0.046008151,0.005313612,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833608398,0.002808676,304.6176533,303.6590199,190.5249567,0.62027983,4.633077797,48.03352144,13.00348452,30.98833656,4.508379018,0.207023473,3.378825483,1.129553535,0.130759869,23.39680989,0.641508526,73.8141758,370.1082779,0.033611898
12,11:48:34,41.9999996,0,16.85379567,0.223285527,242.5678697,2.811363846,1.255519495,31.47390556,6,1.420000017,1,2.840000033,30.50919342,31.47390556,29.99146652,399.6335754,378.140625,31.77965164,35.03398895,69.87265015,77.02854919,500.1701355,1196.641479,1.620188832,96.45503235,-1.199070454,0.652827084,0.01964627,0.004655371,0.046008151,0.005313612,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833616892,0.002811364,304.6239056,303.6591934,191.4626324,0.628671056,4.634724033,48.05061924,13.01663028,30.99154949,4.50920506,0.207010052,3.379204538,1.130000523,0.130751303,23.39689171,0.641475297,73.79660924,370.1291377,0.033603217
