OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Jun  8 2016 15:37:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:37:28 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:37:37 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:37:37 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:37:37 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:37:37 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:37:39,50.00000235,0,-0.510901554,0.006312419,519.3139231,0.098678819,1.454761945,29.71813202,6,1.420000017,1,2.840000033,29.85364914,29.71813202,29.99714661,400.1605835,401.1026001,28.22658157,28.41820335,64.34476471,64.78108215,300.1993103,-0.044396859,0.179956868,96.31835938,1.037475824,0.836190701,0.015075436,0.001469209,0.017724533,0.004071729,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500332184,9.86788E-05,302.868132,303.0036491,-0.007103497,-0.03089883,4.191956669,43.52188613,15.10368277,29.78589058,4.208333559,0.00629842,2.737194723,1.471138836,0.003937768,50.01946508,1.294715923,64.08131815,401.3454582,-0.000815737
2,15:37:41,52.0000023,0,-0.508074652,0.006241431,520.0377723,0.097582078,1.454924687,29.71781921,6,1.420000017,1,2.840000033,29.85310555,29.71781921,29.99729729,400.1526184,401.0898132,28.22619438,28.41567612,64.34849548,64.78133392,300.2164307,-0.050846487,0.149907604,96.31854248,1.037475824,0.836190701,0.015075436,0.001469209,0.017724533,0.004071729,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500360718,9.75821E-05,302.8678192,303.0031055,-0.008135438,-0.030395462,4.191881194,43.5210198,15.10534368,29.78546238,4.208229891,0.006227744,2.736956507,1.471273384,0.003893567,50.08928026,1.296561905,64.07582045,401.3313276,-0.000811183
3,15:37:43,54.00000226,0,-0.507100339,0.006239322,519.8256188,0.097549195,1.454929867,29.71755981,6,1.420000017,1,2.840000033,29.85269165,29.71755981,29.99715042,400.1459656,401.0812073,28.22548485,28.41489601,64.34991455,64.78227234,300.2273254,-0.075766951,0.139900267,96.31880188,1.037475824,0.836190701,0.015075436,0.001469209,0.017724533,0.004071729,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500378876,9.75492E-05,302.8675598,303.0026917,-0.012122712,-0.0304451,4.191818607,43.5202528,15.10535678,29.78512573,4.208148389,0.006225645,2.736888739,1.47125965,0.003892255,50.06898079,1.296060771,64.07515838,401.3222585,-0.000809637
4,15:37:45,56.00000221,0,-0.512742714,0.006263911,520.744937,0.097925277,1.454822311,29.71713829,6,1.420000017,1,2.840000033,29.85258293,29.71713829,29.99689484,400.1313782,401.0776062,28.22475243,28.41489601,64.349823,64.7832489,300.223877,-0.099881805,0.126834944,96.31900787,1.037475824,0.836190701,0.015075436,0.001469209,0.017724533,0.004071729,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500373128,9.79253E-05,302.8671383,303.0025829,-0.015981089,-0.030633767,4.191716904,43.51910382,15.10420781,29.78486061,4.208084204,0.006250126,2.736894593,1.471189612,0.003907565,50.15763569,1.298364528,64.07727431,401.3213395,-0.000818675
