OPEN 6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Jun 10 2016 10:05:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#3.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""10:05:53 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:05:55 Log Option: Logged values are 15 s averages""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:05:55 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:05:55 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:05:55 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:05:55 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10:05:57,55.0000004,0,-0.766837934,0.007991832,544.6475391,0.108687413,1.271837196,29.60936165,6,1.420000017,1,2.840000033,29.95811462,29.60936165,30.21620178,399.6199951,401.0673218,29.68941307,29.9004097,67.63445282,68.11338043,299.8273926,0.025976837,0.07813634,96.78617859,0.157393262,1.241016865,0.03380708,0.003043353,0.068769515,0.002742167,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499712321,0.000108687,302.7593616,303.1081146,0.004156294,-0.006903576,4.165783589,43.04109997,13.14069027,29.78373814,4.207812469,0.007969406,2.893946393,1.313866076,0.004982889,52.71435399,1.357995303,68.40273322,401.4318398,-0.001306668
2,10:05:59,57.00000036,0,-0.767606633,0.00790405,546.5069564,0.107607001,1.273132744,29.614851,6,1.420000017,1,2.840000033,29.95948219,29.614851,30.21409988,399.6473389,401.0969543,29.6917057,29.90058899,67.62436676,68.1003418,299.8501892,0.010704034,0.08628498,96.78633118,0.157393262,1.241016865,0.03380708,0.003043353,0.068769515,0.002742167,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499750315,0.000107607,302.764851,303.1094822,0.001712645,-0.006949103,4.167101053,43.0546442,13.15405521,29.7871666,4.2086425,0.007882113,2.893968308,1.314674192,0.004928287,52.89440328,1.362530806,68.37934698,401.4618378,-0.001307433
3,10:06:02,59.00000031,0,-0.765776818,0.007877038,546.6963033,0.107342373,1.274338114,29.62053108,6,1.420000017,1,2.840000033,29.95978355,29.62053108,30.20610619,399.6923523,401.1383972,29.69378853,29.90214157,67.62316895,68.09820557,299.8735352,0.001979903,0.096770823,96.78659821,0.157393262,1.241016865,0.03380708,0.003043353,0.068769515,0.002742167,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499789225,0.000107342,302.7705311,303.1097836,0.000316784,-0.007559592,4.168464676,43.06861439,13.16647282,29.79015732,4.209366671,0.007855251,2.894126562,1.31524011,0.004911485,52.91287545,1.362862062,68.35920818,401.5024108,-0.0013038
4,10:06:04,61.50000026,0,-0.759372095,0.00787617,545.4602214,0.107410001,1.275278466,29.62524223,6,1.420000017,1,2.840000033,29.95915031,29.62524223,30.19044685,399.750885,401.1839905,29.69549561,29.90397072,67.62583923,68.10101318,299.8862,-0.007355738,0.083259709,96.7870636,0.157393262,1.241016865,0.03380708,0.003043353,0.068769515,0.002742167,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499810333,0.00010741,302.7752422,303.1091503,-0.001176918,-0.008332545,4.169595982,43.0800959,13.17612518,29.79219627,4.209860445,0.007854387,2.894317516,1.315542929,0.004910945,52.79349314,1.359626093,68.34422289,401.5449596,-0.001292475
5,10:06:06,63.50000021,0,-0.766393362,0.007874608,546.931804,0.107406008,1.275484964,29.62658119,6,1.420000017,1,2.840000033,29.95788574,29.62658119,30.17821693,399.7659302,401.2130432,29.69659424,29.905056,67.63008118,68.10519409,299.8939209,-0.010206336,0.081741668,96.78739929,0.157393262,1.241016865,0.03380708,0.003043353,0.068769515,0.002742167,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499823201,0.000107406,302.7765812,303.1078857,-0.001633014,-0.008688061,4.16991756,43.083269,13.178213,29.79223347,4.209869453,0.007852834,2.894432596,1.315436857,0.004909973,52.93610689,1.363195472,68.34145139,401.5773499,-0.001304268
6,10:06:08,65.50000017,0,-0.773228644,0.007876814,548.2841624,0.107422148,1.275322011,29.62639999,6,1.420000017,1,2.840000033,29.95583344,29.62639999,30.16822624,399.7701721,401.2309265,29.69775009,29.90624046,67.63717651,68.11235809,299.8974609,-0.004813773,0.074985407,96.78755951,0.157393262,1.241016865,0.03380708,0.003043353,0.068769515,0.002742167,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499829102,0.000107422,302.7764,303.1058334,-0.000770204,-0.008940103,4.16987404,43.08274804,13.17650758,29.79111671,4.209599002,0.007855028,2.894552029,1.315046974,0.004911345,53.06708599,1.366505237,68.34517924,401.5984824,-0.001315903
7,10:06:10,67.50000012,0,-0.774916034,0.007869136,548.7867579,0.107286625,1.274954803,29.62514305,6,1.420000017,1,2.840000033,29.95322418,29.62514305,30.16091156,399.7746887,401.2389526,29.69866562,29.90689659,67.64603424,68.12091827,299.8920288,0.003979786,0.078968532,96.78762054,0.157393262,1.241016865,0.03380708,0.003043353,0.068769515,0.002742167,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499820048,0.000107287,302.7751431,303.1032242,0.000636766,-0.009040585,4.169572162,43.0796019,13.17270531,29.78918362,4.209130888,0.007847392,2.894617359,1.314513529,0.004906569,53.11576448,1.367730511,68.35195815,401.6073106,-0.001318876
8,10:06:12,69.50000008,0,-0.780241826,0.00783703,550.5319693,0.106848522,1.274936403,29.62551689,6,1.420000017,1,2.840000033,29.94979477,29.62551689,30.15016747,399.7928162,401.2680664,29.70059586,29.90797424,67.65660095,68.12995148,299.894989,0.01544783,0.080051027,96.78775024,0.157393262,1.241016865,0.03380708,0.003043353,0.068769515,0.002742167,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499824982,0.000106849,302.7755169,303.0997948,0.002471653,-0.009316997,4.169661945,43.0804718,13.17249755,29.78765583,4.208760955,0.007815463,2.894725541,1.314035414,0.004886597,53.28475075,1.371980517,68.35270757,401.638956,-0.00132785
