OPEN 6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Jun 11 2016 12:06:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#3.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""12:06:54 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:06:56 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:06:56 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:06:56 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:06:56 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12:06:58,39.00000384,0,-0.95712783,0.007287704,601.1478612,0.100327652,1.283310043,30.25784111,6,1.420000017,1,2.840000033,30.20771217,30.25784111,30.21489906,399.7895508,401.618866,31.2625618,31.45644379,70.13777161,70.57188416,300.7139587,0.128052741,0.037199508,96.662117,0.891546428,1.588196158,0.316750705,0.00108908,0.310849488,0.000630977,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501189931,0.000100328,303.4078411,303.3577122,0.020488438,-0.056519985,4.323956493,44.73268977,13.27624599,30.23277664,4.317747087,0.007269051,3.04064645,1.277100637,0.004544829,58.1082249,1.496811809,69.22451633,402.0738387,-0.001647874
2,12:07:00,41.0000038,0,-0.958069448,0.00726515,601.9902459,0.100084945,1.284163598,30.26148224,6,1.420000017,1,2.840000033,30.20724678,30.26148224,30.21130753,399.7865906,401.6177979,31.26354599,31.4569397,70.12228394,70.55617523,300.7437439,0.087960273,0.059402078,96.66215515,0.891546428,1.588196158,0.316750705,0.00108908,0.310849488,0.000630977,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501239573,0.000100085,303.4114822,303.3572468,0.014073643,-0.057029182,4.324859183,44.74201073,13.28507104,30.23436451,4.31814023,0.007246612,3.040695586,1.277444645,0.004530795,58.18967455,1.498913268,69.21007371,402.0732182,-0.001649154
3,12:07:02,43.00000376,0,-0.963314995,0.00725824,603.340102,0.100064684,1.28511705,30.26587105,6,1.420000017,1,2.840000033,30.20728874,30.26587105,30.20319366,399.7897034,401.6312561,31.26493454,31.45827484,70.1171875,70.55073547,300.7655029,0.07110633,0.067279182,96.66233826,0.891546428,1.588196158,0.316750705,0.00108908,0.310849488,0.000630977,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501275838,0.000100065,303.415871,303.3572887,0.011377012,-0.057639787,4.325947454,44.75318445,13.29490961,30.2365799,4.318688795,0.007239737,3.040830404,1.277858391,0.004526494,58.32026502,1.502223975,69.19468958,402.0891699,-0.001657749
4,12:07:04,45.00000371,0,-0.965759284,0.007275723,603.3760818,0.100348239,1.285668776,30.26865387,6,1.420000017,1,2.840000033,30.2069416,30.26865387,30.19121361,399.7979736,401.6441345,31.26570892,31.45959282,70.11528778,70.54959106,300.7717285,0.075749621,0.064209431,96.66268921,0.891546428,1.588196158,0.316750705,0.00108908,0.310849488,0.000630977,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501286214,0.000100348,303.4186539,303.3569416,0.012119939,-0.058197574,4.326637619,44.7601619,13.30056909,30.23779774,4.318990377,0.007257132,3.040968843,1.278021534,0.004537374,58.32395467,1.502265388,69.18643663,402.1032102,-0.001661699
