OPEN 6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Jun  9 2016 14:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#3.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:45:33 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:45:35 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:45:35 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:45:35 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:45:35 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:45:37,23.00000118,0,-0.186950635,0.009025627,424.3609537,0.128945941,1.332338931,29.78932381,6,1.420000017,1,2.840000033,29.90960312,29.78932381,30.02768517,400.3129883,400.5836792,29.55976868,29.81006241,67.23812103,67.81122589,299.8925781,0.03211036,0.097890288,96.50519562,0.30053106,0.833438098,0.009726642,0.001007757,0.017437961,0.001608863,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499820964,0.000128946,302.9393238,303.0596031,0.005137657,-0.047885472,4.209164835,43.61594013,13.80587773,29.84946346,4.22374947,0.008997034,2.876825904,1.346923565,0.005625708,40.95303685,1.059356573,67.24443687,400.6725466,-0.000313757
2,14:45:39,25.00000114,0,-0.180151125,0.009033196,423.1423215,0.128932449,1.33109583,29.78410339,6,1.420000017,1,2.840000033,29.91079903,29.78410339,30.03647995,400.3204346,400.5775452,29.55957031,29.80984879,67.25978088,67.83170319,299.8795471,0.042443059,0.156919062,96.50518799,0.30053106,0.833438098,0.009726642,0.001007757,0.017437961,0.001608863,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499799245,0.000128932,302.9341034,303.060799,0.006790889,-0.046992005,4.207900891,43.60284642,13.79299764,29.84745121,4.223260761,0.009004555,2.876805061,1.3464557,0.005630413,40.83542929,1.056330607,67.26548185,400.6631804,-0.000302447
3,14:45:41,27.0000011,0,-0.180461071,0.009019409,423.2406394,0.128618858,1.329890698,29.77910614,6,1.420000017,1,2.840000033,29.91223717,29.77910614,30.05184364,400.3063354,400.5643311,29.56011581,29.80979538,67.26665497,67.83721924,299.8677673,0.033777881,0.138786674,96.50521088,0.30053106,0.833438098,0.009726642,0.001007757,0.017437961,0.001608863,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499779612,0.000128619,302.9291061,303.0622372,0.005404461,-0.045980771,4.206691287,43.59030201,13.78050663,29.84567165,4.222828608,0.008990855,2.876800589,1.346028019,0.005621843,40.84492715,1.056610903,67.28577019,400.6501136,-0.000303069
4,14:45:43,29.00000105,0,-0.193995702,0.008982478,425.7369525,0.128039173,1.329327298,29.77667809,6,1.420000017,1,2.840000033,29.91427422,29.77667809,30.07140923,400.2503052,400.5358582,29.56098175,29.80953979,67.26833344,67.83670044,299.8632813,-0.004623207,0.121443443,96.50522614,0.30053106,0.833438098,0.009726642,0.001007757,0.017437961,0.001608863,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499772135,0.000128039,302.9266781,303.0642742,-0.000739713,-0.045157061,4.206103677,43.58420622,13.77466642,29.84547615,4.222781134,0.008954158,2.876776379,1.346004755,0.005598886,41.08584088,1.062918447,67.29474486,400.6280744,-0.000325861
5,14:45:45,31.00000101,0,-0.21174087,0.008973226,428.8773886,0.127914628,1.329400562,29.77716446,6,1.420000017,1,2.840000033,29.91727448,29.77716446,30.08997917,400.1828918,400.5040588,29.56163025,29.80994606,67.26509857,67.83242798,299.8637085,-0.022455798,0.101479828,96.50540161,0.30053106,0.833438098,0.009726642,0.001007757,0.017437961,0.001608863,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499772847,0.000127915,302.9271645,303.0672745,-0.003592928,-0.044786531,4.206221378,43.5853466,13.77540054,29.84721947,4.223204482,0.008944964,2.876820817,1.346383665,0.005593135,41.38898463,1.070844051,67.29372513,400.6047103,-0.000355683
6,14:45:48,33.50000095,0,-0.21971641,0.008982225,430.2160384,0.128099253,1.329986431,29.78009987,6,1.420000017,1,2.840000033,29.92188263,29.78009987,30.10776901,400.1382141,400.4751892,29.56251335,29.81118011,67.25567627,67.82322693,299.8723145,-0.013923387,0.089086607,96.50558472,0.30053106,0.833438098,0.009726642,0.001007757,0.017437961,0.001608863,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499787191,0.000128099,302.9300999,303.0718826,-0.002227742,-0.044635701,4.206931799,43.59262535,13.78144524,29.85099125,4.22412055,0.008953906,2.876945368,1.347175182,0.005598729,41.51825035,1.0742639,67.28479571,400.5796319,-0.000369055
7,14:45:50,35.50000091,0,-0.215106365,0.008976975,429.4044118,0.128088467,1.330644825,29.78308105,6,1.420000017,1,2.840000033,29.9255085,29.78308105,30.1170063,400.1320801,400.4598389,29.56317902,29.81182098,67.24758911,67.81481171,299.87677,-0.004981448,0.089760676,96.50563049,0.30053106,0.833438098,0.009726642,0.001007757,0.017437961,0.001608863,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499794617,0.000128088,302.9330811,303.0755085,-0.000797032,-0.04452607,4.207653405,43.60008202,13.78826104,29.85429478,4.224923034,0.008948689,2.87700858,1.347914454,0.005595465,41.4399435,1.072278341,67.27401596,400.5620901,-0.000361269
8,14:45:52,37.50000086,0,-0.210300209,0.008962674,428.5906703,0.127939052,1.331202684,29.7857151,6,1.420000017,1,2.840000033,29.9311676,29.7857151,30.1324482,400.1214294,400.4396973,29.56427002,29.81262207,67.24125671,67.8070755,299.8763733,-0.009175134,0.088062055,96.50571442,0.30053106,0.833438098,0.009726642,0.001007757,0.017437961,0.001608863,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499793955,0.000127939,302.9357151,303.0811676,-0.001468021,-0.044048656,4.208291076,43.6066517,13.79402963,29.85844135,4.225930497,0.008934478,2.877088392,1.348842105,0.005586575,41.36144883,1.070300156,67.26496733,400.5396639,-0.000353169
9,14:45:54,39.50000082,0,-0.213174042,0.008960904,429.0859772,0.12799293,1.332018141,29.78977013,6,1.420000017,1,2.840000033,29.93800163,29.78977013,30.14774704,400.1004639,400.4244385,29.5658741,29.81432724,67.22419739,67.78978729,299.8800659,-0.022608066,0.067990594,96.50577545,0.30053106,0.833438098,0.009726642,0.001007757,0.017437961,0.001608863,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.49980011,0.000127993,302.9397701,303.0880016,-0.00361729,-0.043722147,4.209272911,43.61679797,13.80247073,29.86388588,4.227253631,0.008932719,2.87725477,1.349998861,0.005585475,41.40927496,1.071577896,67.25233329,400.5257712,-0.000357941
10,14:45:56,41.50000077,0,-0.212082582,0.008967225,428.8418336,0.128191304,1.333135556,29.79507065,6,1.420000017,1,2.840000033,29.94489288,29.79507065,30.15767097,400.0858154,400.4074402,29.56720734,29.81603622,67.20521545,67.77102661,299.8907776,-0.042892691,0.052220743,96.50582123,0.30053106,0.833438098,0.009726642,0.001007757,0.017437961,0.001608863,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499817963,0.000128191,302.9450706,303.0948929,-0.00686283,-0.043640674,4.210556618,43.63007914,13.81404292,29.86998177,4.228735487,0.008939,2.877421062,1.351314426,0.005589404,41.38573333,1.071013649,67.23467181,400.5082541,-0.00035603
