OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Jun  9 2016 11:23:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""11:23:01 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:23:04 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:23:04 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:23:04 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:23:04 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11:23:06,25.0000021,0,3.858517873,0.057567492,278.6422882,0.796882455,1.312877556,30.39953423,6,1.420000017,1,2.840000033,29.99307251,30.39953423,29.99838066,400.3452454,395.3384399,30.58944321,31.51529503,69.42987061,71.52096558,500.1459961,1199.198364,0.06795302,96.66189575,-1.62384665,0.682443738,0.032792345,0.001971674,0.015196105,0.002180198,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83357666,0.000796882,303.5495342,303.1430725,191.871734,1.713620348,4.359205719,45.09745732,13.5821623,30.19630337,4.308725174,0.056423768,3.046328163,1.262397011,0.035365858,26.93409182,0.704819618,69.30519333,393.5042853,0.006795741
2,11:23:08,27.00000206,0,3.86226492,0.057482267,278.3596931,0.795599923,1.312664727,30.39809227,6,1.420000017,1,2.840000033,29.99294853,30.39809227,29.99861908,400.3272705,395.3163452,30.58955193,31.51396179,69.43035126,71.52293396,500.120636,1199.187988,0.070310965,96.66131592,-1.62384665,0.682443738,0.032792345,0.001971674,0.015196105,0.002180198,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833534393,0.0007956,303.5480923,303.1429485,191.8700738,1.714422593,4.358845744,45.09400376,13.58004197,30.1955204,4.308531682,0.056341893,3.046181017,1.262350665,0.035314393,26.90661423,0.704144153,69.30680832,393.4804094,0.006802912
3,11:23:10,29.00000201,0,3.845701383,0.057394124,278.6446634,0.79431368,1.312518251,30.39717102,6,1.420000017,1,2.840000033,29.99331474,30.39717102,29.99869919,400.2892456,395.2988586,30.59017181,31.5130806,69.43014526,71.52173615,500.1246643,1199.214233,0.061176416,96.66136932,-1.62384665,0.682443738,0.032792345,0.001971674,0.015196105,0.002180198,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833541107,0.000794314,303.547171,303.1433147,191.8742731,1.715287194,4.358615773,45.09159971,13.57851912,30.19524288,4.308463101,0.05625721,3.046097522,1.262365579,0.035261164,26.93417472,0.7048962,69.30773276,393.4707964,0.006773993
4,11:23:12,31.00000197,0,3.819042195,0.05735507,279.2945452,0.793670347,1.312337572,30.39642143,6,1.420000017,1,2.840000033,29.99363899,30.39642143,29.99868202,400.2290039,395.2711182,30.59075546,31.51288223,69.43004608,71.52098846,500.1434937,1199.238892,0.06005479,96.66177368,-1.62384665,0.682443738,0.032792345,0.001971674,0.015196105,0.002180198,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833572489,0.00079367,303.5464214,303.143639,191.8782184,1.715799523,4.358428663,45.08947536,13.57659313,30.19503021,4.308410547,0.056219689,3.04609109,1.262319457,0.035237578,26.99710612,0.706589812,69.31026375,393.4557284,0.006727538
