OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Jun  9 2016 12:19:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""12:19:29 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:19:33 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:19:33 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:19:33 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:19:33 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12:19:35,31.50000003,0,-0.275731218,0.006010164,465.6386527,0.07683832,1.191815544,29.55433655,6,1.420000017,1,2.840000033,29.76026535,29.55433655,29.99765205,400.4916382,400.9813232,30.50682831,30.65574646,70.11112976,70.45380402,300.09552,-0.108770117,0.055474974,96.58162689,-1.118416071,0.72701782,0.11513713,0.006091446,0.106220976,0.002175069,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.5001592,7.68383E-05,302.7043365,302.9102654,-0.017403218,-0.010644665,4.15259741,42.99572852,12.33998206,29.65730095,4.177301467,0.005997472,2.960781867,1.2165196,0.003749558,44.97213862,1.161247733,70.26511654,401.1123927,-0.000483014
2,12:19:37,33.49999999,0,-0.293707609,0.005973495,470.8794407,0.076355101,1.191575728,29.55345535,6,1.420000017,1,2.840000033,29.76019096,29.55345535,29.99798965,400.473999,400.9999695,30.50809288,30.65606308,70.115448,70.45661926,300.1186218,-0.088677563,0.110519692,96.58157349,-1.118416071,0.72701782,0.11513713,0.006091446,0.106220976,0.002175069,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500197703,7.63551E-05,302.7034554,302.910191,-0.01418841,-0.010258651,4.152386538,42.99356894,12.33750586,29.65682316,4.177186536,0.005960957,2.960810809,1.216375727,0.003726722,45.4782773,1.174263034,70.26923539,401.139584,-0.000514499
3,12:19:39,35.49999994,0,-0.294583708,0.005956552,471.324817,0.076141287,1.19161082,29.55375862,6,1.420000017,1,2.840000033,29.76028633,29.55375862,29.99827385,400.4627075,400.9905701,30.50890923,30.65645599,70.11765289,70.45760345,300.1369629,-0.05566486,0.14718771,96.58155823,-1.118416071,0.72701782,0.11513713,0.006091446,0.106220976,0.002175069,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500228271,7.61413E-05,302.7037586,302.9102863,-0.008906377,-0.010120481,4.15245911,42.99432713,12.33787114,29.65702248,4.177234481,0.005944085,2.96084829,1.216386191,0.003716171,45.52128526,1.175401249,70.26868468,401.1306011,-0.000516042
4,12:19:41,37.4999999,0,-0.291800459,0.005987465,470.1550741,0.076547155,1.191788135,29.55499649,6,1.420000017,1,2.840000033,29.76055145,29.55499649,29.99844933,400.4415894,400.9635315,30.50935936,30.65768242,70.11852264,70.45923615,300.1572266,-0.039528426,0.153299436,96.58157349,-1.118416071,0.72701782,0.11513713,0.006091446,0.106220976,0.002175069,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500262044,7.65472E-05,302.7049965,302.9105515,-0.006324548,-0.010424813,4.152755343,42.99738752,12.3397051,29.65777397,4.177415253,0.005974868,2.960967207,1.216448046,0.003735422,45.40831683,1.172563181,70.26663854,401.1022395,-0.000511187
5,12:19:43,39.49999985,0,-0.301681572,0.006046781,471.9663409,0.077315265,1.191960166,29.55627632,6,1.420000017,1,2.840000033,29.76072502,29.55627632,29.99835396,400.3989258,400.9399719,30.5092907,30.65909195,70.11831665,70.46140289,300.177124,-0.050047502,0.142715186,96.58151245,-1.118416071,0.72701782,0.11513713,0.006091446,0.106220976,0.002175069,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500295207,7.73153E-05,302.7062763,302.910725,-0.0080076,-0.010975878,4.153061637,43.00058605,12.3414941,29.65850067,4.177590067,0.006033934,2.961101471,1.216488596,0.003772361,45.58322303,1.177149633,70.26508842,401.0833769,-0.000528511
