OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Jun 10 2016 11:11:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""11:11:25 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:11:27 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:11:28 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:11:28 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:11:28 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11:11:30,22.50000017,0,1.681820594,0.012800789,180.9295493,0.188225856,1.37126866,30.82957649,6,1.420000017,1,2.840000033,30.35154533,30.82957649,29.99299622,400.9086914,398.8013916,31.82914352,32.04767609,70.74810791,71.2348175,500.2283936,1199.543213,1.352175951,96.62033081,-0.92093873,1.680779815,0.012770582,0.005282293,0.036463093,0.004419931,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833713989,0.000188226,303.9795765,303.5015453,191.9269098,2.006040523,4.467725725,46.24001685,14.19234076,30.59056091,4.407123907,0.01274335,3.096457065,1.310666842,0.007969735,17.48147291,0.453683345,68.20018709,398.0019346,0.002881908
2,11:11:32,24.50000012,0,1.667703392,0.012927949,184.6953987,0.190099964,1.371350749,30.83039093,6,1.420000017,1,2.840000033,30.35082245,30.83039093,29.9922657,400.8817444,398.7903137,31.82842255,32.04914856,70.74652863,71.23614502,500.1877747,1199.59375,1.286015868,96.61981201,-0.92093873,1.680779815,0.012770582,0.005282293,0.036463093,0.004419931,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833646291,0.0001901,303.9803909,303.5008224,191.9349957,2.004987907,4.467933458,46.24241515,14.19326659,30.59060669,4.407135445,0.012869367,3.096582709,1.310552736,0.008048597,17.84523471,0.463139129,68.20111537,397.9975674,0.002857787
3,11:11:34,27.00000007,0,1.624706452,0.013101443,192.5879963,0.192657235,1.371468857,30.83154488,6,1.420000017,1,2.840000033,30.35015678,30.83154488,29.99144936,400.8127441,398.7715759,31.82738876,32.05109406,70.74590302,71.24105835,500.1643677,1199.636475,1.221734285,96.6194458,-0.92093873,1.680779815,0.012770582,0.005282293,0.036463093,0.004419931,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833607279,0.000192657,303.9815449,303.5001568,191.9418316,2.00354189,4.468227802,46.24563684,14.19454279,30.59085083,4.407196979,0.013041281,3.096758945,1.310438034,0.008156184,18.60774547,0.482953169,68.2023198,397.9992683,0.002784145
4,11:11:36,29.00000002,0,1.591081033,0.013185737,197.8655885,0.19390302,1.37154721,30.83240509,6,1.420000017,1,2.840000033,30.34985733,30.83240509,29.99112511,400.7481689,398.7467346,31.82748222,32.05263519,70.74621582,71.24429321,500.1610718,1199.659302,1.183745265,96.61920166,-0.92093873,1.680779815,0.012770582,0.005282293,0.036463093,0.004419931,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833601786,0.000193903,303.9824051,303.4998573,191.945484,2.002802968,4.468447233,46.24802479,14.19538959,30.59113121,4.407267648,0.0131248,3.096900023,1.310367624,0.008208453,19.1176152,0.496218706,68.20293918,397.9904109,0.002726608
