OPEN 6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Jun  9 2016 13:15:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#3.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""13:15:34 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:15:35 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:15:35 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:15:35 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:15:35 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13:15:37,12.50000298,0,-0.577841376,0.022041266,433.7317976,0.309822168,1.319669872,29.33084869,6,1.420000017,1,2.840000033,29.80319405,29.33084869,29.98465347,400.047821,400.9554749,28.17370605,28.7757988,64.57167053,65.95140839,299.8609009,0.267866373,0.064791314,96.60007477,0.077087492,0.828142226,0.024947111,0.001512326,0.020708406,0.002070749,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499768168,0.000309822,302.4808487,302.953194,0.042858619,-0.090120655,4.099414187,42.43696702,13.66116822,29.56702137,4.155633961,0.02187152,2.779744315,1.375889646,0.01368485,41.89852408,1.081745542,66.87685059,401.230153,-0.000963143
2,13:15:39,14.50000294,0,-0.576376318,0.02201316,433.6958694,0.3090824,1.318200815,29.32384491,6,1.420000017,1,2.840000033,29.80175018,29.32384491,29.99483109,400.0570068,400.9622498,28.17322159,28.77383232,64.58810425,65.96587372,299.883667,0.171162188,0.077015966,96.60014343,0.077087492,0.828142226,0.024947111,0.001512326,0.020708406,0.002070749,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499806112,0.000309082,302.4738449,302.9517502,0.027385949,-0.089179203,4.097757144,42.41978322,13.6459509,29.56279755,4.154622628,0.021843846,2.779556329,1.375066299,0.013667515,41.89508319,1.081637659,66.90034753,401.2362315,-0.000961024
3,13:15:41,16.50000289,0,-0.562838032,0.02200687,432.7272855,0.30870556,1.316975398,29.31809044,6,1.420000017,1,2.840000033,29.80034256,29.31809044,30.01383209,400.0742188,400.9526367,28.1726284,28.7724762,64.59681702,65.97318268,299.8994141,0.12389823,0.088543974,96.59998322,0.077087492,0.828142226,0.024947111,0.001512326,0.020708406,0.002070749,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499832357,0.000308706,302.4680904,302.9503426,0.019823716,-0.088492596,4.096396116,42.40576426,13.63328807,29.5592165,4.153765366,0.021837652,2.779420718,1.374344649,0.013663635,41.80144852,1.079247886,66.92032123,401.220183,-0.000938769
4,13:15:43,18.50000285,0,-0.552056361,0.021992532,431.9701401,0.308418105,1.316600949,29.31613159,6,1.420000017,1,2.840000033,29.80014229,29.31613159,30.03841972,400.0900574,400.947113,28.17235374,28.77162552,64.6006012,65.9758606,299.9084167,0.093413182,0.082827605,96.59975433,0.077087492,0.828142226,0.024947111,0.001512326,0.020708406,0.002070749,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499847361,0.000308418,302.4661316,302.9501423,0.014946109,-0.088167809,4.095932906,42.40106959,13.62944407,29.55813694,4.153506963,0.021823534,2.779331957,1.374175006,0.013654792,41.72820942,1.077374362,66.92591608,401.2095342,-0.000920887
