OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Jun 11 2016 14:57:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:57:15 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:57:19 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:57:19 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:57:19 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:57:19 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:57:21,50.5000003,0,1.517765018,0.011863009,182.5387869,0.242848076,1.899497468,32.22502136,6,1.420000017,1,2.840000033,30.30685234,32.22502136,29.99412155,399.4460754,397.5098572,30.21652031,30.49891281,67.08405304,67.70823669,500.243042,1199.172119,1.133331776,96.2900238,1.141829848,1.647197247,0.02430024,0.00243955,0.034903266,0.003921206,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833738403,0.000242848,305.3750214,303.4568523,191.8675348,1.776946697,4.836238509,50.2257484,19.72683559,31.26593685,4.580238073,0.011813662,2.936741041,1.643497033,0.007387956,17.57666413,0.459205686,59.2419497,396.7883844,0.002266078
2,14:57:23,53.00000025,0,1.521097924,0.011955672,183.655814,0.244660143,1.898902939,32.22335815,6,1.420000017,1,2.840000033,30.30644989,32.22335815,29.99398422,399.4443054,397.5031433,30.2158699,30.50038147,67.09117126,67.72039032,500.2213135,1199.171875,1.081235647,96.28997803,1.141829848,1.647197247,0.02430024,0.00243955,0.034903266,0.003921206,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833702189,0.00024466,305.3733582,303.4564499,191.8674957,1.776225838,4.835784001,50.22105207,19.7206706,31.26490402,4.579968879,0.011905553,2.936881062,1.643087818,0.007445457,17.68421429,0.462023551,59.2522696,396.7800862,0.002271498
3,14:57:25,55.0000002,0,1.533224202,0.011989015,182.6254426,0.245496413,1.900097616,32.22823715,6,1.420000017,1,2.840000033,30.30647659,32.22823715,29.99382973,399.4764404,397.5202332,30.21638489,30.50188255,67.09388733,67.72554016,500.1966858,1199.174438,1.048620224,96.28978729,1.141829848,1.647197247,0.02430024,0.00243955,0.034903266,0.003921206,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833661143,0.000245496,305.3782372,303.4564766,191.8679059,1.775133088,4.837117399,50.23499932,19.73311677,31.26735687,4.580608206,0.011938616,2.937019783,1.643588423,0.007466147,17.58496502,0.459411691,59.23802158,396.7914118,0.00228899
4,14:57:27,57.00000016,0,1.547891445,0.011992701,180.7764697,0.245794329,1.901799983,32.23491669,6,1.420000017,1,2.840000033,30.30647087,32.23491669,29.99354553,399.5249939,397.5509949,30.21733284,30.50318336,67.09677124,67.72926331,500.1848145,1199.169067,1.060662746,96.28973389,1.141829848,1.647197247,0.02430024,0.00243955,0.034903266,0.003921206,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833641357,0.000245794,305.3849167,303.4564709,191.8670465,1.774035807,4.838943392,50.25399071,19.75080735,31.27069378,4.581478084,0.011942271,2.937143409,1.644334675,0.007468434,17.40691816,0.454725235,59.2165184,396.8152014,0.00230991
