OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Jun 11 2016 15:10:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:10:39 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:10:42 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:10:42 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:10:42 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:10:42 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:10:44,27.00000047,0,-0.524438698,0.006023234,529.2420276,0.088880405,1.369310912,30.39230728,6,1.420000017,1,2.840000033,30.17295074,30.39230728,29.99419975,399.6990051,400.6758118,30.86603355,31.0381279,69.03229523,69.41824341,300.2599182,-0.105813861,0.040916272,96.2716217,1.321015358,1.641031504,0.098420605,0.00381122,0.114419028,0.006116702,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500433197,8.88804E-05,303.5423073,303.3229507,-0.016930217,-0.074230642,4.35740182,45.26153961,14.22341172,30.28262901,4.330105035,0.006010487,2.988090908,1.342014127,0.003757698,50.95098827,1.320873414,67.39779807,400.9251048,-0.000881611
2,15:10:46,29.00000042,0,-0.505142777,0.006063409,523.2785617,0.089449103,1.368960064,30.39207649,6,1.420000017,1,2.840000033,30.17312622,30.39207649,29.99436188,399.7251587,400.6629639,30.86795998,31.04115677,69.04434967,69.431633,300.2567139,-0.152348191,0.043843616,96.27167511,1.321015358,1.641031504,0.098420605,0.00381122,0.114419028,0.006116702,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500427856,8.94491E-05,303.5420765,303.3231262,-0.02437571,-0.07454253,4.357344224,45.26091624,14.21975947,30.28260136,4.33009817,0.006050491,2.988384159,1.341714011,0.003782715,50.37690368,1.306031775,67.40613998,400.9030846,-0.000849326
3,15:10:49,31.50000037,0,-0.49165197,0.006064139,519.7414726,0.089458283,1.368935648,30.39287186,6,1.420000017,1,2.840000033,30.17356873,30.39287186,29.99459648,399.755127,400.6659546,30.87020111,31.04341316,69.05243683,69.43980408,300.260376,-0.15164046,0.035142418,96.27185822,1.321015358,1.641031504,0.098420605,0.00381122,0.114419028,0.006116702,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50043396,8.94583E-05,303.5428719,303.3235687,-0.024262473,-0.074593866,4.357542718,45.26289197,14.21947881,30.28322029,4.330251792,0.006051218,2.98860707,1.341644721,0.00378317,50.03647736,1.297194001,67.40814266,400.8996624,-0.000826674
4,15:10:51,33.50000032,0,-0.491510759,0.006060444,519.7902636,0.089390833,1.36873325,30.39239693,6,1.420000017,1,2.840000033,30.17383575,30.39239693,29.99434471,399.7614441,400.6720581,30.8712616,31.04434586,69.05534363,69.44250488,300.2552185,-0.137549549,0.039356235,96.27166748,1.321015358,1.641031504,0.098420605,0.00381122,0.114419028,0.006116702,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500425364,8.93908E-05,303.5423969,303.3238358,-0.022007927,-0.07443406,4.357424192,45.26175048,14.21740462,30.28311634,4.330225991,0.006047538,2.988690941,1.341535049,0.003780869,50.04107541,1.297296013,67.4120362,400.9056988,-0.000826472
