OPEN 6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Jun 10 2016 12:13:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#3.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""12:13:41 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:13:43 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:13:43 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:13:43 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:13:43 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12:13:45,15.00000152,0,22.69136422,0.26925899,219.2772397,3.337322954,1.256113574,31.63563538,6,1.420000017,1,2.840000033,30.28559113,31.63563538,30.23689842,400.0803528,371.3931274,31.55245399,35.41142273,70.42312622,79.02278137,500.5187378,1200.208252,1.082729101,96.61773682,0.259628683,1.27757287,0.038359758,0.004829152,0.027243629,0.007487937,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834197896,0.003337323,304.7856354,303.4355911,192.033316,0.321052154,4.677485095,48.41228173,13.000859,30.96061325,4.501256847,0.245941408,3.421371522,1.079885325,0.15565102,21.18607063,0.59041814,74.39808388,360.6067396,0.046815376
2,12:13:47,17.00000148,0,22.69520479,0.269076231,219.1521486,3.338480557,1.257327455,31.64039993,6,1.420000017,1,2.840000033,30.28626633,31.64039993,30.2306385,400.0856934,371.3890991,31.55086708,35.41174698,70.40707397,79.01291656,500.4443359,1200.100098,1.048651338,96.61829376,0.259628683,1.27757287,0.038359758,0.004829152,0.027243629,0.007487937,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834073893,0.003338481,304.7903999,303.4362663,192.0160113,0.319716569,4.678750027,48.42509472,13.01334774,30.96333313,4.501955155,0.245788923,3.421422572,1.080532583,0.1555533,21.17410667,0.590087725,74.37858943,360.6008857,0.046811791
3,12:13:49,19.00000143,0,22.6895194,0.268949163,219.1116135,3.339459599,1.258239229,31.64434242,6,1.420000017,1,2.840000033,30.28678322,31.64434242,30.21900558,400.0726624,371.3798523,31.55056,35.41292191,70.39997101,79.00974274,500.398407,1200.026001,1.039414287,96.61890411,0.259628683,1.27757287,0.038359758,0.004829152,0.027243629,0.007487937,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833997345,0.00333946,304.7943424,303.4367832,192.0041559,0.318622979,4.679796935,48.43562425,13.02270234,30.96556282,4.502527681,0.245682893,3.421557706,1.080969975,0.155485351,21.17032398,0.58999327,74.36454115,360.5943414,0.046792074
4,12:13:51,21.00000139,0,22.68425498,0.268917145,219.1264666,3.340316055,1.258697178,31.64669037,6,1.420000017,1,2.840000033,30.28686714,31.64669037,30.20372391,400.0671082,371.3793945,31.55107689,35.41453552,70.39705658,79.0098877,500.3838196,1199.980225,1.057292342,96.61917877,0.259628683,1.27757287,0.038359758,0.004829152,0.027243629,0.007487937,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833973033,0.003340316,304.7966904,303.4368671,191.9968316,0.317802508,4.680420517,48.44194058,13.02740506,30.96677876,4.502839928,0.245656174,3.421723339,1.08111659,0.155468229,21.17181925,0.590033992,74.35825738,360.5963861,0.046776999
