OPEN 6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Jun 12 2016 13:40:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#3.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""13:40:32 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:40:34 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:40:34 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:40:34 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:40:34 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13:40:36,41.50000155,0,-0.124146039,0.091572592,389.86054,1.606882824,1.675550308,32.03593445,6,1.420000017,1,2.840000033,30.37224579,32.03593445,30.21464729,399.6403503,399.0115356,30.34555244,32.2368927,67.29213715,71.48327637,493.3269653,1200.360107,1.425116062,96.45016479,2.040155649,0.841782391,0.056823533,0.000948562,0.058864839,0.001385681,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111215,0.822211609,0.001606883,305.1859344,303.5222458,192.0576129,1.137137568,4.784803922,49.60907979,17.37218709,31.20409012,4.564142774,0.088712168,3.109253613,1.454889161,0.055695192,37.60211333,0.977065837,64.62816978,399.0705487,-0.00020105
2,13:40:39,44.0000015,0,-0.170217054,0.091411473,390.6988563,1.605590791,1.67705131,32.04148483,6,1.420000017,1,2.840000033,30.37208176,32.04148483,30.20970917,399.6124878,399.0402832,30.34705544,32.23685455,67.27483368,71.46378326,493.3323059,1200.31604,1.334401488,96.45034027,2.040155649,0.841782391,0.056823533,0.000948562,0.058864839,0.001385681,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111215,0.82222051,0.001605591,305.1914848,303.5220818,192.0505621,1.136903396,4.786306901,49.62457248,17.38771792,31.20678329,4.564842633,0.08856095,3.109255591,1.455587042,0.055599826,37.68303763,0.979096279,64.60536962,399.1211962,-0.000275529
3,13:40:41,46.00000145,0,-0.163844331,0.091333034,390.5876123,1.605067272,1.67788907,32.04457474,6,1.420000017,1,2.840000033,30.37172508,32.04457474,30.19940376,399.6251831,399.0454712,30.34771156,32.23689651,67.27140808,71.45912933,493.3317566,1200.298096,1.361412168,96.45018768,2.040155649,0.841782391,0.056823533,0.000948562,0.058864839,0.001385681,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.822219594,0.001605067,305.1945747,303.5217251,192.047691,1.136651669,4.787143789,49.63332788,17.39643137,31.20814991,4.565197802,0.088487324,3.109254719,1.455943083,0.055553395,37.67224851,0.978804774,64.59276942,399.1233549,-0.00026516
4,13:40:43,48.00000141,0,-0.115685294,0.091297398,389.7365738,1.604846627,1.678288496,32.04616928,6,1.420000017,1,2.840000033,30.37135124,32.04616928,30.18665123,399.68927,399.0510864,30.34832382,32.23723602,67.26979828,71.45697784,493.3349915,1200.277222,1.368804097,96.45018005,2.040155649,0.841782391,0.056823533,0.000948562,0.058864839,0.001385681,1,-0.219565243,2.737391472,1,0,0.159999996,111215,0.822224986,0.001604847,305.1961693,303.5213512,192.0443512,1.136450497,4.787575715,49.63781003,17.40057401,31.20876026,4.565356434,0.088453874,3.109287219,1.456069215,0.0555323,37.59016271,0.976658345,64.58701623,399.1060777,-0.000187213
