OPEN 6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Jun 12 2016 13:20:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#3.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""13:20:18 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:20:20 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:20:20 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:20:20 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:20:20 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13:20:22,28.00000259,0,-2.046318109,0.026707005,516.6034775,0.391308905,1.372307633,30.47565269,6,1.420000017,1,2.840000033,30.31677628,30.47565269,30.20959663,400.1218262,403.899292,30.3976059,31.15602684,67.64206696,69.33403015,299.9262695,0.065394171,0.162142664,96.48012543,1.673323512,0.849171877,0.034403771,0.002647326,0.015528234,0.002767548,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499877116,0.000391309,303.6256527,303.4667763,0.010463067,-0.216224045,4.37824501,45.37976076,14.22373392,30.39621449,4.358377006,0.026458196,3.005937377,1.352439629,0.016558548,49.8419683,1.279040314,67.71265493,404.8720136,-0.003422356
2,13:20:24,30.00000255,0,-2.060573301,0.026681958,517.5672678,0.391737633,1.375066819,30.48710632,6,1.420000017,1,2.840000033,30.31681442,30.48710632,30.2070713,400.114624,403.9200134,30.39797974,31.1571846,67.62580109,69.31672668,299.9444885,0.077820405,0.09541361,96.48013306,1.673323512,0.849171877,0.034403771,0.002647326,0.015528234,0.002767548,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499907481,0.000391738,303.6371063,303.4668144,0.012451265,-0.217965485,4.381116135,45.40951589,14.25233128,30.40196037,4.359811449,0.026433613,3.006049316,1.353762133,0.016543142,49.93495886,1.281360791,67.66813707,404.8995113,-0.003443698
3,13:20:26,32.0000025,0,-2.070586456,0.026629511,518.3668401,0.392579543,1.380667212,30.50983047,6,1.420000017,1,2.840000033,30.31684494,30.50983047,30.19941711,400.099762,403.9241333,30.3974762,31.15823936,67.61827087,69.3106842,299.9730835,0.085101187,0.067257874,96.48010254,1.673323512,0.849171877,0.034403771,0.002647326,0.015528234,0.002767548,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499955139,0.00039258,303.6598305,303.4668449,0.01361619,-0.221454067,4.386817341,45.46862229,14.31038292,30.41333771,4.362652979,0.026382136,3.006150129,1.35650285,0.016510883,50.01208588,1.283327232,67.57703842,404.9083909,-0.003455698
4,13:20:28,34.00000246,0,-2.076528088,0.026569859,518.945696,0.393258997,1.386090092,30.53160858,6,1.420000017,1,2.840000033,30.31609917,30.53160858,30.18776131,400.0775146,403.9132385,30.39668274,31.15876389,67.61451721,69.30901337,299.9724121,0.072000377,0.060254849,96.4799881,1.673323512,0.849171877,0.034403771,0.002647326,0.015528234,0.002767548,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.49995402,0.000393259,303.6816086,303.4660992,0.01152006,-0.224876031,4.392287261,45.52537109,14.3666072,30.42385387,4.365280864,0.026323587,3.006197169,1.359083695,0.016474192,50.06787458,1.284794967,67.48858177,404.9003205,-0.003461147
5,13:20:30,36.00000241,0,-2.084201933,0.026538318,519.5145402,0.393614582,1.388952857,30.54302216,6,1.420000017,1,2.840000033,30.31456375,30.54302216,30.17576599,400.0455627,403.8966675,30.39605522,31.15888596,67.61466217,69.31075287,299.9485779,0.071540885,0.054290932,96.47981262,1.673323512,0.849171877,0.034403771,0.002647326,0.015528234,0.002767548,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499914296,0.000393615,303.6930222,303.4645638,0.011446541,-0.226813314,4.395156335,45.55519145,14.39630549,30.42879295,4.366515566,0.026292627,3.006203479,1.360312088,0.016454791,50.12266549,1.28625607,67.44183579,404.8873973,-0.003471642
6,13:20:32,38.00000237,0,-2.097888753,0.026544502,520.2933486,0.393639834,1.388722102,30.54200745,6,1.420000017,1,2.840000033,30.3125248,30.54200745,30.16547012,400.00177,403.8804321,30.39574623,31.1586628,67.61824036,69.31472015,299.9341431,0.076651461,0.060460005,96.47972107,1.673323512,0.849171877,0.034403771,0.002647326,0.015528234,0.002767548,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499890238,0.00039364,303.6920074,303.4625248,0.012264234,-0.226955827,4.394901197,45.55259021,14.39392741,30.42726612,4.366133847,0.026298697,3.006179095,1.359954751,0.016458594,50.19775714,1.28823609,67.44547311,404.877668,-0.003494712
