OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Jun 12 2016 15:17:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:17:36 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:17:37 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:17:37 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:17:37 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:17:37 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:17:39,10.50000001,0,0.133571529,0.011176229,370.0824078,0.196491446,1.631669899,31.43756104,6,1.420000017,1,2.840000033,30.26288605,31.43756104,29.98698235,400.3932495,400.1387024,30.87179375,31.10017204,68.7130661,69.21203613,500.1715088,1199.101807,0.568821192,96.2532196,1.71390295,1.400134683,0.019147418,0.00328622,0.029995525,0.002608708,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833619181,0.000196491,304.587561,303.412886,191.8562848,1.90427432,4.625161589,48.05201954,16.95184749,30.85022354,4.472994632,0.01113242,2.993491689,1.479502943,0.006961685,35.62162327,0.92488531,63.41216521,400.0752089,0.000211712
2,15:17:42,12.99999996,0,0.150356982,0.011251756,367.8189178,0.197903914,1.632413561,31.44033051,6,1.420000017,1,2.840000033,30.26306343,31.44033051,29.98897362,400.389801,400.1144409,30.86982536,31.0998497,68.7046814,69.21078491,500.1622009,1199.188721,0.579787672,96.25371552,1.71390295,1.400134683,0.019147418,0.00328622,0.029995525,0.002608708,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833603668,0.000197904,304.5903305,303.4130634,191.870191,1.903365914,4.625889646,48.05933591,16.95948621,30.85169697,4.473370842,0.011207354,2.993476086,1.479894756,0.007008572,35.40393747,0.919284285,63.40208699,400.0429684,0.000238298
3,15:17:44,14.99999991,0,0.154533955,0.011282754,367.277913,0.198402258,1.632051044,31.43866158,6,1.420000017,1,2.840000033,30.26283646,31.43866158,29.99009895,400.3793335,400.0987244,30.86843681,31.09904289,68.70150757,69.20986938,500.1571655,1199.212158,0.540380836,96.25376129,1.71390295,1.400134683,0.019147418,0.00328622,0.029995525,0.002608708,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833595276,0.000198402,304.5886616,303.4128365,191.873941,1.903363036,4.625450894,48.05475477,16.95571188,30.85074902,4.473128798,0.011238107,2.993399851,1.479728947,0.007027815,35.35188056,0.917968218,63.40724416,400.0252663,0.000244949
4,15:17:46,16.99999987,0,0.158844874,0.011298828,366.6958555,0.198691208,1.63211218,31.43862724,6,1.420000017,1,2.840000033,30.26273727,31.43862724,29.99049759,400.3760071,400.0900879,30.86738014,31.09832382,68.69922638,69.20883179,500.1537476,1199.19751,0.542830169,96.25373077,1.71390295,1.400134683,0.019147418,0.00328622,0.029995525,0.002608708,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833589579,0.000198691,304.5886272,303.4127373,191.8715973,1.903184359,4.625441869,48.05467624,16.95635242,30.85068226,4.473111754,0.011254054,2.993329689,1.479782065,0.007037793,35.29584415,0.916533217,63.40602347,400.0145806,0.000251784
5,15:17:48,18.99999982,0,0.164365468,0.011291452,365.9017952,0.198563955,1.632131027,31.43833733,6,1.420000017,1,2.840000033,30.26297379,31.43833733,29.99059868,400.3769531,400.0844727,30.8665123,31.09730911,68.6962738,69.2062912,500.1520081,1199.185059,0.574317217,96.2538147,1.71390295,1.400134683,0.019147418,0.00328622,0.029995525,0.002608708,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83358668,0.000198564,304.5883373,303.4129738,191.8696051,1.903297768,4.625365655,48.05384254,16.95653343,30.85065556,4.473104936,0.011246737,2.993234629,1.479870307,0.007033214,35.21944359,0.914561349,63.40493849,400.0063412,0.000260535
6,15:17:50,20.99999978,0,0.166550888,0.011298439,365.6042891,0.198700329,1.632248248,31.43856812,6,1.420000017,1,2.840000033,30.2632885,31.43856812,29.99048996,400.3747559,400.0795898,30.86572456,31.09667969,68.69338989,69.20404053,500.152771,1199.189697,0.60808742,96.2539444,1.71390295,1.400134683,0.019147418,0.00328622,0.029995525,0.002608708,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833587952,0.0001987,304.5885681,303.4132885,191.8703473,1.903248779,4.625426325,48.0544081,16.95772841,30.85092831,4.473174576,0.011253669,2.993178078,1.479996499,0.007037552,35.19085491,0.913828894,63.40288113,400.0004195,0.000263995
7,15:17:52,22.99999973,0,0.170434179,0.011355374,365.1699393,0.19974904,1.632667121,31.44013977,6,1.420000017,1,2.840000033,30.2634716,31.44013977,29.99027824,400.3728638,400.0725403,30.86440659,31.0965786,68.6902771,69.20317078,500.1572571,1199.194824,0.632971168,96.2540741,1.71390295,1.400134683,0.019147418,0.00328622,0.029995525,0.002608708,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833595428,0.000199749,304.5901398,303.4134716,191.8711676,1.902541924,4.625839501,48.05863591,16.96205731,30.85180569,4.473398602,0.011310152,2.993172381,1.480226222,0.007072894,35.1490944,0.912759319,63.39741137,399.991524,0.000270133
8,15:17:54,24.99999969,0,0.173154903,0.011441423,364.9564898,0.201224452,1.632413857,31.43893433,6,1.420000017,1,2.840000033,30.26365089,31.43893433,29.9904232,400.3595276,400.0552368,30.86195183,31.09583855,68.6839447,69.20095062,500.1580505,1199.210449,0.642027974,96.25431824,1.71390295,1.400134683,0.019147418,0.00328622,0.029995525,0.002608708,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833596751,0.000201224,304.5889343,303.4136509,191.8736676,1.902029665,4.625522597,48.05522164,16.95938309,30.85129261,4.473267595,0.011395514,2.993108739,1.480158855,0.007126307,35.12863812,0.912265248,63.40176554,399.9729273,0.000274477
9,15:17:56,27.49999963,0,0.163153878,0.011524782,366.4903323,0.202517881,1.631087887,31.43331718,6,1.420000017,1,2.840000033,30.26363754,31.43331718,29.99007034,400.3259583,400.0330505,30.85884094,31.09423065,68.67744446,69.19801331,500.1596985,1199.216309,0.64955461,96.25445557,1.71390295,1.400134683,0.019147418,0.00328622,0.029995525,0.002608708,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833599497,0.000202518,304.5833172,303.4136375,191.8746051,1.90218086,4.624046129,48.03981387,16.94558322,30.84847736,4.472548817,0.011478203,2.992958243,1.479590574,0.007178047,35.27632741,0.916150133,63.4212104,399.955495,0.000258714
10,15:17:58,29.49999959,0,0.164983851,0.011534294,366.245448,0.202659826,1.630897203,31.43196106,6,1.420000017,1,2.840000033,30.26351547,31.43196106,29.98935318,400.3144226,400.0192566,30.85691833,31.09247208,68.67362976,69.19508362,500.1626282,1199.216309,0.670949221,96.25457001,1.71390295,1.400134683,0.019147418,0.00328622,0.029995525,0.002608708,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83360438,0.00020266,304.5819611,303.4135155,191.8746051,1.902283336,4.623689733,48.03605411,16.94358203,30.84773827,4.47236013,0.011487638,2.99279253,1.4795676,0.007183951,35.25279811,0.915569543,63.42289458,399.9408312,0.000261633
11,15:18:00,31.49999954,0,0.179234275,0.011549405,364.3083995,0.202912813,1.630813109,31.43099976,6,1.420000017,1,2.840000033,30.26334,31.43099976,29.98865128,400.3175659,400.005188,30.85479736,31.09064484,68.66973877,69.19194794,500.1642456,1199.235718,0.682011604,96.25480652,1.71390295,1.400134683,0.019147418,0.00328622,0.029995525,0.002608708,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833607076,0.000202913,304.5809998,303.41334,191.8777106,1.90230318,4.623437112,48.03331158,16.94266674,30.84716988,4.472215029,0.011502627,2.992624003,1.479591025,0.00719333,35.0664345,0.910759186,63.42306301,399.9199886,0.000284247
12,15:18:02,33.4999995,0,0.193315126,0.011604375,362.4972628,0.203842301,1.630563364,31.42958069,6,1.420000017,1,2.840000033,30.26288795,31.42958069,29.9880867,400.3269958,399.9972839,30.85235214,31.08927917,68.66609192,69.19029999,500.166626,1199.262329,0.671853006,96.25507355,1.71390295,1.400134683,0.019147418,0.00328622,0.029995525,0.002608708,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833611043,0.000203842,304.5795807,303.412888,191.8819684,1.90202626,4.623064218,48.0293043,16.94002513,30.84623432,4.471976204,0.011557152,2.992500854,1.479475351,0.007227448,34.89220069,0.906249311,63.42652196,399.9053912,0.000306605
13,15:18:04,35.49999945,0,0.200173557,0.011660331,361.6906971,0.204823516,1.630587335,31.42914391,6,1.420000017,1,2.840000033,30.26216888,31.42914391,29.98759079,400.3343201,399.9959106,30.84970856,31.08777618,68.66265869,69.18948364,500.1671448,1199.272095,0.644908249,96.25526428,1.71390295,1.400134683,0.019147418,0.00328622,0.029995525,0.002608708,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833611908,0.000204824,304.5791439,303.4121689,191.8835309,1.901519713,4.622949448,48.02801678,16.94024059,30.84565639,4.471828679,0.011612653,2.992362113,1.479466567,0.007262176,34.81463364,0.904235987,63.42584712,399.9007577,0.000317483
14,15:18:06,37.49999941,0,0.198230384,0.011667858,361.9694479,0.204966222,1.630679207,31.42869186,6,1.420000017,1,2.840000033,30.26145172,31.42869186,29.98711395,400.3301697,399.9940186,30.84732819,31.08556557,68.65969086,69.18772888,500.1601257,1199.284546,0.6100927,96.25533295,1.71390295,1.400134683,0.019147418,0.00328622,0.029995525,0.002608708,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83360021,0.000204966,304.5786919,303.4114517,191.8855231,1.901437148,4.622830671,48.02674854,16.94118297,30.84507179,4.471679454,0.011620118,2.992151463,1.479527991,0.007266848,34.84148973,0.904937152,63.42300944,399.8997893,0.000314388
15,15:18:08,39.49999936,0,0.194386723,0.011648619,362.4416795,0.204708391,1.6313057,31.43026733,6,1.420000017,1,2.840000033,30.26072884,31.43026733,29.98678589,400.3235474,399.9921265,30.84540367,31.08334541,68.657547,69.18569183,500.152771,1199.315796,0.590988159,96.25537109,1.71390295,1.400134683,0.019147418,0.00328622,0.029995525,0.002608708,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833587952,0.000204708,304.5802673,303.4107288,191.8905231,1.901303345,4.623244647,48.03103032,16.94768491,30.84549809,4.471788269,0.011601036,2.991938948,1.479849321,0.007254908,34.88695836,0.906122035,63.41194722,399.8997243,0.000308238
16,15:18:11,41.99999931,0,0.198227813,0.011617454,361.8357545,0.204321681,1.632568848,31.43415833,6,1.420000017,1,2.840000033,30.25989532,31.43415833,29.986763,400.3243103,399.9884644,30.84332085,31.08081627,68.65563965,69.1834259,500.1473999,1199.346191,0.584503949,96.25546265,1.71390295,1.400134683,0.019147418,0.00328622,0.029995525,0.002608708,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833579,0.000204322,304.5841583,303.4098953,191.8953863,1.900893348,4.624267197,48.04160793,16.96079166,30.84702682,4.47217851,0.011570124,2.991698349,1.480480161,0.007235565,34.82866795,0.904615475,63.39115984,399.8942363,0.00031423
17,15:18:13,43.99999926,0,0.192728039,0.011633903,362.6083324,0.204715277,1.633407893,31.43667984,6,1.420000017,1,2.840000033,30.25936317,31.43667984,29.98687363,400.3091736,399.9797363,30.8409977,31.07895279,68.65291595,69.18128204,500.1437988,1199.360962,0.588940501,96.25556183,1.71390295,1.400134683,0.019147418,0.00328622,0.029995525,0.002608708,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833572998,0.000204715,304.5866798,303.4093632,191.8977496,1.900299677,4.624929955,48.04844382,16.96949103,30.84802151,4.472432439,0.01158644,2.991522062,1.480910377,0.007245774,34.90306876,0.906566757,63.37771027,399.8881226,0.000305452
18,15:18:15,45.99999922,0,0.167050718,0.011664048,366.1366743,0.205316572,1.633986494,31.43812943,6,1.420000017,1,2.840000033,30.25888252,31.43812943,29.98692131,400.2572327,399.958313,30.83826065,31.07691765,68.64892578,69.17894745,500.1386108,1199.376709,0.595320463,96.25550842,1.71390295,1.400134683,0.019147418,0.00328622,0.029995525,0.002608708,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833564351,0.000205317,304.5881294,303.4088825,191.9002691,1.899761377,4.625311003,48.05242919,16.97551154,30.84850597,4.472556121,0.011616339,2.991324508,1.481231613,0.007264483,35.24267174,0.91543709,63.36810575,399.8789051,0.000264722
19,15:18:17,47.99999917,0,0.134547033,0.011667166,370.5156019,0.205440572,1.634534402,31.43938828,6,1.420000017,1,2.840000033,30.25853539,31.43938828,29.98696518,400.1830139,399.9230347,30.83590889,31.07471275,68.64513397,69.1758194,500.1340332,1199.392822,0.59604919,96.25535583,1.71390295,1.400134683,0.019147418,0.00328622,0.029995525,0.002608708,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833556722,0.000205441,304.5893883,303.4085354,191.9028473,1.899505729,4.625641935,48.05594343,16.98123068,30.84896183,4.472672502,0.011619432,2.991107534,1.481564968,0.007266418,35.6641111,0.926467269,63.3584591,399.8590775,0.000213192
20,15:18:19,49.99999913,0,0.114314328,0.011670853,373.2171834,0.205548477,1.634876158,31.43992996,6,1.420000017,1,2.840000033,30.25833702,31.43992996,29.98708916,400.1108093,399.875061,30.83375931,31.07269096,68.64141083,69.17250061,500.130127,1199.413818,0.609781265,96.25520325,1.71390295,1.400134683,0.019147418,0.00328622,0.029995525,0.002608708,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833550212,0.000205548,304.58993,303.408337,191.9062066,1.899387325,4.625784343,48.05749909,16.98480813,30.84913349,4.472716328,0.011623089,2.990908184,1.481808144,0.007268707,35.92409585,0.933334483,63.35198244,399.8207215,0.000181132
21,15:18:21,51.99999908,0,0.107208123,0.011681124,374.1468947,0.205724073,1.634844636,31.43928146,6,1.420000017,1,2.840000033,30.25834084,31.43928146,29.98751068,400.0537109,399.826416,30.83207703,31.07121277,68.63785553,69.16957092,500.1309509,1199.424316,0.635445356,96.25531006,1.71390295,1.400134683,0.019147418,0.00328622,0.029995525,0.002608708,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833551585,0.000205724,304.5892815,303.4083408,191.9078863,1.899410161,4.625613855,48.05567456,16.9844618,30.84881115,4.472634033,0.011633275,2.990769219,1.481864814,0.007275081,36.01362536,0.935773325,63.35153334,399.7754544,0.00016989
22,15:18:23,53.99999904,0,0.102947621,0.011669884,374.6647922,0.205525406,1.634840311,31.43874168,6,1.420000017,1,2.840000033,30.25827599,31.43874168,29.98804855,400.0009155,399.7788391,30.83078003,31.06968498,68.63525391,69.16673279,500.1314392,1199.421021,0.651260376,96.25561523,1.71390295,1.400134683,0.019147418,0.00328622,0.029995525,0.002608708,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833552399,0.000205525,304.5887417,303.408276,191.907359,1.899569621,4.625471954,48.05404799,16.98436301,30.84850883,4.472556851,0.011622128,2.990631643,1.481925208,0.007268105,36.06359008,0.937180149,63.35042174,399.7299027,0.000163155
