OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Jun 12 2016 10:45:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""10:45:01 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:45:04 Log Option: Logged values are 15 s averages""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:45:04 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:45:04 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:45:04 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:45:04 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10:45:06,71.50000012,0,-0.357594081,0.021048001,419.0892539,0.26791682,1.191746702,29.96585083,6,1.420000017,1,2.840000033,29.96725464,29.96585083,29.99305534,399.6281738,400.1287231,31.16432953,31.68294144,70.79033661,71.97646332,300.1416931,-0.114693344,0.264222056,96.59309387,-1.592894912,1.284693241,0.054457758,0.002952243,0.052185155,0.001983833,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500236155,0.000267917,303.1158508,303.1172546,-0.018350935,-0.133436591,4.252100038,44.02074587,12.33780443,29.96655273,4.252271516,0.020893156,3.060353336,1.191918179,0.013072047,40.48112764,1.047386078,71.08443191,400.2987062,-0.00063501
2,10:45:08,73.50000008,0,-0.341386989,0.021096692,417.8309646,0.26838382,1.191088748,29.96413612,6,1.420000017,1,2.840000033,29.96700859,29.96413612,29.99291611,399.6851196,400.1528625,31.16596031,31.68545151,70.79303741,71.9777832,300.1551819,-0.086320519,0.209504217,96.59298706,-1.592894912,1.284693241,0.054457758,0.002952243,0.052185155,0.001983833,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500258636,0.000268384,303.1141361,303.1170086,-0.013811283,-0.133419166,4.251681156,44.01645797,12.33100647,29.96557236,4.252032008,0.020941132,3.060592407,1.191439601,0.013102095,40.35954095,1.044178372,71.0980673,400.3151416,-0.000606321
3,10:45:10,75.50000003,0,-0.336584802,0.021116204,417.470681,0.268545939,1.19071558,29.9631176,6,1.420000017,1,2.840000033,29.9669342,29.9631176,29.99274635,399.7186279,400.1766052,31.1669693,31.6867466,70.79493713,71.97918701,300.1707764,-0.062232569,0.161167488,96.59296417,-1.592894912,1.284693241,0.054457758,0.002952243,0.052185155,0.001983833,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500284627,0.000268546,303.1131176,303.1169342,-0.009957211,-0.133328614,4.251432359,44.01389268,12.32714609,29.9650259,4.251898513,0.020960358,3.060716779,1.191181735,0.013114137,40.32473053,1.043216109,71.10564756,400.3366015,-0.000597824
4,10:45:12,77.49999999,0,-0.33351222,0.021119944,417.2562897,0.26853945,1.190478646,29.96242332,6,1.420000017,1,2.840000033,29.96704102,29.96242332,29.99251938,399.7455139,400.1973267,31.16768646,31.68743134,70.79606628,71.97953796,300.1820374,-0.060918286,0.136218876,96.59300232,-1.592894912,1.284693241,0.054457758,0.002952243,0.052185155,0.001983833,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500303396,0.000268539,303.1124233,303.117041,-0.009746926,-0.133214571,4.251262775,44.01211964,12.32468831,29.96473217,4.251826759,0.020964043,3.060784128,1.19104263,0.013116445,40.30403776,1.042626379,71.11029882,400.3558624,-0.000592377
