OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Jun 12 2016 12:03:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""12:03:06 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:03:09 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:03:09 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:03:09 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:03:09 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12:03:11,20.50000012,0,2.88151614,0.059924104,309.1444416,0.877288682,1.388119296,30.32884026,6,1.420000017,1,2.840000033,30.28681946,30.32884026,29.99663162,399.7509766,395.8786316,29.58432198,30.6042614,65.91616058,68.18636322,500.2884827,1199.460693,0.507492721,96.50514221,-0.216193661,1.356788516,0.024378706,0.005083005,0.02716713,0.002318342,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833814138,0.000877289,303.4788403,303.4368195,191.9137066,1.723706428,4.341587894,44.98815083,14.38388944,30.30782986,4.336363813,0.058685831,2.953468599,1.382895215,0.036787921,29.8340283,0.780907119,67.45810518,394.5088968,0.00492718
2,12:03:13,22.50000008,0,2.834179195,0.059935046,310.4530654,0.877192745,1.387715817,30.32738113,6,1.420000017,1,2.840000033,30.2863121,30.32738113,29.99543381,399.7160645,395.900116,29.5848732,30.6048069,65.91912079,68.19030762,500.2362976,1199.44165,0.547344029,96.50474548,-0.216193661,1.356788516,0.024378706,0.005083005,0.02716713,0.002318342,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833727163,0.000877193,303.4773811,303.4363121,191.9106598,1.723852583,4.341224917,44.98457454,14.37976764,30.30684662,4.336119472,0.058696325,2.9535091,1.382610372,0.036794519,29.96019406,0.78417018,67.46501791,394.5528829,0.004846193
3,12:03:15,24.50000003,0,2.799795998,0.059919166,311.37072,0.876706705,1.387302879,30.32606316,6,1.420000017,1,2.840000033,30.2859993,30.32606316,29.99445343,399.6864624,395.9117126,29.58637428,30.60581207,65.92262268,68.19329071,500.2018127,1199.42627,0.586730123,96.50435638,-0.216193661,1.356788516,0.024378706,0.005083005,0.02716713,0.002318342,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833669688,0.000876707,303.4760632,303.4359993,191.9081988,1.724206445,4.340897074,44.98135874,14.37554667,30.30603123,4.335916852,0.058681095,2.953594196,1.382322656,0.036784943,30.04863093,0.786465038,67.47210204,394.5808237,0.004787565
4,12:03:17,26.49999999,0,2.78011952,0.059918129,311.8972635,0.876389787,1.386822571,30.32446289,6,1.420000017,1,2.840000033,30.28562164,30.32446289,29.99313164,399.6591187,395.907959,29.5876503,30.60676384,65.92631531,68.1965332,500.1795959,1199.404175,0.602584243,96.50404358,-0.216193661,1.356788516,0.024378706,0.005083005,0.02716713,0.002318342,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83363266,0.00087639,303.4744629,303.4356216,191.9046637,1.724494216,4.340499043,44.97738003,14.37061619,30.30504227,4.335671111,0.0586801,2.953676471,1.38199464,0.036784318,30.09934711,0.787802459,67.48042143,394.5864233,0.004754437
5,12:03:19,28.49999994,0,2.775641995,0.059963067,312.0594598,0.876708645,1.386307498,30.32267761,6,1.420000017,1,2.840000033,30.28518295,30.32267761,29.99158096,399.6375427,395.8914795,29.58806801,30.60758972,65.92879486,68.19975281,500.1608276,1199.381714,0.606372237,96.50376129,-0.216193661,1.356788516,0.024378706,0.005083005,0.02716713,0.002318342,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833601379,0.000876709,303.4726776,303.435183,191.9010699,1.72448215,4.34005503,44.97291061,14.36532089,30.30393028,4.335394816,0.0587232,2.953747532,1.381647283,0.036811416,30.11491162,0.788244951,67.48973901,394.5720722,0.004747608
6,12:03:21,30.4999999,0,2.784597878,0.060029738,311.8863368,0.877396226,1.385885581,30.3213768,6,1.420000017,1,2.840000033,30.28495407,30.3213768,29.99051857,399.6314697,395.8742676,29.58830452,30.6086483,65.93016815,68.20252991,500.1492615,1199.368774,0.610674739,96.50363922,-0.216193661,1.356788516,0.024378706,0.005083005,0.02716713,0.002318342,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833582102,0.000877396,303.4713768,303.4349541,191.8989996,1.724265276,4.339731533,44.96961533,14.36096703,30.30316544,4.335204783,0.05878714,2.953845953,1.38135883,0.036851618,30.09816652,0.787841904,67.49799571,394.5506031,0.004763769
7,12:03:23,32.49999985,0,2.79916016,0.060109602,311.5836247,0.878331981,1.385559287,30.32056618,6,1.420000017,1,2.840000033,30.28493118,30.32056618,29.98999596,399.6369629,395.8618164,29.58849335,30.60993576,65.93087006,68.20510101,500.1434937,1199.367188,0.631766379,96.50365448,-0.216193661,1.356788516,0.024378706,0.005083005,0.02716713,0.002318342,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833572489,0.000878332,303.4705662,303.4349312,191.8987457,1.723905594,4.339529951,44.96751936,14.3575836,30.30274868,4.335101239,0.058863731,2.953970664,1.381130575,0.036899773,30.06895846,0.787101993,67.50504709,394.5312297,0.004789417
8,12:03:26,34.9999998,0,2.80273714,0.060241226,311.639525,0.87986183,1.384999719,30.31938934,6,1.420000017,1,2.840000033,30.2848568,30.31938934,29.98906326,399.6290283,395.8487244,29.58951187,30.61277199,65.93331146,68.21133423,500.1231689,1199.354492,0.696811318,96.50343323,-0.216193661,1.356788516,0.024378706,0.005083005,0.02716713,0.002318342,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833538615,0.000879862,303.4693893,303.4348568,191.8967145,1.723273768,4.339237316,44.96459008,14.35181809,30.30212307,4.334945809,0.058989949,2.954237597,1.380708211,0.036979132,30.07428409,0.787269242,67.51745568,394.5164374,0.004796598
9,12:03:28,36.99999975,0,2.820807329,0.060339389,311.2580656,0.880914501,1.384445278,30.31828499,6,1.420000017,1,2.840000033,30.28477478,30.31828499,29.98819351,399.6283569,395.8258362,29.59122467,30.61572266,65.93694305,68.21705627,500.1149902,1199.330444,0.758564174,96.50327301,-0.216193661,1.356788516,0.024378706,0.005083005,0.02716713,0.002318342,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833524984,0.000880915,303.468285,303.4347748,191.8928668,1.722847896,4.33896272,44.96181927,14.34609661,30.30152988,4.334798439,0.059084073,2.954517442,1.380280997,0.037038313,30.03742208,0.786351059,67.52950015,394.4849595,0.00482877
10,12:03:30,38.99999971,0,2.836737932,0.060484377,310.992597,0.88262694,1.383878246,30.31728935,6,1.420000017,1,2.840000033,30.28473282,30.31728935,29.98752975,399.6257019,395.8032532,29.59257889,30.61907196,65.9401474,68.2236557,500.1115417,1199.301392,0.801936984,96.50315094,-0.216193661,1.356788516,0.024378706,0.005083005,0.02716713,0.002318342,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833519236,0.000882627,303.4672894,303.4347328,191.8882184,1.722074995,4.338715169,44.95931093,14.34023897,30.30101109,4.334669554,0.059223084,2.954836923,1.379832631,0.037125717,30.01176553,0.785725217,67.54255568,394.4548038,0.004857351
