OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Jun 12 2016 12:15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""12:15:31 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:15:33 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:15:33 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:15:34 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:15:34 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12:15:36,26.0000002,0,-0.199052557,0.010119538,422.4790724,0.148248844,1.366012315,30.00976753,6,1.420000017,1,2.840000033,30.08913994,30.00976753,29.99007225,400.307312,400.5864563,29.73358917,30.02099228,67.00987244,67.65757751,300.2019043,-0.048957352,0.077152416,96.49342346,-0.13612774,1.345739841,0.038906619,0.001767507,0.024761638,0.001689314,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500336507,0.000148249,303.1597675,303.2391399,-0.007833176,-0.06314556,4.262840636,44.17752509,14.15653281,30.04945374,4.27256692,0.010083608,2.896828321,1.375738599,0.006305473,40.76645204,1.054651414,66.83887457,400.6810764,-0.000332046
2,12:15:38,28.00000016,0,-0.205439197,0.010246075,423.0782128,0.15004393,1.365542041,30.00849915,6,1.420000017,1,2.840000033,30.08979988,30.00849915,29.99046135,400.2869263,400.5773926,29.73173523,30.02260971,67.00079346,67.65412903,300.2103577,-0.020436894,0.084393263,96.49354553,-0.13612774,1.345739841,0.038906619,0.001767507,0.024761638,0.001689314,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500350596,0.000150044,303.1584991,303.2397999,-0.003269903,-0.063726527,4.262530098,44.17425098,14.15164127,30.04914951,4.272492288,0.010209242,2.896988057,1.37550423,0.006384075,40.82431679,1.056170969,66.84937614,400.6750485,-0.000342759
3,12:15:40,30.00000011,0,-0.209271671,0.010287696,423.5303562,0.150621109,1.365269755,30.00751495,6,1.420000017,1,2.840000033,30.08969879,30.00751495,29.99041939,400.2669678,400.5646362,29.73095703,30.02295113,66.99770355,67.65325928,300.2095337,0.009377483,0.138180345,96.49349213,-0.13612774,1.345739841,0.038906619,0.001767507,0.024761638,0.001689314,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500349223,0.000150621,303.157515,303.2396988,0.001500397,-0.063840449,4.262289153,44.17177842,14.1488273,30.04860687,4.272359169,0.010250564,2.897019398,1.375339771,0.006409928,40.86792309,1.057333369,66.85463337,400.664114,-0.00034919
4,12:15:42,32.00000007,0,-0.21953986,0.010295338,425.0739897,0.150721364,1.365167227,30.00714111,6,1.420000017,1,2.840000033,30.08937073,30.00714111,29.99034882,400.2308044,400.5489197,29.73090744,30.02309608,66.99690247,67.65344238,300.2092896,0.033349637,0.172615886,96.49339294,-0.13612774,1.345739841,0.038906619,0.001767507,0.024761638,0.001689314,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500348816,0.000150721,303.1571411,303.2393707,0.005335942,-0.063840925,4.262197635,44.17087538,14.1477793,30.04825592,4.272273077,0.010258151,2.897030408,1.375242669,0.006414675,41.01683152,1.061228651,66.85651276,400.6532784,-0.000366343
5,12:15:44,34.50000001,0,-0.232628478,0.010324753,426.9652303,0.151108181,1.364784787,30.00579453,6,1.420000017,1,2.840000033,30.08881378,30.00579453,29.99013138,400.177948,400.5219116,29.73077202,30.02370262,66.99704742,67.65523529,300.2172241,0.038589172,0.181597218,96.49320221,-0.13612774,1.345739841,0.038906619,0.001767507,0.024761638,0.001689314,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50036204,0.000151108,303.1557945,303.2388138,0.006174267,-0.063917207,4.261867995,44.1675465,14.14384388,30.04730415,4.272039606,0.010287354,2.897083208,1.374956398,0.006432946,41.1992423,1.066022152,66.86362363,400.6324921,-0.000388246
6,12:15:46,36.49999997,0,-0.240682268,0.010346297,428.1083688,0.151391994,1.364510238,30.00476456,6,1.420000017,1,2.840000033,30.08835411,30.00476456,29.9898262,400.1421509,400.5019836,29.73051834,30.02399445,66.99761963,67.6570282,300.2219238,0.026584193,0.176133528,96.49301147,-0.13612774,1.345739841,0.038906619,0.001767507,0.024761638,0.001689314,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500369873,0.000151392,303.1547646,303.2383541,0.004253471,-0.06400305,4.261615878,44.165021,14.14102656,30.04655933,4.271856907,0.010308741,2.897105641,1.374751267,0.006446327,41.30946574,1.068929459,66.86861846,400.6163925,-0.000401733
7,12:15:48,38.49999992,0,-0.248309947,0.010351638,429.2427973,0.15146119,1.364431491,30.00443649,6,1.420000017,1,2.840000033,30.08820915,30.00443649,29.98968887,400.1105042,400.4855347,29.73038864,30.02400208,66.9974823,67.65746307,300.2186584,0.018911753,0.165433958,96.49293518,-0.13612774,1.345739841,0.038906619,0.001767507,0.024761638,0.001689314,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500364431,0.000151461,303.1544365,303.2382092,0.00302588,-0.064026591,4.261535577,44.16422372,14.14022165,30.04632282,4.271798894,0.010314044,2.897104086,1.374694808,0.006449645,41.41889741,1.071805996,66.86998189,400.6035693,-0.000414487
8,12:15:50,40.49999988,0,-0.258973446,0.010373186,430.7684191,0.151753013,1.364230956,30.00369263,6,1.420000017,1,2.840000033,30.08818817,30.00369263,29.98956871,400.0609741,400.4570923,29.7300396,30.02421951,66.99517822,67.65645599,300.217804,0.023625782,0.16104053,96.49285126,-0.13612774,1.345739841,0.038906619,0.001767507,0.024761638,0.001689314,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500363007,0.000151753,303.1536926,303.2381882,0.003780125,-0.06406546,4.261353504,44.16237522,14.13815571,30.0459404,4.271705093,0.010335435,2.897122548,1.374582545,0.006463028,41.56607299,1.075691822,66.87371427,400.5801959,-0.000432336
9,12:15:52,42.49999983,0,-0.267019071,0.010372399,431.9666218,0.151723062,1.364064114,30.00290108,6,1.420000017,1,2.840000033,30.08781815,30.00290108,29.98927116,400.0075073,400.4197388,29.72986984,30.02399063,66.99523926,67.65718079,300.2189636,0.035646521,0.158358306,96.49269104,-0.13612774,1.345739841,0.038906619,0.001767507,0.024761638,0.001689314,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500364939,0.000151723,303.1529011,303.2378181,0.005703443,-0.063971795,4.261159766,44.16044076,14.13645013,30.04535961,4.271562639,0.010334654,2.897095652,1.374466987,0.006462539,41.68162177,1.078784535,66.87628765,400.5466668,-0.000445822
10,12:15:54,44.49999979,0,-0.274798192,0.010378283,433.1001048,0.151786396,1.36386247,30.00203514,6,1.420000017,1,2.840000033,30.08731651,30.00203514,29.98901749,399.9572449,400.3849792,29.72968102,30.02392197,66.99629211,67.65856171,300.2216492,0.042084657,0.148476273,96.49256897,-0.13612774,1.345739841,0.038906619,0.001767507,0.024761638,0.001689314,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500369415,0.000151786,303.1520351,303.2373165,0.006733545,-0.063942447,4.260947831,44.15830023,14.13437827,30.04467583,4.271394928,0.010340495,2.897085361,1.374309567,0.006466194,41.79094174,1.081709173,66.87964328,400.5156051,-0.000458869
11,12:15:56,46.49999974,0,-0.279175001,0.010389859,433.6966992,0.151928827,1.363627593,30.00102997,6,1.420000017,1,2.840000033,30.08695221,30.00102997,29.98894691,399.9212646,400.3576355,29.72931671,30.02383041,66.99678802,67.65965271,300.2250977,0.023634436,0.129613101,96.49249268,-0.13612774,1.345739841,0.038906619,0.001767507,0.024761638,0.001689314,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500375163,0.000151929,303.15103,303.2369522,0.00378151,-0.063959957,4.260701829,44.15578571,14.1319553,30.04399109,4.271226989,0.010351987,2.897074236,1.374152753,0.006473384,41.84847557,1.083273206,66.88361443,400.4903419,-0.000466234
12,12:15:58,48.4999997,0,-0.278843929,0.010381861,433.6631861,0.151802559,1.36354057,30.00037003,6,1.420000017,1,2.840000033,30.08677292,30.00037003,29.98901367,399.9051514,400.3409729,29.72881126,30.02308464,66.99645996,67.65929413,300.2207947,0.008563266,0.114321381,96.49240875,-0.13612774,1.345739841,0.038906619,0.001767507,0.024761638,0.001689314,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500367991,0.000151803,303.15037,303.2367729,0.001370123,-0.063859229,4.260540325,44.15415036,14.13106572,30.04357147,4.271124077,0.010344047,2.896999755,1.374124321,0.006468416,41.84520542,1.083234581,66.88442061,400.4735219,-0.000465707
13,12:16:01,50.99999964,0,-0.278505504,0.010356502,433.7092684,0.151443681,1.3636354,30.00024223,6,1.420000017,1,2.840000033,30.08662224,30.00024223,29.98917007,399.8999939,400.3354492,29.72821617,30.02180862,66.99552917,67.65740204,300.2060852,0.004000349,0.091887519,96.49230957,-0.13612774,1.345739841,0.038906619,0.001767507,0.024761638,0.001689314,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500343475,0.000151444,303.1502422,303.2366222,0.000640056,-0.063691895,4.260509051,44.15387164,14.13206302,30.04343224,4.271089929,0.010318873,2.896873652,1.374216277,0.006452666,41.84960899,1.083364636,66.88160652,400.4678374,-0.000465128
14,12:16:03,52.9999996,0,-0.276367316,0.010338018,433.4539383,0.151179132,1.363677568,29.99997711,6,1.420000017,1,2.840000033,30.08625221,29.99997711,29.98923874,399.9010315,400.332428,29.72766304,30.02074432,66.99552917,67.65646362,300.2046814,0.002224418,0.094661444,96.49216461,-0.13612774,1.345739841,0.038906619,0.001767507,0.024761638,0.001689314,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500341136,0.000151179,303.1499771,303.2362522,0.000355907,-0.063577653,4.260444171,44.15326559,14.13252126,30.04311466,4.271012045,0.010300522,2.896766603,1.374245442,0.006441185,41.82490876,1.082735017,66.87989196,400.4637998,-0.00046155
15,12:16:05,54.99999955,0,-0.277773439,0.01033554,433.6856444,0.151137924,1.363630026,29.99946594,6,1.420000017,1,2.840000033,30.08570099,29.99946594,29.98921204,399.9037476,400.3379822,29.7270031,30.02000237,66.99591827,67.65657043,300.2070923,0.00449333,0.088211805,96.49196625,-0.13612774,1.345739841,0.038906619,0.001767507,0.024761638,0.001689314,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500345154,0.000151138,303.1494659,303.235701,0.000718933,-0.063558571,4.260319081,44.15205998,14.13205761,30.04258347,4.270881773,0.010298063,2.896689055,1.374192718,0.006439646,41.84718056,1.083298772,66.88007891,400.4700224,-0.000463893
16,12:16:07,56.99999951,0,-0.277608955,0.010349767,433.6279379,0.151330033,1.363493104,29.99871826,6,1.420000017,1,2.840000033,30.08521652,29.99871826,29.9890976,399.9297791,400.3635254,29.72619247,30.01956558,66.9960556,67.65708923,300.20578,0.005874078,0.086478017,96.49183655,-0.13612774,1.345739841,0.038906619,0.001767507,0.024761638,0.001689314,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500342967,0.00015133,303.1487183,303.2352165,0.000939852,-0.063616179,4.26013612,44.15022319,14.13065761,30.04196739,4.27073069,0.010312186,2.896643015,1.374087675,0.006448482,41.84155611,1.083085522,66.88218661,400.4954874,-0.000463603
17,12:16:09,58.99999946,0,-0.275749546,0.01035581,433.3644544,0.151402357,1.363352039,29.99792671,6,1.420000017,1,2.840000033,30.08492851,29.99792671,29.98908806,399.9797363,400.4096985,29.72553253,30.01904869,66.9957428,67.65725708,300.2030334,0.002198288,0.079716176,96.491745,-0.13612774,1.345739841,0.038906619,0.001767507,0.024761638,0.001689314,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500338389,0.000151402,303.1479267,303.2349285,0.000351726,-0.063590677,4.25994243,44.14825777,14.12920908,30.04142761,4.270598321,0.010318186,2.896590391,1.37400793,0.006452236,41.81609242,1.082302592,66.88422019,400.5407766,-0.00046046
18,12:16:11,60.99999942,0,-0.272795465,0.010341278,433.0315955,0.151176291,1.363222617,29.99708176,6,1.420000017,1,2.840000033,30.08460808,29.99708176,29.98916245,400.0471191,400.471344,29.72520638,30.01828766,66.9956665,67.6568222,300.1997986,0.000644146,0.084674492,96.4916153,-0.13612774,1.345739841,0.038906619,0.001767507,0.024761638,0.001689314,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500332998,0.000151176,303.1470818,303.2346081,0.000103063,-0.063409919,4.259735682,44.14617445,14.12788679,30.04084492,4.270455432,0.010303759,2.896513065,1.373942367,0.00644321,41.78391812,1.081304822,66.88563679,400.6010179,-0.000455468
