OPEN 6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Jun 12 2016 10:16:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#3.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""10:16:02 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:16:04 Log Option: Logged values are 15 s averages""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:16:04 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:16:04 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:16:04 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:16:04 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10:16:06,33.00000022,0,-0.783774713,0.003909675,711.357339,0.051371541,1.225156388,29.73230362,6,1.420000017,1,2.840000033,29.93025017,29.73230362,30.02470779,400.4159546,401.9428406,30.61741066,30.71703911,69.69384766,69.92512512,299.8755493,0.079227537,0.08596646,96.69619751,1.95714283,0.817708135,0.055880662,0.001769121,0.050401177,0.001405394,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499792582,5.13715E-05,302.8823036,303.0802502,0.012676406,0.001351134,4.195377269,43.38720009,12.67016098,29.83127689,4.219334356,0.003904301,2.970220881,1.249113475,0.00244067,68.78554975,1.769797263,69.71550976,402.3154095,-0.00135817
2,10:16:08,35.00000018,0,-0.798552491,0.003876103,720.1543391,0.050868193,1.223654812,29.7264595,6,1.420000017,1,2.840000033,29.93053436,29.7264595,30.03333092,400.3755188,401.9324341,30.61929703,30.71795273,69.72483826,69.95291901,299.8648376,0.029528938,0.05706498,96.6962738,1.95714283,0.817708135,0.055880662,0.001769121,0.050401177,0.001405394,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499774729,5.08682E-05,302.8764595,303.0805344,0.00472463,0.002340974,4.19396638,43.37257491,12.65462219,29.82849693,4.218659825,0.00387082,2.970311568,1.248348257,0.002419737,69.63624115,1.791729848,69.74230978,402.3120277,-0.001384321
3,10:16:10,37.00000013,0,-0.809650063,0.003876978,724.6029937,0.050822891,1.222298675,29.72102356,6,1.420000017,1,2.840000033,29.93146706,29.72102356,30.04870224,400.3242493,401.9035034,30.61981392,30.7183876,69.73535156,69.96252441,299.8469238,0.036264274,0.074888244,96.69634247,1.95714283,0.817708135,0.055880662,0.001769121,0.050401177,0.001405394,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499744873,5.08229E-05,302.8710236,303.0814671,0.005802284,0.003237285,4.192654403,43.35897611,12.6405885,29.82624531,4.218113559,0.003871693,2.970355728,1.247757831,0.002420282,70.06645923,1.802927786,69.76660152,402.2883723,-0.00140413
