OPEN 6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Jun 12 2016 11:11:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#3.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""11:11:41 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:11:42 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:11:42 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:11:42 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:11:42 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11:11:44,10.50000073,0,10.88069824,0.076797053,148.0638528,1.256130948,1.558614721,31.54651833,6,1.420000017,1,2.840000033,30.0916214,31.54651833,29.9820137,400.8179321,387.168335,30.56349373,32.02355957,68.93862915,72.22013855,499.6645203,1199.943115,1.810846329,96.65589142,2.142764568,0.82328707,0.069323242,0.005052354,0.078699857,0.006333591,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8327742,0.001256131,304.6965183,303.2416214,191.9908941,1.340776955,4.653880417,48.1489576,16.12539803,30.81906986,4.465046621,0.074775045,3.095265697,1.369780924,0.046911957,14.31124368,0.382427589,66.02938003,381.9961721,0.018807669
2,11:11:46,12.50000068,0,10.91761366,0.076826108,147.3780509,1.255427053,1.557179758,31.54071045,6,1.420000017,1,2.840000033,30.09017944,31.54071045,29.99097824,400.8618164,387.167572,30.56324196,32.02256012,68.95554352,72.2408371,499.6408997,1199.889648,1.808939576,96.65579224,2.142764568,0.82328707,0.069323242,0.005052354,0.078699857,0.006333591,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832734833,0.001255427,304.6907104,303.2401794,191.9823395,1.341643382,4.652345676,48.13312858,16.11056846,30.81544495,4.464122622,0.07480259,3.095165918,1.368956704,0.046929303,14.24494227,0.380657011,66.05009529,381.9778614,0.018878304
3,11:11:48,14.50000064,0,10.9285674,0.076934029,147.4829684,1.255629498,1.555319595,31.53373909,6,1.420000017,1,2.840000033,30.08824539,31.53373909,30.00732803,400.8875427,387.1795349,30.56313324,32.02273941,68.96656036,72.25445557,499.6227722,1199.852295,1.818408966,96.65583038,2.142764568,0.82328707,0.069323242,0.005052354,0.078699857,0.006333591,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83270462,0.001255629,304.6837391,303.2382454,191.9763629,1.342183716,4.650504064,48.11405629,16.09131688,30.81099224,4.462987846,0.074904897,3.095184469,1.367803377,0.046993733,14.25508878,0.380916229,66.07881159,381.9846174,0.018905126
4,11:11:50,16.50000059,0,10.87554412,0.077071255,149.0238934,1.256704224,1.553960795,31.52907562,6,1.420000017,1,2.840000033,30.08691978,31.52907562,30.02928162,400.8489685,387.20401,30.56320763,32.02407074,68.97460175,72.26595306,499.6194763,1199.84668,1.809597969,96.65578461,2.142764568,0.82328707,0.069323242,0.005052354,0.078699857,0.006333591,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832699127,0.001256704,304.6790756,303.2369198,191.9754645,1.342108983,4.649272478,48.1013371,16.07726636,30.8079977,4.462224826,0.075034973,3.095311684,1.366913142,0.047075651,14.40402135,0.384871772,66.10126474,382.0342972,0.018817348
