OPEN 6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Jun 12 2016 11:00:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#3.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""11:00:03 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:00:04 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:00:04 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:00:04 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:00:04 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11:00:07,14.00000016,0,-0.765954222,0.009760049,517.1305023,0.130469749,1.248058065,29.98490143,6,1.420000017,1,2.840000033,30.03369522,29.98490143,29.98688126,399.6158752,401.043396,30.86845398,31.12131882,69.86611938,70.44049072,299.945282,-0.100904316,0.055711921,96.67643738,1.892126799,0.83163482,0.03462464,0.002382757,0.027814478,0.003475721,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499908803,0.00013047,303.1349014,303.1836952,-0.01614469,-0.058537923,4.256756295,44.03095946,12.90964064,30.00929832,4.262725758,0.009726622,3.00869823,1.254027528,0.006082133,49.99433462,1.289462705,69.64014669,401.4074939,-0.001328853
2,11:00:09,16.00000011,0,-0.749540898,0.009868064,513.1484682,0.131674909,1.245862104,29.97657013,6,1.420000017,1,2.840000033,30.0323143,29.97657013,29.99688911,399.6510925,401.0448303,30.86768532,31.12288857,69.88519287,70.46284485,299.9416504,-0.067637265,0.045717526,96.67667389,1.892126799,0.83163482,0.03462464,0.002382757,0.027814478,0.003475721,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499902751,0.000131675,303.1265701,303.1823143,-0.010821962,-0.058136676,4.254719452,44.00978314,12.88689457,30.00444221,4.261536978,0.009833895,3.008857348,1.252679629,0.006149245,49.60948712,1.279528944,69.68051453,401.4011262,-0.001301152
3,11:00:11,18.00000007,0,-0.734454842,0.009907747,510.2519223,0.131976978,1.243750872,29.9679985,6,1.420000017,1,2.840000033,30.03033447,29.9679985,30.01486397,399.6673584,401.0307312,30.867239,31.12303734,69.89685059,70.47569275,299.9302979,-0.016699955,0.039466955,96.67674255,1.892126799,0.83163482,0.03462464,0.002382757,0.027814478,0.003475721,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.49988383,0.000131977,303.1179985,303.1803345,-0.002671993,-0.057302521,4.252624741,43.98808471,12.86504737,29.99916649,4.260245802,0.009873303,3.008873868,1.251371934,0.0061739,49.32949373,1.272351176,69.71774533,401.3798559,-0.001275713
4,11:00:13,20.00000002,0,-0.725681934,0.009920752,508.6846139,0.132013721,1.242479463,29.96274185,6,1.420000017,1,2.840000033,30.02910042,29.96274185,30.03804016,399.6652222,401.0110474,30.8670578,31.12293243,69.90494537,70.4841156,299.9243774,0.030306498,0.043817163,96.67665863,1.892126799,0.83163482,0.03462464,0.002382757,0.027814478,0.003475721,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499873962,0.000132014,303.1127419,303.1791004,0.00484904,-0.056691257,4.251340578,43.97483982,12.85190739,29.99592113,4.259451708,0.009886218,3.008861115,1.250590593,0.006181979,49.17792877,1.268505238,69.73991121,401.3560018,-0.00126095
