Campaign,Tree_tag,repeat,date,code branch,leaf,code leaf,leaf fresh weight,dry weight,Leaf_2018,Leaf area,LMA,resp,photo,day,month,monthday_code,SampleID
'C1',177,1,19-janv-16,'C1_177_1',L1,C1_177_1_L1,0.69,0.305,'T',30.55186408,99.8302425,NaN,NaN,19,1,JAN19,T177_JAN19_L1
'C1',177,1,19-janv-16,'C1_177_1',L2,C1_177_1_L2,0.85,0.381,'T',38.87969459,97.99459692,NaN,NaN,19,1,JAN19,T177_JAN19_L2
'C1',177,1,19-janv-16,'C1_177_1',L3,C1_177_1_L3,0.64,0.301,'T',31.92756913,94.27589015,NaN,NaN,19,1,JAN19,T177_JAN19_L3
'C1',177,1,19-janv-16,'C1_177_1',L4,C1_177_1_L4,0.77,0.325,'T',33.03845096,98.37022941,NaN,NaN,19,1,JAN19,T177_JAN19_L4
'C1',177,1,19-janv-16,'C1_177_1',L5,C1_177_1_L5,0.77,0.346,'T',33.05427156,104.6763349,NaN,NaN,19,1,JAN19,T177_JAN19_L5
'C1',229,1,19-janv-16,'C1_229_1',L1,C1_229_1_L1,1.19,0.503,'T',44.37769982,113.3452166,NaN,NaN,19,1,JAN19,T229_JAN19_L1
'C1',229,1,19-janv-16,'C1_229_1',L2,C1_229_1_L2,1.5,0.614,'T',57.04883753,107.6270835,NaN,NaN,19,1,JAN19,T229_JAN19_L2
'C1',229,1,19-janv-16,'C1_229_1',L3,C1_229_1_L3,1.22,0.492,'T',46.67100014,105.4187822,NaN,NaN,19,1,JAN19,T229_JAN19_L3
'C1',229,1,19-janv-16,'C1_229_1',L4,C1_229_1_L4,1.08,0.443,'T',43.34523318,102.2027032,NaN,NaN,19,1,JAN19,T229_JAN19_L4
'C1',229,1,19-janv-16,'C1_229_1',L5,C1_229_1_L5,1.41,0.59,'T',52.06397029,113.3221298,NaN,NaN,19,1,JAN19,T229_JAN19_L5
'C1',238,1,19-janv-16,'C1_238_1',L1,C1_238_1_L1,2.28,0.991,'T',112.483354,88.10192487,NaN,NaN,19,1,JAN19,T238_JAN19_L1
'C1',238,1,19-janv-16,'C1_238_1',L2,C1_238_1_L2,1.72,0.765,'T',86.9874123,87.94375873,NaN,NaN,19,1,JAN19,T238_JAN19_L2
'C1',238,1,19-janv-16,'C1_238_1',L3,C1_238_1_L3,1.81,0.729,'T',96.1828312,75.79315257,NaN,NaN,19,1,JAN19,T238_JAN19_L3
'C1',238,1,19-janv-16,'C1_238_1',L4,C1_238_1_L4,1.34,0.525,'T',79.67780988,65.89036531,NaN,NaN,19,1,JAN19,T238_JAN19_L4
'C1',238,1,19-janv-16,'C1_238_1',L5,C1_238_1_L5,1.72,0.751,'T',87.87838767,85.45900987,NaN,NaN,19,1,JAN19,T238_JAN19_L5
'C1',375,1,19-janv-16,'C1_375_1',L1,C1_375_1_L1,2.47,0.996,'T',99.25200655,100.350616,-0.384207079,1.077864327,19,1,JAN19,T375_JAN19_L1
'C1',375,1,19-janv-16,'C1_375_1',L2,C1_375_1_L2,1.96,0.781,'T',76.14595184,102.5661878,-1.210523096,1.212426984,19,1,JAN19,T375_JAN19_L2
'C1',375,1,19-janv-16,'C1_375_1',L3,C1_375_1_L3,2.93,1.103,'T',107.0141042,103.0705259,-1.259288739,0.639867491,19,1,JAN19,T375_JAN19_L3
'C1',375,1,19-janv-16,'C1_375_1',L4,C1_375_1_L4,3.89,1.477,'T',138.8312943,106.3881171,-1.137183199,1.949644278,19,1,JAN19,T375_JAN19_L4
'C1',375,1,19-janv-16,'C1_375_1',L5,C1_375_1_L5,3.96,1.563,'T',135.975376,114.9472828,NaN,1.168107548,19,1,JAN19,T375_JAN19_L5
'C1',385,1,19-janv-16,'C1_385_1',L1,C1_385_1_L1,1.62,0.779,'T',87.87352918,88.65013244,NaN,NaN,19,1,JAN19,T385_JAN19_L1
'C1',385,1,19-janv-16,'C1_385_1',L2,C1_385_1_L2,0.78,0.449,'T',44.26876023,101.425926,NaN,NaN,19,1,JAN19,T385_JAN19_L2
'C1',385,1,19-janv-16,'C1_385_1',L3,C1_385_1_L3,1.63,0.885,'T',94.20573669,93.94332353,NaN,NaN,19,1,JAN19,T385_JAN19_L3
'C1',385,1,19-janv-16,'C1_385_1',L4,C1_385_1_L4,2.25,0.961,'T',105.4789215,91.10825048,-0.702718352,NaN,19,1,JAN19,T385_JAN19_L4
'C1',385,1,19-janv-16,'C1_385_1',L5,C1_385_1_L5,1.97,0.853,'T',93.44120627,91.28734892,-0.71604977,NaN,19,1,JAN19,T385_JAN19_L5
'C1',1477,1,19-janv-16,'C1_1477_1',L1,C1_1477_1_L1,1.45,1.15,'T',NaN,NaN,-0.017745068,6.437812779,19,1,JAN19,T1477_JAN19_L1
'C1',1477,1,19-janv-16,'C1_1477_1',L2,C1_1477_1_L2,1.04,0.942,'T',NaN,NaN,-0.102222394,NaN,19,1,JAN19,T1477_JAN19_L2
'C1',1477,1,19-janv-16,'C1_1477_1',L3,C1_1477_1_L3,2.42,1.814,'T',NaN,NaN,NaN,NaN,19,1,JAN19,T1477_JAN19_L3
'C1',1477,1,19-janv-16,'C1_1477_1',L4,C1_1477_1_L4,2.73,1.904,'T',NaN,NaN,NaN,NaN,19,1,JAN19,T1477_JAN19_L4
'C1',1477,1,19-janv-16,'C1_1477_1',L5,C1_1477_1_L5,2.15,1.535,'T',NaN,NaN,NaN,8.862084707,19,1,JAN19,T1477_JAN19_L5
'C1',281,1,19-janv-16,'C1_281_1',L1,C1_281_1_L1,2.22,1.029,'T',143.546774,71.6839516,-0.660925634,NaN,19,1,JAN19,T281_JAN19_L1
'C1',281,1,19-janv-16,'C1_281_1',L2,C1_281_1_L2,3.58,1.969,'T',196.4632687,100.2222967,-0.823423777,NaN,19,1,JAN19,T281_JAN19_L2
'C1',281,1,19-janv-16,'C1_281_1',L3,C1_281_1_L3,3.05,1.783,'T',150.9239923,118.1389369,-1.298249926,0.798411612,19,1,JAN19,T281_JAN19_L3
'C1',281,1,19-janv-16,'C1_281_1',L4,C1_281_1_L4,1.83,0.953,'T',96.15167148,99.11424163,-0.49445488,NaN,19,1,JAN19,T281_JAN19_L4
'C1',281,1,19-janv-16,'C1_281_1',L5,C1_281_1_L5,3.25,1.584,'T',158.7338699,99.78966688,-0.656386074,0.535373803,19,1,JAN19,T281_JAN19_L5
'C1',331,1,19-janv-16,'C1_331_1',L1,C1_331_1_L1,1.83,0.873,'T',133.9547261,65.17127282,-0.792078792,NaN,19,1,JAN19,T331_JAN19_L1
'C1',331,1,19-janv-16,'C1_331_1',L2,C1_331_1_L2,2.38,1.253,'T',162.2598769,77.22180147,-1.377791049,NaN,19,1,JAN19,T331_JAN19_L2
'C1',331,1,19-janv-16,'C1_331_1',L3,C1_331_1_L3,1.97,1.04,'T',139.6712382,74.46056994,-1.324174162,NaN,19,1,JAN19,T331_JAN19_L3
'C1',331,1,19-janv-16,'C1_331_1',L4,C1_331_1_L4,1.68,0.829,'T',107.0327281,77.45294497,NaN,NaN,19,1,JAN19,T331_JAN19_L4
'C1',331,1,19-janv-16,'C1_331_1',L5,C1_331_1_L5,2.69,1.383,'T',180.5635471,76.593533,NaN,NaN,19,1,JAN19,T331_JAN19_L5
'C1',358,1,19-janv-16,'C1_358_1',L1,C1_358_1_L1,4.33,2.039,'T',226.1234695,90.17197571,NaN,NaN,19,1,JAN19,T358_JAN19_L1
'C1',358,1,19-janv-16,'C1_358_1',L2,C1_358_1_L2,7.56,3.461,'T',355.8810099,97.25160668,-1.297346243,1.918779299,19,1,JAN19,T358_JAN19_L2
'C1',358,1,19-janv-16,'C1_358_1',L3,C1_358_1_L3,4.01,1.776,'T',180.3725551,98.46287308,-1.134546462,4.712569053,19,1,JAN19,T358_JAN19_L3
'C1',358,1,19-janv-16,'C1_358_1',L4,C1_358_1_L4,5.45,2.683,'T',260.9117899,102.8316889,-1.026721067,3.453647376,19,1,JAN19,T358_JAN19_L4
'C1',358,1,19-janv-16,'C1_358_1',L5,C1_358_1_L5,1.95,0.887,'T',84.06226136,105.5170282,-1.156171539,2.750486063,19,1,JAN19,T358_JAN19_L5
'C1',330,1,19-janv-16,'C1_330_1',L1,C1_330_1_L1,0.7,0.419,'T',NaN,NaN,NaN,NaN,19,1,JAN19,T330_JAN19_L1
