SampleID,obs,time,elapsed,date,hhmmss,averaging,scientist,site,tree_tag,tree_id,species,branch_number,leaf_number,leaf_position,is_compound,curve_number,data_qc,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME.1,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,FALSE.,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time.1,hhmmss.1,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,Adyn.MN,Adyn.SLP,Adyn.SD,Adyn.OK,Asty.MN,Asty.SLP,Asty.SD,Asty.OK,ΔCO2.MN,ΔCO2.SLP,ΔCO2.SD,ΔCO2.OK,Ci.MN,Ci.SLP,Ci.SD,Ci.OK,ΔH2O.MN,ΔH2O.SLP,ΔH2O.SD,ΔH2O.OK,VPDleaf.MN,VPDleaf.SLP,VPDleaf.SD,VPDleaf.OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_.,Flow_.,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_.,Desiccant_.,Humidifier_.,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA.,A.MN,A.SLP,A.SD,A.OK,uni_id
2022-10-06-T1B1L1,1,1665071052,0,20221006 11:44:11,11:44:11,1,Maquelle,bci,19127,t1,NA,b1,l1,NA,NA,NA,exclude,1665071048,0.000691925,0.691925427,1.111016193,397.1695702,317.8492699,31.69152282,39.60024355,0.027523155,2.924328244,0.02738005,0.017125327,321.5192821,32.10140511,30.94042143,4.496075699,47.27367921,2.059216602,4.355947404,2.436859097,-30.51391133,-87.33262796,-6.684047765,196.988695,1,0,1,0,52195,2000.016429,1681.214142,0.840600166,0.160758321,6,0.5,0: Broadleaf,2,1665071048,397.1695714,398.8287857,20.65285714,19.84154286,395.7303571,20.61726429,501.1388571,99.61283571,0.093301214,30.38647857,30.94042143,999.9,0,0,10009.01643,0,81.22032143,-1.659309934,405.5442857,406.9023571,0.811321761,398.8287857,19.84154286,2.05729,1.976472143,17.88318571,17.25672857,2000.016429,0.979995143,0.020005029,0,2.813785714,0,38116.28571,17412.45714,39.8255,40.9595,39.875,39.25,39.937,1960.006429,40.01142857,0,1665071051,0,1665071045,11:44:04,1665071045,1665071043,4,0.004,-0.001,1.444,0.035,399,20,0.45,0.06,0,0,0,-1,0,0,0,0,-0.77308833,-13.99211027,1.247803897,0,738.7097267,2282.70738,3137.448558,0,0.285173306,4.079360176,0.532103424,0,2.499950443,-0.728296054,0.067430771,1,1,5,01-mai,2.94392,2.78952,0.0875653,0.0882886,0.100924,0.0960738,18905.1,19819.1,24082.2,25284.3,34653.8,36500.1,43900.5,46747.5,1.98213,1.92148,0.133269,0,28.7667,999.9,66.6,30.1,28.6487,64.4897,21.3782,1,0.193077,0.386223,20.3205,5.21909,11.9068,5.00455,3.29063,9999,9999,9999,999.9,1.85944,1.85439,1.8576,1.85595,1.85483,1.85454,1.8531,1.85635,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,1.436,0.0363,0.36178663,0.003420174,-1.94E-06,4.55E-10,-0.057981616,0.0151129,-0.000839346,1.58E-05,1,2154,2,24,0.1,0.1,1.00708,2.29126,1.4978,2.30469,1.54785,2.27051,34.3269,15.5417,18,494.993,521.414,27.7837,29.6847,29.9992,29.4987,29.5838,20.176,34.552,74.0241,27.8772,400,20.0805,101.522,101.308,NA,NA,NA,NA,NA,t1b1l1
2022-10-06-T1B1L1,2,1665071441,388.9000001,20221006 11:50:40,11:50:40,1,Maquelle,bci,19127,t1,NA,b1,l1,NA,NA,NA,exclude,1665071433,0.000705266,0.705265721,1.496385973,397.838966,301.2298582,30.03322224,39.66534444,0.029001435,2.921874653,0.028842461,0.018040748,321.516103,32.0361616,31.03842903,4.521272763,49.8840474,2.165073524,4.340212225,2.35619924,-31.10221828,-112.6485373,-8.630343622,169.1350038,0,0,1,0,52153,2000.000645,1681.200542,0.8406,0.160758,6,0.5,0: Broadleaf,2,1665071433,397.8389677,399.9707097,21.71544516,20.88774516,396.3319677,21.67744516,500.1453871,99.6019871,0.100022584,30.32330968,31.03842903,999.9,0,0,9996.099032,0,1122.884194,-2.197464839,406.6020968,408.5034194,0.826118129,399.9707097,20.88774516,2.162743226,2.080460645,18.68897742,18.07037419,2000.000645,0.979999,0.0200012,0,2.507806452,0,34824.03871,17412.31935,40,41.792,40.125,39.627,40.10467742,1960.000645,40,0,1665071441,0,1665071472,11:51:11,1665071472,1665071460,5,0.061,0.002,1.507,0.038,400,21,0.69,0.1,0,0,0,-1,0,0,0,-1,-2.19703,0.023597953,0.029192337,1,297.8554839,0.687680652,1.676982656,1,0.827153875,-0.040260371,0.00559715,1,2.356638763,-0.009095467,0.001192919,1,4,4,04-avr,2.94474,2.80112,0.0880024,0.0884513,0.101047,0.0983641,18893.2,19811.5,24079.1,25279.7,34644.7,36400.9,43895.2,46739.4,1.9865,1.9196,0.123642,0,29.011,999.9,65,30.5,28.6127,64.7097,22.1114,1,0.200945,1.21821,20.3157,5.22133,11.9062,5.00525,3.291,9999,9999,9999,999.9,1.85945,1.85445,1.8576,1.85608,1.85486,1.85455,1.85317,1.85638,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,1.507,0.038,0.36178663,0.003420174,-1.94E-06,4.55E-10,-0.057981616,0.0151129,-0.000839346,1.58E-05,1,2154,2,24,6.6,6.6,1.01929,2.28271,1.4978,2.30347,1.54785,2.31934,34.6921,15.4542,18,498.128,520.892,26.9952,29.7793,30.0004,29.5717,29.6731,20.4255,31.0867,63.4631,26.9757,400,20.9249,101.51,101.29,NA,NA,NA,NA,NA,t1b1l1
2022-10-06-T1B1L1,3,1665071604,552.4000001,20221006 11:53:24,11:53:24,1,Maquelle,bci,19127,t1,NA,b1,l1,NA,NA,NA,ok,1665071596,0.000702272,0.702271532,1.043580354,298.4870321,230.5765359,22.98738585,29.75773989,0.029101258,2.921975606,0.028941196,0.018102555,321.5116908,31.9594728,30.96802333,4.503159551,50.10229205,2.16490998,4.320979921,2.338249571,-30.97017455,-113.76679,-8.709350473,168.0653758,0,0,1,0,52089,1999.973,1681.17732,0.840600008,0.160758016,6,0.5,0: Broadleaf,2,1665071596,298.4870333,299.9904667,21.71527667,20.89107333,297.2557667,21.67887667,500.1349667,99.59526,0.099992003,30.24583,30.96802333,999.9,0,0,9997.350333,0,193.4864,-1.503349,305.1127,306.3913,0.8241986,299.9904667,20.89107333,2.162739,2.080652667,18.68894333,18.07182333,1999.973,0.9800006,0.019999653,0,2.589633333,0,33782.07667,17412.08,40.312,42.125,40.5,40.00413333,40.40393333,1959.973,40,0,1665071604,0,1665071528,11:52:08,1665071528,1665071528,6,-0.049,-0.002,1.235,0.036,300,21,0.55,0.11,0,0,0,-1,0,0,0,-1,-1.501623548,0.01089629,0.022694357,1,230.6438415,0.457554176,1.012069105,1,0.823117732,0.011002286,0.003506611,1,2.338549192,-0.026798266,0.002356265,1,5,5,05-mai,2.94446,2.80128,0.0700827,0.0704441,0.101029,0.0983234,19258.9,20196.7,24073,25272.9,34636.3,36392.6,43884.9,46727.5,1.98485,1.91513,0.123832,0,28.9496,999.9,64.6,30.6,28.6007,64.5397,22.5641,1,0.21202,0.826062,20.3188,5.22163,11.9071,5.0052,3.291,9999,9999,9999,999.9,1.85944,1.85441,1.8576,1.85605,1.85485,1.85455,1.85317,1.85637,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,1.231,0.0364,0.373928137,0.003420174,-1.94E-06,4.55E-10,-0.058004983,0.0151129,-0.000839346,1.58E-05,1,2154,2,24,1.3,1.3,0.812988,2.30347,1.4978,2.30347,1.54785,2.33398,34.8296,15.4367,18,498.104,518.856,27.1605,29.9186,30.0002,29.6982,29.7935,16.3166,31.1425,60.4349,27.1867,300,20.8638,101.485,101.264,NA,NA,NA,NA,NA,t1b1l1
2022-10-06-T1B1L1,4,1665071731,678.9000001,20221006 11:55:30,11:55:30,1,Maquelle,bci,19127,t1,NA,b1,l1,NA,NA,NA,ok,1665071723,0.000741034,0.741033751,0.527063725,199.2084833,164.3944024,16.38841249,19.85901434,0.03056581,2.92299446,0.030389347,0.019009111,321.5131684,32.00922918,30.98591613,4.507756813,49.77267186,2.158132914,4.335979632,2.349623899,-32.67958843,-107.0994942,-8.199253266,173.5348325,0,0,1,0,52033,1999.982258,1681.185097,0.840600005,0.16075801,6,0.5,0: Broadleaf,2,1665071723,199.2084839,200.017871,21.64852581,20.7787871,198.2008065,21.61156452,500.1443226,99.58956129,0.100040365,30.30628387,30.98591613,999.9,0,0,10003.73839,0,253.5372903,-0.809365548,203.6164839,204.2621613,0.869730742,200.017871,20.7787871,2.155965806,2.069350323,18.63880968,17.98519677,1999.982258,0.980000452,0.019999797,0,2.907870968,0,32974.73548,17412.14516,40.375,41.923,40.55,39.94106452,40.437,1959.982258,40,0,1665071730,0,1665071667,11:54:27,1665071667,1665071666,7,0.028,0.001,1.01,0.036,200,21,0.62,0.15,0,0,0,-1,0,0,0,-1,-0.809220367,0.06248065,0.049798198,1,164.422143,-0.58686611,2.182742798,1,0.87551075,-0.123513006,0.012491789,1,2.349196076,0.016124445,0.00157866,1,5,5,05-mai,2.94445,2.80114,0.0496909,0.0499481,0.100758,0.0979266,19678.9,20640.1,24070.6,25270.9,34643,36404.5,43881.3,46723.2,1.98405,1.91262,0.138305,0,28.7494,999.9,64.2,30.8,28.7519,64.4796,21.7388,1,0.215513,0.308467,20.321,5.21774,11.9042,5.00495,3.291,9999,9999,9999,999.9,1.85944,1.85442,1.85761,1.85607,1.85486,1.85455,1.85318,1.85638,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,1.008,0.0369,0.40236164,0.003420174,-1.94E-06,4.55E-10,-0.057391921,0.0151129,-0.000839346,1.58E-05,1,2154,2,24,1.1,1.1,0.598145,2.30469,1.4978,2.30347,1.54785,2.44141,34.9674,15.4279,18,498.046,517.608,28.1323,29.9631,30.0002,29.7534,29.8476,12.0086,31.4706,57.4227,28.1367,200,20.8278,101.476,101.255,NA,NA,NA,NA,NA,t1b1l1
2022-10-06-T1B1L1,5,1665071852,800.4000001,20221006 11:57:32,11:57:32,1,Maquelle,bci,19127,t1,NA,b1,l1,NA,NA,NA,ok,1665071844,0.000740856,0.740856427,-0.060508017,99.96417007,99.26815296,9.895481403,9.964863417,0.030711185,2.921924683,0.030532979,0.019099036,321.5153084,32.03414761,30.98746,4.508153677,49.9864511,2.170423719,4.342024032,2.337729958,-32.67176845,-103.4741063,-7.925614962,177.4438187,0,0,1,0,52086,1999.995667,1681.19636,0.840600001,0.160758003,6,0.5,0: Broadleaf,2,1665071844,99.96417,99.98042667,21.77296333,20.90354,99.13226,21.73401667,500.1424,99.58423667,0.100114337,30.33059333,30.98746,999.9,0,0,9998.166333,0,755.8196667,-0.016248059,102.1891,102.115,0.8694249,99.98042667,20.90354,2.168243667,2.081663,18.72959333,18.07955,1999.995667,0.9800004,0.019999847,0,2.6794,0,32196.67333,17412.27667,40.375,41.7458,40.5,39.8666,40.437,1959.995667,40,0,1665071852,0,1665071792,11:56:32,1665071791,1665071792,8,0.109,0.002,0.832,0.038,100,21,0.27,0.12,0,0,0,-1,0,0,0,-1,-0.013466119,-0.00904339,0.051024494,1,99.44949578,1.364347188,2.196237893,1,0.869952024,0.00541846,0.004493269,1,2.338009678,-0.02546853,0.002122028,1,5,5,05-mai,2.94465,2.80117,0.026262,0.0263899,0.101163,0.0983325,20162.9,21151,24069.5,25270.2,34624.9,36386.1,43879.4,46722,1.98388,1.91055,0.137109,0,28.7469,999.9,63.8,30.9,28.7371,64.5796,21.9832,1,0.218008,0.587854,20.32,5.22118,11.9069,5.00375,3.29103,9999,9999,9999,999.9,1.85944,1.85441,1.8576,1.85607,1.85486,1.85455,1.85318,1.85638,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,0.832,0.0389,0.511460648,0.003420174,-1.94E-06,4.55E-10,-0.055525576,0.0151129,-0.000839346,1.58E-05,1,2154,2,24,1,1,0.375977,2.34863,1.4978,2.30225,1.54785,2.39136,35.0364,15.3929,18,498.222,516.511,27.7047,29.9952,30.0002,29.7906,29.8854,7.56345,30.9268,54.7747,27.7173,100,20.8965,101.472,101.252,NA,NA,NA,NA,NA,t1b1l1
2022-10-06-T1B1L1,6,1665071987,934.9000001,20221006 11:59:46,11:59:46,1,Maquelle,bci,19127,t1,NA,b1,l1,NA,NA,NA,ok,1665071979,0.00076729,0.767289975,-0.372731885,50.39923914,66.99221712,6.677913932,5.023893755,0.031761776,2.92189654,0.031571208,0.019749031,321.5171841,32.06441267,31.03394194,4.520116481,50.07504324,2.17890404,4.3512774,2.341212442,-33.8374879,-104.9418213,-8.041433997,174.696441,0,0,1,0,52014,2000.007419,1681.206232,0.840599998,0.160757996,6,0.5,0: Broadleaf,2,1665071979,50.39923871,49.99847419,21.85856452,20.9581871,49.63050968,21.82323226,500.1356774,99.58186774,0.100068742,30.36775161,31.03394194,999.9,0,0,9998.243548,0,433.3957742,0.400754871,51.52550645,51.06879355,0.900372,49.99847419,20.9581871,2.176716452,2.087056129,18.79197097,18.12073548,2000.007419,0.980001226,0.019999048,0,2.808870968,0,31300.89032,17412.3871,40.379,41.812,40.5,39.875,40.437,1960.007419,40,0,1665071987,0,1665071916,11:58:36,1665071916,1665071910,9,0.092,-0.004,0.767,0.034,50,21,0.52,0.1,0,0,0,-1,0,0,0,-1,0.400803,-0.094993762,0.017852169,1,66.92552273,-1.933196407,0.838517199,1,0.901000325,0.00672161,0.004451419,1,2.341169532,-0.001605291,0.000637534,1,5,5,05-mai,2.94438,2.80129,0.0134024,0.0134393,0.101465,0.0985035,20426.1,21430.5,24066.4,25268.5,34608.3,36375.5,43873.8,46718,1.9835,1.9085,0.136256,0,28.8194,999.9,63.4,31,28.7214,64.6496,22.0272,1,0.223344,1.24312,20.3157,5.22148,11.9062,5.00525,3.291,9999,9999,9999,999.9,1.85946,1.85448,1.85763,1.85608,1.85486,1.85455,1.85318,1.85638,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,0.769,0.0353,0.603702283,0.003420174,-1.94E-06,4.55E-10,-0.059231397,0.0151129,-0.000839346,1.58E-05,1,2154,2,24,1.2,1.3,0.263672,2.35352,1.4978,2.30225,1.54785,2.42432,35.1516,15.3841,18,498.315,515.465,27.0797,30.0378,30.0001,29.8325,29.9269,5.33482,30.6488,51.7665,27.0662,50,20.9368,101.459,101.244,NA,NA,NA,NA,NA,t1b1l1
2022-10-06-T1B1L1,7,1665072115,1062.9,20221006 12:01:54,12:01:54,1,Maquelle,bci,19127,t1,NA,b1,l1,NA,NA,NA,ok,1665072107,0.000842376,0.842375759,2.067649232,397.1247395,288.8398085,28.79202037,39.58603785,0.035018668,2.922320261,0.034787202,0.02176267,321.5202421,31.98001312,30.99317419,4.50962282,50.21208746,2.176777788,4.335166885,2.332845032,-37.14877095,-108.7336206,-8.326442462,167.311408,0,0,1,0,51995,2000.027097,1681.222719,0.84059997,0.160757943,6,0.5,0: Broadleaf,2,1665072107,397.1247419,400.0065484,21.83730323,20.84880323,395.6994839,21.80209355,500.1399355,99.5815871,0.100034097,30.3030129,30.99317419,999.9,0,0,10000.69032,0,167.9476452,-2.881729355,405.9905484,408.5237419,0.988496645,400.0065484,20.84880323,2.174593871,2.076157742,18.77636129,18.0374129,2000.027097,0.980002774,0.019997552,0,2.872774194,0,30455.57097,17412.57419,40.562,41.879,40.625,40.07012903,40.625,1960.035161,39.99870968,0,1665072114,0,1665072051,12:00:51,1665072051,1665072048,10,-0.257,0,1.432,0.034,400,21,0.7,0.22,0,0,0,-1,0,0,0,-1,-2.884154,0.052228165,0.02885143,1,288.6519706,-0.505594642,1.085177951,1,0.986289125,0.037187786,0.005108112,1,2.333041647,-0.010590463,0.002192801,1,5,5,05-mai,2.94437,2.80122,0.0878043,0.0883524,0.101403,0.0981072,18883.3,19798.3,24063.2,25262.2,34609.8,36387.3,43869.1,46708.1,1.98267,1.90675,0.129186,0,28.8867,999.9,63,31.2,28.8682,64.5396,22.3678,1,0.230503,0.812859,20.319,5.21999,11.9069,5.0039,3.291,9999,9999,9999,999.9,1.85947,1.85445,1.85761,1.85608,1.85487,1.85455,1.85319,1.85638,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,1.425,0.0352,0.347188374,0.003420174,-1.94E-06,4.55E-10,-0.059327909,0.0151129,-0.000839346,1.58E-05,1,2154,2,24,1.1,1.1,1.02295,2.33154,1.4978,2.30225,1.54785,2.34497,35.2209,15.3141,18,498.392,514.902,27.2772,30.132,30.0004,29.908,30.0013,20.4735,30.9502,48.7454,27.2767,400,20.8249,101.447,101.222,NA,NA,NA,NA,NA,t1b1l1
2022-10-06-T1B1L1,8,1665072259,1207.4,20221006 12:04:19,12:04:19,1,Maquelle,bci,19127,t1,NA,b1,l1,NA,NA,NA,ok,1665072251,0.000906335,0.906334836,3.399478438,595.2989627,430.7885117,42.9427315,59.34179493,0.037816406,2.922150094,0.037546615,0.023490713,321.5161592,31.91294119,30.92691,4.492611618,50.12518199,2.16672127,4.322620257,2.325890348,-39.96936629,-106.2537242,-8.132318858,167.1607499,0,0,1,0,52072,2000.001,1681.20084,0.8406,0.160757999,6,0.5,0: Broadleaf,2,1665072251,595.2989667,600.0245667,21.73589333,20.67220667,593.4171,21.69982,500.1293333,99.58400333,0.100018713,30.25245,30.92691,999.9,0,0,9999.476333,0,59.50145667,-4.725609333,608.5258667,612.6902,1.063691,600.0245667,20.67220667,2.164548,2.058621,18.70231,17.90256333,2000.001,0.9800021,0.019998203,0,2.6269,0,29744.25,17412.34,40.50826667,41.75,40.5704,40.00826667,40.583,1960.001333,40,0,1665072259,0,1665072174,12:02:54,1665072174,1665072170,11,0.092,0.001,1.89,0.035,600,21,0.69,0.22,0,0,0,-1,0,0,0,-1,-4.725699032,-0.232605484,0.039655294,1,430.8353427,-1.306470033,1.38918435,1,1.064503171,0.005621185,0.004084153,1,2.326275183,-0.025394139,0.001879924,1,5,5,05-mai,2.9443,2.80126,0.118184,0.118927,0.10101,0.0975123,18252.3,19132.7,24060.8,25260.5,34622.9,36409.6,43865,46704.1,1.98177,1.90525,0.127386,0,28.8411,999.9,62.4,31.3,28.7522,64.5595,21.863,1,0.233577,0.57155,20.3203,5.21744,11.9036,5.00555,3.291,9999,9999,9999,999.9,1.85947,1.85447,1.85761,1.85608,1.85487,1.85455,1.85319,1.85637,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,1.882,0.036,0.439701236,0.003420174,-1.94E-06,4.55E-10,-0.058355039,0.0151129,-0.000839346,1.58E-05,1,2154,2,24,1.4,1.5,1.41479,2.28516,1.4978,2.30225,1.54785,2.44873,35.3365,15.2791,18,498.274,514.335,27.4836,30.181,30,29.9633,30.0554,28.3378,31.0882,44.978,27.5485,600,20.7484,101.437,101.213,NA,NA,NA,NA,NA,t1b1l1
2022-10-06-T1B1L1,9,1665072381,1329.4,20221006 12:06:21,12:06:21,1,Maquelle,bci,19127,t1,NA,b1,l1,NA,NA,NA,ok,1665072373,0.000935565,0.93556459,4.501008321,793.7254282,581.0391858,57.92091752,79.1225552,0.03894336,2.921758394,0.038657277,0.024186326,321.5152552,31.96272631,30.96848667,4.503278545,50.07159711,2.171519753,4.336829417,2.331758792,-41.25839844,-103.7701267,-7.947175991,168.539554,0,0,1,0,52121,1999.995333,1681.19608,0.840600001,0.160758003,6,0.5,0: Broadleaf,2,1665072373,793.7254333,800.0159,21.78380667,20.68590667,791.3092,21.74528333,500.1463333,99.58496,0.100085227,30.30970333,30.96848667,999.9,0,0,9997.144667,0,54.77264667,-6.290489,811.4008667,816.9144667,1.097896333,800.0159,20.68590667,2.169339333,2.060004667,18.73766333,17.91325333,1999.995333,0.9800005,0.01999975,0,2.731233333,0,29149.36,17412.28,40.375,41.4958,40.437,39.75,40.437,1959.995333,40,0,1665072381,0,1665072318,12:05:18,1665072318,1665072316,12,0.258,0.002,2.424,0.038,800,21,0.35,0.08,0,0,0,-1,0,0,0,-1,-6.283319677,-0.078972581,0.060303651,1,581.2120669,1.130411709,1.98916749,1,1.096151463,0.030248571,0.004909994,1,2.331428388,0.013016549,0.001158814,1,5,5,05-mai,2.94459,2.80106,0.14387,0.144731,0.101166,0.097532,17720.7,18573.3,24060.8,25261.8,34618.1,36411.6,43865.1,46706.3,1.98237,1.90473,0.135966,0,28.7647,999.9,61.8,31.4,28.6421,64.4495,21.8109,1,0.23188,0.507838,20.3207,5.22058,11.9035,5.0052,3.29103,9999,9999,9999,999.9,1.85952,1.85446,1.85764,1.85608,1.8549,1.85455,1.85321,1.85638,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,2.416,0.0385,0.69799735,0.003420174,-1.94E-06,4.55E-10,-0.055949306,0.0151129,-0.000839346,1.58E-05,1,2154,2,24,1.1,1.1,1.78833,2.29492,1.4978,2.30103,1.54785,2.46094,35.3827,15.2528,18,498.646,513.994,27.7377,30.1575,30,29.9653,30.0573,35.8142,31.0346,42.3193,27.7502,800,20.6749,101.437,101.218,NA,NA,NA,NA,NA,t1b1l1
2022-10-06-T1B1L1,10,1665072521,1468.9,20221006 12:08:40,12:08:40,1,Maquelle,bci,19127,t1,NA,b1,l1,NA,NA,NA,ok,1665072513,0.000957893,0.957893433,5.443713662,992.3129271,738.994995,73.66182571,98.9121474,0.039877988,2.921286339,0.039578017,0.024763024,321.5177556,31.96662941,30.97735667,4.505557089,50.09943245,2.173905113,4.339181118,2.331651976,-42.24310038,-103.6604406,-7.940777566,167.6734371,0,0,1,0,52045,2000.011,1681.20924,0.840599997,0.160757994,6,0.5,0: Broadleaf,2,1665072513,992.3129333,999.9838667,21.80919333,20.68510667,989.8489333,21.76849,500.1407333,99.57829,0.100092397,30.31916333,30.97735667,999.9,0,0,9995.120333,0,86.32676,-7.671284667,1014.436667,1021.105,1.124083667,999.9838667,20.68510667,2.171722,2.059787,18.75522667,17.91156333,2000.011,0.9800002,0.02000004,0,2.6946,0,28490.23,17412.43333,40.2458,41.3624,40.312,39.6208,40.312,1960.011,40,0,1665072521,0,1665072442,12:07:21,1665072442,1665072442,13,-0.161,0.002,2.471,0.04,1000,21,0.63,0.07,0,0,0,-1,0,0,0,-1,-7.670025333,0.020576463,0.080881549,1,739.1385113,-0.44913623,2.299190213,1,1.1237095,0.007621689,0.002417426,1,2.33135228,0.005033522,0.001336939,1,5,5,05-mai,2.94413,2.80116,0.166444,0.167352,0.101253,0.0975719,17254.1,18082.1,24061.8,25261.9,34616.5,36411,43866.1,46706.3,1.98265,1.90485,0.13943,0,28.71,999.9,61.3,31.5,28.5764,64.4095,22.6282,1,0.229327,0.402187,20.321,5.21999,11.9051,5.0049,3.291,9999,9999,9999,999.9,1.8595,1.85453,1.8577,1.85608,1.85486,1.85455,1.85322,1.85638,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,2.464,0.0407,0.536091523,0.003420174,-1.94E-06,4.55E-10,-0.053797143,0.0151129,-0.000839346,1.58E-05,1,2154,2,24,1.3,1.3,2.14722,2.29858,1.4978,2.30103,1.54785,2.2583,35.4754,15.209,18,498.69,513.955,27.9285,30.1262,29.9999,29.9494,30.0425,42.9811,30.8689,38.9221,27.9405,1000,20.6686,101.44,101.219,NA,NA,NA,NA,NA,t1b1l1
