OPEN 6.3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Aug 10 2015 17:33:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""17:33:34 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:33:37 LCF Lamp: ParIn -> 1500 uml, with blue = 10 percent, actinic on""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:33:37 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:33:38 Coolers: Tblock -> 26.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:33:38 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:33:38 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:36:30 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17:36:09,184.0000385,0,9.263213243,0.087689987,210.2094977,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.873966217,0.874936983,0.007828365,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.291995419,2.597374639,28.36972427,2,4.644859791,1,9.289719582,26.45999718,28.36972427,26.09505653,400.0893555,393.3147583,11.16246319,12.67068481,32.52378464,36.91825104,300.0824585,1498.426636,0.216510713,101.0230179,3.449225426,-0.043009181,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500412292,0.002291995,301.5197243,299.6099972,239.7482564,0.464266785,3.877405457,38.38140593,25.71072111,27.41486073,3.667301786,0.08686998,1.280030819,2.387270968,0.05436682,21.23599784,0.534456166,31.90066634,391.9686103,0.007538937,0,1311.02888,0,#DIV/0!,#DIV/0!
Remark=,"""17:36:30 CO2 Mixer: CO2R -> 300 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:39:22 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,17:39:01,356.0000385,0,7.769324041,0.110500025,171.1808062,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.873966217,0.874936983,0.006690705,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.795757414,2.520560731,28.16984177,2,4.644859791,1,9.289719582,26.45804024,28.16984177,26.09678459,300.0689697,294.3420715,11.147892,12.98712063,32.48549271,37.84509659,300.0658569,1498.019409,0.23478356,101.0243225,3.362689734,-0.048021596,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500329285,0.002795757,301.3198418,299.6080402,239.6831001,0.384700758,3.832575794,37.93715908,24.95003845,27.313941,3.645687659,0.109201092,1.312015063,2.333672596,0.068366207,17.29342497,0.581570977,33.30822094,293.2130184,0.008825746,0,1310.672583,0,#DIV/0!,#DIV/0!
Remark=,"""17:39:22 CO2 Mixer: CO2R -> 200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:42:14 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17:41:53,528.0000385,0,5.30037864,0.138902503,127.6255017,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.843445778,0.874921723,0.00479534,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.431173689,2.467783901,28.13168716,2,4.644859791,1,9.289719582,26.50812721,28.13168716,26.09499931,199.9185791,195.9375458,11.1695385,13.42585182,32.45136642,39.00673676,300.056488,1501.682251,0.242661625,101.0204926,3.065784216,-0.051818032,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50028244,0.003431174,301.2816872,299.6581272,240.2691548,0.279309394,3.824070065,37.85439932,24.4285475,27.31990719,3.646962347,0.136856191,1.356286164,2.290676183,0.085716644,12.89279104,0.65135807,34.74462784,195.1672845,0.009435991,0,1313.854422,0,#DIV/0!,#DIV/0!
Remark=,"""17:42:14 CO2 Mixer: CO2R -> 100 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:45:06 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,17:44:45,700.0000385,0,2.331010799,0.173924194,72.95751272,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.873966217,0.874936983,0.00254099,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,4.07429788,2.349336185,27.7974987,2,4.644859791,1,9.289719582,26.47274017,27.7974987,26.09651375,99.82020569,98.00041199,11.1897831,13.86772251,32.57833099,40.37498093,300.0662842,1498.291504,0.253118575,101.0212708,2.544426918,-0.058097403,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500331421,0.004074298,300.9474987,299.6227402,239.7266353,0.178020936,3.750271135,37.1235791,23.25585659,27.13511944,3.607662118,0.17072779,1.400934951,2.206727167,0.106987515,7.370260645,0.744461286,36.89802693,97.66166499,0.008806905,0,1310.910648,0,#DIV/0!,#DIV/0!
Remark=,"""17:45:06 CO2 Mixer: CO2R -> 50 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:47:58 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,17:47:37,872.0000385,0,0.732454549,0.209566893,41.89643655,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.843445778,0.874921723,0.001319154,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,4.686055348,2.251126384,27.54528236,2,4.644859791,1,9.289719582,26.47664261,27.54528236,26.09704781,49.90078354,49.25872421,11.21782494,14.2965765,32.65280914,41.61442566,300.0606384,1501.056885,0.186998859,101.0223389,2.163569927,-0.068146415,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500303192,0.004686055,300.6952824,299.6266426,240.1690962,0.084086861,3.695399979,36.58002795,22.28345145,27.01096249,3.581464797,0.204943568,1.444273596,2.137191201,0.128497236,4.23247601,0.850538401,38.8719268,49.1522825,0.005792594,0,1313.307276,0,#DIV/0!,#DIV/0!
Remark=,"""17:47:58 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:50:50 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,17:50:29,1044.000038,0,13.10653531,0.247934949,291.7010431,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.873966217,0.874936983,0.010761321,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.266352151,2.147242008,27.26103973,2,4.644859791,1,9.289719582,26.46598625,27.26103973,26.09553146,400.1702271,390.0641785,11.26216316,14.72099781,32.80270004,42.87706375,300.0332031,1498.228271,0.289801627,101.023056,3.475847244,-0.069921635,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500166016,0.005266352,300.4110397,299.6159863,239.7165181,-0.007112601,3.634402195,35.97596764,21.25496983,26.86351299,3.550568549,0.241489786,1.487160187,2.063408363,0.151497236,29.46853082,0.74782833,40.95819,388.1595114,0.01382988,0,1310.855324,0,#DIV/0!,#DIV/0!
