OPEN 6.3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Aug 17 2015 23:32:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""23:32:49 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""23:32:51 LCF Lamp: ParIn -> 1500 uml, with blue = 10 percent, actinic on""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""23:32:51 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""23:32:51 Coolers: Tblock -> 26.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""23:32:51 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""23:32:51 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""23:35:43 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23:35:22,285.0000545,0,15.54383364,0.15878187,220.7618279,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.904677391,0.874952339,0.012605469,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.982386648,1.867410464,27.57766533,2,4.644859791,1,9.289719582,26.33192635,27.57766533,26.09976768,400.1152649,388.9812622,16.30365562,18.25527573,47.62486267,53.32577133,300.0524902,1500.005127,0.257671773,100.5186234,3.706689119,-0.083198063,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500262451,0.002982387,300.7276653,299.4819263,240.0008149,0.375174755,3.702405649,36.83303179,18.57775606,26.95479584,3.569668198,0.156113544,1.834995185,1.734673014,0.097807239,22.19067503,0.567538463,49.00523824,386.7224023,0.019697056,0,1312.432994,0,#DIV/0!,#DIV/0!
Remark=,"""23:35:43 CO2 Mixer: CO2R -> 300 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""23:38:35 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23:38:14,457.0000545,0,12.19857117,0.187741197,178.7296541,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.904677391,0.874952339,0.01005629,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.383175831,1.79705945,27.41788673,2,4.644859791,1,9.289719582,26.33556557,27.41788673,26.10022545,300.1715393,291.3839722,16.39964485,18.61260796,47.89441681,54.3572731,300.0688171,1500.046509,0.239916205,100.5174637,3.580073118,-0.087999336,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500344086,0.003383176,300.5678867,299.4855656,240.007436,0.312295193,3.667951594,36.49068988,17.87808192,26.87672615,3.553327682,0.184022188,1.870892144,1.682435538,0.115342314,17.96545152,0.613381899,50.61638098,289.6112522,0.021319873,0,1312.469201,0,#DIV/0!,#DIV/0!
Remark=,"""23:38:35 CO2 Mixer: CO2R -> 200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""23:41:27 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,23:41:06,629.0000545,0,7.772548448,0.216703103,131.0340639,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.904677391,0.874952339,0.006683776,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.753016096,1.7323264,27.27015495,2,4.644859791,1,9.289719582,26.33238029,27.27015495,26.09975815,199.8293152,194.1635437,16.48849678,18.94236565,48.16244125,55.3301239,300.0914307,1500.097534,0.15135406,100.5163879,3.311165094,-0.094897643,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500457153,0.003753016,300.420155,299.4823803,240.0156001,0.253971676,3.636344574,36.17663396,17.23426832,26.80126762,3.537595797,0.21176326,1.904018174,1.633577624,0.132787161,13.1710708,0.674864403,52.12738616,193.0340219,0.020989183,0,1312.513846,0,#DIV/0!,#DIV/0!
Remark=,"""23:41:27 CO2 Mixer: CO2R -> 100 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""23:44:19 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,23:43:58,801.0000545,0,2.610819926,0.240489625,77.73619582,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.904677391,0.874952339,0.002750728,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,4.038388848,1.68380806,27.16888809,2,4.644859791,1,9.289719582,26.32707024,27.16888809,26.09932137,99.90670776,97.90307617,16.57128716,19.2111721,48.41870499,56.1320343,300.0741882,1500.285034,0.236652985,100.5148544,2.748639107,-0.099414244,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500370941,0.004038389,300.3188881,299.4770702,240.0456001,0.208324691,3.614816227,35.96300515,16.75183305,26.74797916,3.526522679,0.234421,1.931008167,1.595514512,0.147046529,7.813642407,0.79401178,53.30656602,97.52366678,0.014270776,0,1312.677899,0,#DIV/0!,#DIV/0!
Remark=,"""23:44:19 CO2 Mixer: CO2R -> 50 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""23:47:11 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,23:46:50,973.0000545,0,-0.401649453,0.25940415,51.18226048,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.904677391,0.874952339,0.0004559,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,4.253670428,1.647448401,27.0991745,2,4.644859791,1,9.289719582,26.32939148,27.0991745,26.09926033,49.87886047,50.00479889,16.64604759,19.42618179,48.63028717,56.75226212,300.0601807,1500.036621,0.15270786,100.5144577,2.334506989,-0.099724188,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500300903,0.00425367,300.2491745,299.4793915,240.005854,0.173614799,3.60006053,35.81634535,16.39016356,26.71428299,3.519536383,0.252357377,1.952612128,1.566924255,0.158341685,5.144557156,1.023546972,54.21685221,50.06316736,-0.004349739,0,1312.46055,0,#DIV/0!,#DIV/0!
Remark=,"""23:47:11 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""23:50:03 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
