OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Aug 27 2014 15:25:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:25:16 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:28:20,192.5,0,16.29853108,0.161357416,213.2007797,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.013175694,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.492524959,2.177668525,24.85979843,2,4.644859791,1,9.289719582,24.98178291,24.85979843,25.08242416,399.5414429,387.7797852,7.358342648,9.662838936,23.38856697,30.71343231,300.1764221,1500.317993,0.862014592,100.956665,2.836145401,0.147707537,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500882111,0.003492525,298.0097984,298.1317829,240.0508735,0.349479812,3.153196519,31.23316839,21.57032945,24.92079067,3.164692865,0.158602575,0.975527994,2.189164872,0.099370488,21.5240397,0.549798592,30.69979092,385.4112511,0.012982535,0,1312.912314,0,#DIV/0!,#DIV/0!
2,15:31:20,372.5,0,-0.447433749,0.172521853,51.61629812,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.00042065,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.706869927,2.16417609,24.8542614,2,4.644859791,1,9.289719582,24.93916702,24.8542614,25.08213615,48.9838295,49.16053772,7.340380192,9.786153793,23.39087296,31.18457985,300.1581116,1501.10376,0.665394366,100.9567795,1.963777542,0.144004419,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500790558,0.00370687,298.0042614,298.089167,240.1765962,0.310503032,3.152154661,31.22281314,21.43665934,24.89671421,3.160150357,0.16937632,0.98797857,2.172171786,0.106138383,5.211015227,1.049953896,31.18371819,49.22555966,-0.002834432,0,1313.599929,0,#DIV/0!,#DIV/0!
3,15:34:20,552.5,0,2.819459492,0.187765559,70.52297958,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.002906253,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.994102516,2.145826093,24.84961891,2,4.644859791,1,9.289719582,24.90442848,24.84961891,25.07838631,100.0184631,97.87950897,7.324681759,9.959280968,23.38922882,31.80204964,300.1841125,1501.813599,0.830045879,100.9566116,2.357210159,0.142125681,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500920563,0.003994103,297.9996189,298.0544285,240.2901704,0.258947015,3.151281353,31.21421473,21.25493376,24.8770237,3.156439582,0.184045595,1.005455261,2.150984321,0.115357027,7.119761061,0.720508106,31.85235403,97.46977967,0.009213771,0,1314.221102,0,#DIV/0!,#DIV/0!
4,15:37:20,732.5,0,8.872255992,0.208643923,119.2663059,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.007510486,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,4.38051766,2.122365693,24.8490181,2,4.644859791,1,9.289719582,24.87389946,24.8490181,25.08159447,200.4518585,193.9746552,7.301682472,10.19043636,23.35854149,32.59984589,300.1902161,1502.089966,0.599528849,100.9576645,2.746828079,0.141936854,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50095108,0.004380518,297.9990181,298.0238995,240.3343892,0.189636025,3.151168348,31.21276987,21.02233351,24.86145878,3.153508992,0.204060787,1.028802655,2.124706336,0.127941989,12.0408477,0.6148551,32.73527264,192.6853218,0.015073059,0,1314.462948,0,#DIV/0!,#DIV/0!
5,15:40:20,912.5,0,20.84196413,0.234715412,230.1941055,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.016618826,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,4.855040903,2.096256809,24.86205482,2,4.644859791,1,9.289719582,24.88124466,24.86205482,25.08175468,400.8905334,385.7557068,7.273025513,10.47404385,23.25511551,33.49020386,300.1662903,1501.892822,0.647951066,100.9509201,2.949800491,0.140421465,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500831451,0.004855041,298.0120548,298.0312447,240.3028462,0.105593977,3.153621173,31.23915235,20.7651085,24.87164974,3.155427496,0.228931203,1.057364363,2.098063132,0.143590672,23.23830675,0.596735451,33.78566152,382.7269123,0.018398485,0,1314.29043,0,#DIV/0!,#DIV/0!
6,15:43:20,1092.5,0,33.26493982,0.262057974,546.3950612,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.2099781,0.875104989,0.026147687,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.331190894,2.067468141,24.86218071,2,4.644859791,1,9.289719582,24.87615776,24.86218071,25.08154106,801.3703613,776.449646,7.244849682,10.75855255,23.17399979,34.4132309,300.1867371,1497.464478,0.651826441,100.9593735,1.561616898,0.143224314,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500933685,0.005331191,298.0121807,298.0261578,239.5943111,0.018581639,3.153644866,31.23677136,20.47821881,24.86916924,3.154960433,0.254868277,1.086176725,2.068783708,0.159923388,55.16370305,0.703709589,34.87305358,771.6155207,0.015034042,0,1310.438635,0,#DIV/0!,#DIV/0!
7,15:46:20,1272.5,0,32.53145329,0.278213922,947.2591472,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.025518531,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.614265164,2.054065472,24.8775692,2,4.644859791,1,9.289719582,24.88945007,24.8775692,25.08283424,1200.342896,1174.271851,7.219781876,10.92009163,23.0753212,34.90196991,300.1347046,1501.565552,0.603390932,100.9585724,-0.951444626,0.142898157,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500673523,0.005614265,298.0275692,298.0394501,240.2504829,-0.028794735,3.156542333,31.26571879,20.34562716,24.88350964,3.157661469,0.270124089,1.102476861,2.055184607,0.169536204,95.63393118,0.806677897,35.45752067,1169.544317,0.009862685,0,1314.004039,0,#DIV/0!,#DIV/0!
8,15:49:20,1452.5,0,32.62041613,0.284702319,1337.642011,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.02559771,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.72179741,2.047012085,24.87659645,2,4.644859791,1,9.289719582,24.93979263,24.87659645,25.08211136,1601.552246,1573.815063,7.217333794,10.98816586,22.99827003,35.01414871,300.1419983,1500.892456,0.646015584,100.9583435,-4.62112236,0.140550211,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500709991,0.005721797,298.0265965,298.0897926,240.1427876,-0.045841574,3.156359108,31.26397481,20.27580895,24.90819454,3.162315641,0.276236491,1.109347023,2.052968618,0.17338896,135.0461216,0.849935956,35.71683075,1569.074602,0.007425382,0,1313.41502,0,#DIV/0!,#DIV/0!
9,15:52:20,1632.5,0,33.89665656,0.280281334,1703.273777,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.026572284,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.656080801,2.054486633,24.88527679,2,4.644859791,1,9.289719582,24.95228004,24.88527679,25.08299065,1992.460938,1962.4823,7.2033391,10.93046856,22.93629074,34.80391312,300.1911926,1500.729858,0.647960663,100.9570465,-9.012968063,0.144425943,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500955963,0.005656081,298.0352768,298.10228,240.116772,-0.034186116,3.157994455,31.2805749,20.35010635,24.91877842,3.164312995,0.272072596,1.103507823,2.060805172,0.170764303,171.9574899,0.867918033,35.48707943,1957.556372,0.006144872,0,1313.272732,0,#DIV/0!,#DIV/0!
Remark=,"""15:55:02 Warning! Large Deltas in match: CO2=-11.8, H2O=0.00""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,15:55:20,1812.5,0,19.17092502,0.276106244,260.7633447,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.015358094,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.591182107,2.060772989,24.8884697,2,4.644859791,1,9.289719582,24.97232628,24.8884697,25.08189774,399.6270752,385.4182129,7.189433098,10.87418079,22.86462212,34.58325577,300.177002,1500.845825,0.615029871,100.9568634,2.83300972,0.141423777,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50088501,0.005591182,298.0384697,298.1223263,240.1353267,-0.021901539,3.158596174,31.28659179,20.412411,24.93039799,3.166507071,0.268136764,1.097823185,2.068683886,0.168283716,26.32584938,0.67657245,35.27543299,382.632257,0.017673959,0,1313.374214,0,#DIV/0!,#DIV/0!
