OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Aug 28 2014 18:54:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""18:54:03 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18:57:07,209.5,0,11.09371529,0.145408094,258.2965975,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.009210278,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.614487833,1.798350938,24.88561058,2,4.644859791,1,9.289719582,25.89142609,24.88561058,25.07167816,399.5486755,391.4742432,11.77917099,13.49784565,35.39226913,40.55628204,300.1380005,1500.574585,0.704117298,100.7350693,2.87586689,0.137615412,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500690002,0.002614488,298.0356106,299.0414261,240.0919282,0.544966639,3.158057354,31.35012838,17.85228273,25.38851833,3.254078486,0.143167158,1.359706417,1.894372069,0.089678145,26.01952565,0.659804833,42.64665935,389.862083,0.012135314,0,1313.067355,0,#DIV/0!,#DIV/0!
2,19:00:07,389.5,0,-0.701416416,0.225259538,52.9377664,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.000227412,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.823925321,1.711464467,24.88118553,2,4.644859791,1,9.289719582,25.90428734,24.88118553,25.07101631,48.92725754,49.26906204,11.8411293,14.352314,35.55079651,43.09016418,300.180481,1500.458008,0.795159578,100.7335205,1.931733131,0.138808459,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500902405,0.003823925,298.0311855,299.0542873,240.0732759,0.332473254,3.157223583,31.34233339,16.99001939,25.39273643,3.254894523,0.219926698,1.445759116,1.809135407,0.137923563,5.332607577,1.074462639,45.83797567,49.37099323,-0.006512226,0,1312.965345,0,#DIV/0!,#DIV/0!
3,19:03:07,569.5,0,2.473796263,0.3234136,82.7861376,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.002646036,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.140848372,1.61830165,24.88866234,2,4.644859791,1,9.289719582,25.91451836,24.88866234,25.07950974,99.73678589,97.75365448,11.91831303,15.29128361,35.76053238,45.88102722,300.164978,1500.303467,0.80484134,100.732605,2.248040199,0.138130397,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50082489,0.005140848,298.0386623,299.0645184,240.0485493,0.10034141,3.158632481,31.35660476,16.06532116,25.40159035,3.25660799,0.312533031,1.540330831,1.716277159,0.196282398,8.339263297,0.846885347,49.30705938,97.39415763,0.012523915,0,1312.830115,0,#DIV/0!,#DIV/0!
4,19:06:07,749.5,0,9.246814805,0.432004581,153.6515311,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.007804738,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.417634809,1.528741234,24.8978138,2,4.644859791,1,9.289719582,25.91960526,24.8978138,25.07313728,200.5416718,193.5529175,11.99103451,16.19781494,35.96719742,48.58546829,300.1669922,1500.379639,0.890089095,100.7306519,2.643212318,0.135723323,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500834961,0.006417635,298.0478138,299.0696053,240.0607368,-0.12487886,3.160357692,31.37433972,15.17652478,25.40870953,3.257986312,0.412807579,1.631616458,1.626369854,0.259663421,15.47741889,0.793847663,52.65086457,192.2091525,0.025329324,0,1312.896768,0,#DIV/0!,#DIV/0!
5,19:09:07,929.5,0,20.88733169,0.526577559,310.0014557,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.016669497,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.39801484,1.459256662,24.90839195,2,4.644859791,1,9.289719582,25.9183197,24.90839195,25.07224274,400.5493774,384.7351379,12.06171322,16.90783119,36.18109131,50.71781921,300.1549072,1500.516968,0.6266433,100.7282486,2.823357582,0.134878367,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500774536,0.007398015,298.058392,299.0683197,240.0827095,-0.298163191,3.162352885,31.39489597,14.48706477,25.41335583,3.258886142,0.498330256,1.703096224,1.555789919,0.313876779,31.22590369,0.805752907,55.24992139,381.6997505,0.030233801,0,1313.016937,0,#DIV/0!,#DIV/0!
6,19:12:07,1109,0,26.15977512,0.593164075,688.4986016,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.020686695,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.999147636,1.409867266,24.89239502,2,4.644859791,1,9.289719582,25.91603851,24.89239502,25.07237625,801.2110596,779.6245728,12.13108826,17.36858177,36.39331436,52.1058197,300.1517334,1500.395142,0.585969567,100.726059,1.817803383,0.138937205,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500758667,0.007999148,298.042395,299.0660385,240.0632173,-0.403593194,3.159336058,31.36562763,13.99704586,25.40421677,3.257116424,0.557562763,1.749468792,1.507647632,0.351509473,69.34975073,0.883115573,57.00530326,775.8229837,0.019221471,0,1312.910334,0,#DIV/0!,#DIV/0!
7,19:15:07,1289.5,0,26.01394294,0.552019549,1072.191144,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.020578981,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.593350855,1.432199606,24.90280151,2,4.644859791,1,9.289719582,25.93245697,24.90280151,25.07303619,1200.732178,1177.443237,12.19457245,17.16687584,36.54710007,51.44908142,300.1826782,1500.150024,0.489112675,100.7229691,-0.898749352,0.144922465,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500913391,0.007593351,298.0528015,299.082457,240.0239985,-0.331928041,3.16129831,31.38607152,14.21919568,25.41762924,3.259713949,0.521056974,1.729098704,1.530615245,0.328307716,107.9942754,0.910609624,56.17296914,1173.662841,0.012450598,0,1312.695846,0,#DIV/0!,#DIV/0!
8,19:18:07,1469.5,0,27.21296887,0.454357727,1439.384623,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.021493382,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.577134472,1.492615325,24.90372276,2,4.644859791,1,9.289719582,25.9419632,24.90372276,25.07401085,1600.643799,1575.604492,12.25925827,16.56941414,36.71889114,49.62865448,300.1355591,1500.080688,0.64504236,100.7191162,-4.212347984,0.147276133,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500677795,0.006577134,298.0537228,299.0919632,240.0129048,-0.152427123,3.161472073,31.38899736,14.81958322,25.42284298,3.260724155,0.433171427,1.668856748,1.591867407,0.272559088,144.9735471,0.913544376,53.88296689,1571.649851,0.009329785,0,1312.635174,0,#DIV/0!,#DIV/0!
