OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Aug 31 2014 16:01:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""16:01:57 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:04:38 Didn't match! Valve stuck or flow problem.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16:04:55,186.5,0,18.90752598,0.024893359,-824.101477,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.11678028,0.87505839,0.015187519,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.5067719,2.012729964,24.78364563,2,4.644859791,1,9.289719582,25.8722477,24.78364563,25.07222748,399.5451965,386.8143616,10.84536266,11.17930603,32.62399292,33.62852859,300.1146851,1497.936523,0.902715325,100.7364731,-8.482463837,0.157566682,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500573425,0.000506772,297.9336456,299.0222477,239.6698384,0.918659275,3.138893825,31.15945723,19.9801512,25.32794666,3.242379937,0.024826832,1.126163861,2.116216076,0.015522733,-83.01707625,-2.130483143,34.66601745,384.0666834,0.017066011,0,1310.781923,0,#DIV/0!,#DIV/0!
Remark=,"""16:07:32 Didn't match! Valve stuck or flow problem.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16:07:49,360.5,0,14.75259246,0.02582501,-863.569765,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.011986042,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.525364014,2.011397096,24.77327919,2,4.644859791,1,9.289719582,25.88631439,24.77327919,25.07380295,49.00320053,39.1604538,10.82783031,11.17394733,32.54210663,33.58233261,300.1838074,1501.920044,0.757409096,100.730217,-8.482463837,0.157566682,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500919037,0.000525364,297.9232792,299.0363144,240.3072017,0.919054071,3.136951236,31.1421074,19.96816007,25.32979679,3.242736718,0.025753417,1.12555414,2.117182578,0.016102302,-86.98756981,-22.05208779,34.67614243,37.01657855,0.138198347,0,1314.244689,0,#DIV/0!,#DIV/0!
Remark=,"""16:10:26 Didn't match! Valve stuck or flow problem.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16:10:43,534.5,0,16.00885916,0.02740925,-835.5763923,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.012943038,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.556412839,2.007286394,24.77478981,2,4.644859791,1,9.289719582,25.90468979,24.77478981,25.07192421,99.84136963,89.1400528,10.85174751,11.21837997,32.5761528,33.67675781,300.1211548,1501.791138,0.716739178,100.722908,-8.482463837,0.157566682,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500605774,0.000556413,297.9247898,299.0546898,240.2865767,0.914274802,3.137234249,31.14717705,19.92879707,25.3397398,3.244654727,0.027328617,1.129947854,2.114706873,0.017087612,-84.16168411,-9.373748008,34.82496163,86.81361445,0.064218949,0,1314.131891,0,#DIV/0!,#DIV/0!
Remark=,"""16:13:20 Didn't match! Valve stuck or flow problem.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,16:13:37,708,0,17.93238931,0.031112527,-727.8047227,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.014409075,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.629348079,2.000829067,24.77944565,2,4.644859791,1,9.289719582,25.90727997,24.77944565,25.07245445,200.3062439,188.2791443,10.87680054,11.29139328,32.64565659,33.89001465,300.170166,1501.550415,0.686710477,100.7207489,-8.482463837,0.157566682,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50085083,0.000629348,297.9294456,299.05728,240.248061,0.901167614,3.138106655,31.15650637,19.86511309,25.34336281,3.245353853,0.031008675,1.137277587,2.108076266,0.019389725,-73.30503673,-3.865562091,35.07576014,185.6731748,0.033876309,0,1313.921248,0,#DIV/0!,#DIV/0!
