OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Aug 25 2014 20:07:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""20:07:29 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20:10:33,192.5,0,13.42799038,0.337743393,313.8200885,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.14765549,0.875073828,0.010987747,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.455945867,1.643592878,24.92764664,2,4.644859791,1,9.289719582,25.8450489,24.92764664,25.07264709,399.1376648,388.7756348,11.56447411,15.14528179,34.76816559,45.53372955,300.1174316,1500.557007,0.745769918,100.5193939,2.666944504,0.141457573,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500587158,0.005455946,298.0776466,298.9950489,240.0891157,0.03997583,3.165987424,31.49628446,16.35100266,25.38634777,3.253658637,0.325894934,1.522394546,1.73126409,0.204716706,31.5450051,0.807201019,48.71104312,386.8242533,0.016909266,0,1313.098164,0,#DIV/0!,#DIV/0!
2,20:13:33,372.5,0,-0.950051614,0.416510568,51.22188367,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.14765549,0.875073828,3.8036E-05,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.415284714,1.579366207,24.92565155,2,4.644859791,1,9.289719582,25.84029961,24.92565155,25.07265472,48.28605652,48.71084976,11.57413006,15.78106499,34.80569839,47.45678329,300.1731567,1500.657715,0.724455297,100.5156784,1.783582687,0.138445869,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500865784,0.006415285,298.0756516,298.9902996,240.105229,-0.129207748,3.16561066,31.49370039,15.7126354,25.38297558,3.253006452,0.398637403,1.586244453,1.666761999,0.250694801,5.148602386,1.051549786,51.09354113,48.8489131,-0.009937069,0,1313.186291,0,#DIV/0!,#DIV/0!
3,20:16:33,552.5,0,2.045111158,0.479290656,88.9385049,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.14765549,0.875073828,0.002318823,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.113237791,1.531199184,24.9264183,2,4.644859791,1,9.289719582,25.83558083,24.9264183,25.07310104,100.2186661,98.38962555,11.59989452,16.26252174,34.89117813,48.91583633,300.1551819,1500.689575,0.552069068,100.5106277,2.119161606,0.135878578,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500775909,0.007113238,298.0764183,298.9855808,240.1103267,-0.252480594,3.165755454,31.49672353,15.23420178,25.38099957,3.252624342,0.455775528,1.634556269,1.618068073,0.286883009,8.939264958,0.903941898,52.88024907,98.09242604,0.011024907,0,1313.214171,0,#DIV/0!,#DIV/0!
4,20:19:33,732.5,0,6.680461079,0.518827052,169.4288141,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.14765549,0.875073828,0.005848819,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.529970595,1.50320195,24.94116592,2,4.644859791,1,9.289719582,25.84896469,24.94116592,25.07316208,200.8874969,195.4549255,11.63389587,16.56865883,34.96599579,49.79756165,300.1242065,1500.632813,0.514297903,100.5114288,2.54816246,0.134100929,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500621033,0.007529971,298.0911659,298.9989647,240.1012446,-0.326036472,3.168541523,31.52419143,14.9555326,25.39506531,3.255345146,0.491383485,1.665339573,1.590005573,0.309467783,17.02953219,0.86684341,53.96091201,194.484108,0.018535385,0,1313.164499,0,#DIV/0!,#DIV/0!
5,20:22:33,912.5,0,14.95747264,0.52211977,331.8695146,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.14765549,0.875073828,0.012149474,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.544316436,1.496867948,24.93371964,2,4.644859791,1,9.289719582,25.8470974,24.93371964,25.07370186,400.5611267,388.6410828,11.67623329,16.61957932,35.09310532,49.95040894,300.1583557,1500.935181,0.605338991,100.4999313,2.599462509,0.143120781,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500791779,0.007544316,298.0837196,298.9970974,240.1496235,-0.328119427,3.167134528,31.51379793,14.89421862,25.39040852,3.25444414,0.494336085,1.67026658,1.58417756,0.311341631,33.35286343,0.853922885,54.1489789,386.4674339,0.020957312,0,1313.429094,0,#DIV/0!,#DIV/0!
6,20:25:33,1092.5,0,22.50097793,0.449398811,681.1755682,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.14765549,0.875073828,0.01789552,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.757415999,1.546471506,24.94479752,2,4.644859791,1,9.289719582,25.850317,24.94479752,25.07256508,801.4657593,782.946228,11.71698666,16.14721489,35.20806122,48.52033234,300.1336365,1500.710449,0.646000028,100.4976044,1.349279404,0.144381538,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500668182,0.006757416,298.0947975,299.000317,240.1136665,-0.189898441,3.169227919,31.53535788,15.38814299,25.39755726,3.255827383,0.428661893,1.622756414,1.633070969,0.269702663,68.45651276,0.870015774,52.31838319,779.6763424,0.015098762,0,1313.232437,0,#DIV/0!,#DIV/0!
7,20:28:33,1272.5,0,25.91991441,0.336619036,1023.650048,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.14765549,0.875073828,0.020496747,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.406485545,1.633482348,24.95959854,2,4.644859791,1,9.289719582,25.85698509,24.95959854,25.07392311,1201.389648,1179.86499,11.76062012,15.308465,35.32706451,45.98423386,300.1101074,1500.873291,0.504609823,100.5028534,-1.258264542,0.153310791,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500550537,0.005406486,298.1095985,299.0069851,240.1397212,0.04798839,3.172026762,31.56155925,16.25309424,25.40829182,3.257905426,0.324847959,1.538544414,1.719361012,0.204055707,102.8797507,0.867599307,49.11170228,1176.098258,0.01082368,0,1313.374936,0,#DIV/0!,#DIV/0!
8,20:31:33,1452.5,0,27.23104247,0.229800837,1343.504238,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.14765549,0.875073828,0.021493876,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.93326361,1.722246414,24.93761444,2,4.644859791,1,9.289719582,25.84111404,24.93761444,25.07176208,1600.250122,1577.968018,11.80098629,14.38432693,35.48062897,43.24765396,300.1296997,1500.954346,0.676050425,100.499939,-4.71456337,0.151802078,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500648499,0.003933264,298.0876144,298.991114,240.1526899,0.308023685,3.167870393,31.52111758,17.13679065,25.38936424,3.254242122,0.224253455,1.445623979,1.808618143,0.140646469,135.0220939,0.851414112,45.69999869,1574.01075,0.00790629,0,1313.445865,0,#DIV/0!,#DIV/0!
9,20:34:32,1631,0,28.95016247,0.154185183,1570.744769,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.14765549,0.875073828,0.022802429,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.772012544,1.795344734,24.93692589,2,4.644859791,1,9.289719582,25.84541512,24.93692589,25.07190704,1949.297485,1926.447998,11.83368301,13.6556015,35.57009125,41.04647446,300.1406555,1500.974731,0.697353661,100.5005569,-8.687707901,0.156913772,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500703278,0.002772013,298.0869259,298.9954151,240.1559517,0.512980379,3.167740291,31.51962921,17.86402771,25.3911705,3.254591556,0.15166789,1.372395556,1.882196,0.095015425,157.8607241,0.815357991,42.96105922,1922.240904,0.006470207,0,1313.463704,0,#DIV/0!,#DIV/0!
Remark=,"""20:37:13 Warning! Large Deltas in match: CO2=-11.4, H2O=0.01""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20:37:31,1810,0,6.896705679,0.122341087,293.1875915,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.14765549,0.875073828,0.006012874,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.248339686,1.829331033,24.94559288,2,4.644859791,1,9.289719582,25.85573196,24.94559288,25.07095146,399.8150635,394.6274719,11.85511875,13.3335371,35.61326599,40.05449677,300.0992737,1500.787354,0.56369555,100.5020065,2.711004257,0.14618589,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500496368,0.00224834,298.0955929,299.005732,240.1259712,0.605254731,3.169378266,31.53547253,18.20193543,25.40066242,3.256428375,0.120750857,1.340047233,1.916381142,0.075610565,29.46594124,0.742947748,41.72393095,393.6252293,0.007310448,0,1313.299734,0,#DIV/0!,#DIV/0!
